,HNT,CVO
2008-07-16,0.49233757824303903,0.5303571428571429
2008-07-17,0.5100366932872868,0.555952380952381
2008-07-18,0.5070148931577811,0.549404761904762
2008-07-21,0.5048564644938485,0.5678571428571427
2008-07-22,0.5428448089790632,0.5892857142857143
2008-07-23,0.5909777681847614,0.6077380952380953
2008-07-24,0.5810489963306713,0.5624999999999999
2008-07-25,0.5784588819339521,0.5577380952380951
2008-07-28,0.6028491258363912,0.5380952380952381
2008-07-29,0.5944312540470538,0.55
2008-07-30,0.6009065400388517,0.550595238095238
2008-07-31,0.603496654435571,0.55
2008-08-01,0.5996114828404921,0.5511904761904761
2008-08-04,0.6108353118929419,0.555952380952381
2008-08-05,0.5920569825167279,0.5553571428571429
2008-08-06,0.5791064105331318,0.5886904761904762
2008-08-07,0.5698251672782214,0.569047619047619
