"","X1","DK","TSO","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,1.26593806921676,0.902828136330674,"TSO",0.792207792207792,0.649350649350649,0.804789629906063,0.411721939580833
"46",2009-03-10,1.39526411657559,0.933284989122553,"TSO",0.948051948051948,0.770562770562771,0.959748385337243,0.301717232474661
"47",2009-03-11,1.46448087431694,0.927483683828861,"TSO",0.861471861471861,0.471861471861472,0.944613963937926,0.162902243346753
"48",2009-03-12,1.55191256830601,0.934735315445975,"TSO",0.891774891774892,0.588744588744589,0.945345395599946,0.22156195689065
"49",2009-03-13,1.60291438979964,0.928208846990573,"TSO",0.770562770562771,0.463203463203463,0.876254251342766,0.216656491866436
"50",2009-03-16,1.75409836065574,0.963741841914431,"TSO",0.939393939393939,0.779220779220779,0.945879949850686,0.336907291362136
"51",2009-03-17,1.80327868852459,0.991298042059463,"TSO",0.735930735930736,0.735930735930736,0.627750835969226,0.627750835969226
"52",2009-03-18,1.816029143898,1.03770848440899,"TSO",0.636363636363636,0.800865800865801,0.382230052974914,0.825852212261218
"53",2009-03-19,1.81785063752277,1.09499637418419,"TSO",0.575757575757576,0.83982683982684,0.264910910123615,0.901624033741893
"54",2009-03-20,1.8816029143898,1.01160261058738,"TSO",0.774891774891775,0.0952380952380952,0.952366910449809,0.0188016819919188
"55",2009-03-23,1.99271402550091,1.0957215373459,"TSO",0.891774891774892,0.922077922077922,0.634265503385713,0.808167143952959
"56",2009-03-24,1.82331511839709,1.05003625815809,"TSO",0.0692640692640693,0.225108225108225,0.0647911298356866,0.646117197029178
"57",2009-03-25,1.93260473588342,1.07179115300943,"TSO",0.891774891774892,0.666666666666667,0.925393521848008,0.295190444387158
"58",2009-03-26,2.06193078324226,1.18636693255983,"TSO",0.904761904761905,0.965367965367965,0.481968926598788,0.925730966053351
"59",2009-03-27,1.96174863387978,1.0638143582306,"TSO",0.186147186147186,0.0606060606060606,0.609347145700318,0.0687994038642874
"60",2009-03-30,1.83606557377049,0.959390862944163,"TSO",0.121212121212121,0.0692640692640693,0.433943206472617,0.144997216282268
"61",2009-03-31,1.88706739526412,0.976794778825236,"TSO",0.731601731601732,0.649350649350649,0.712278818006908,0.487475543044188
"62",2009-04-01,1.85063752276867,0.98404641044235,"TSO",0.376623376623377,0.588744588744589,0.250639519657456,0.733144187653976
"63",2009-04-02,1.97449908925319,1.05221174764322,"TSO",0.904761904761905,0.9004329004329,0.735771679173977,0.711574329054387
"64",2009-04-03,2.02914389799636,1.06744017403916,"TSO",0.731601731601732,0.632034632034632,0.727717532478195,0.460540296652381
"65",2009-04-06,1.91256830601093,1.10442349528644,"TSO",0.125541125541126,0.770562770562771,0.027380974772123,0.948372985736063
"66",2009-04-07,1.97814207650273,1.05148658448151,"TSO",0.774891774891775,0.194805194805195,0.941624159395511,0.050515222977613
"67",2009-04-08,2.13296903460838,1.06961566352429,"TSO",0.922077922077922,0.645021645021645,0.959698551595713,0.229674414690312
"68",2009-04-09,2.16757741347905,1.12690355329949,"TSO",0.688311688311688,0.83982683982684,0.402232633392208,0.847925108503211
"69",2009-04-13,2.1183970856102,1.10587382160986,"TSO",0.350649350649351,0.372294372294372,0.397029173689421,0.453875634575393
"70",2009-04-14,2.01092896174863,1.09499637418419,"TSO",0.164502164502165,0.445887445887446,0.0953073156594524,0.751882205939961
"71",2009-04-15,1.82331511839709,1.10079767947788,"TSO",0.051948051948052,0.571428571428571,0.0112254031418691,0.903946934470323
"72",2009-04-16,1.85428051001821,1.1276287164612,"TSO",0.688311688311688,0.688311688311688,0.601699743597625,0.601699743597625
"73",2009-04-17,1.86885245901639,1.12037708484409,"TSO",0.640692640692641,0.463203463203463,0.733585126031357,0.316965057513994
"74",2009-04-20,1.73224043715847,1.03915881073241,"TSO",0.0822510822510823,0.0952380952380952,0.232943030196478,0.310672624061277
"75",2009-04-21,1.80145719489982,1.04496011602611,"TSO",0.805194805194805,0.571428571428571,0.866544048810924,0.29624215161829
"76",2009-04-22,1.7632058287796,1.03698332124728,"TSO",0.359307359307359,0.458874458874459,0.328758688510997,0.576616260041054
