,PFG,M
2008-08-11,0.7601699068779612,0.7732142857142856
2008-08-12,0.7417088710994935,0.7239285714285714
2008-08-13,0.7270053912759353,0.7378571428571429
2008-08-14,0.7639274628328704,0.7578571428571428
2008-08-15,0.7993791864074498,0.7675
2008-08-18,0.759516418885803,0.7792857142857142
2008-08-19,0.7337036431955563,0.7257142857142858
2008-08-20,0.7221042313347492,0.7025
2008-08-21,0.7181833033818004,0.6942857142857143
2008-08-22,0.7359908511681097,0.7189285714285714
2008-08-25,0.7010292435876491,0.6989285714285715
2008-08-26,0.7042966835484398,0.6964285714285714
2008-08-27,0.7149158634210095,0.7032142857142858
2008-08-28,0.7415454991014541,0.7374999999999999
2008-08-29,0.7480803790230355,0.7435714285714285
2008-09-02,0.7531449109622611,0.7721428571428571
2008-09-03,0.7603332788760007,0.7817857142857143
2008-09-04,0.7286391112563306,0.7389285714285715
2008-09-05,0.730272831236726,0.7528571428571428
2008-09-08,0.7966018624407776,0.7992857142857143
2008-09-09,0.7503675869955889,0.7785714285714286
2008-09-10,0.7536350269563797,0.7814285714285714
2008-09-11,0.7685018787779774,0.7803571428571429
2008-09-12,0.7750367586995589,0.7432142857142857
2008-09-15,0.7042966835484398,0.6950000000000001
2008-09-16,0.7291292272504493,0.7203571428571429
2008-09-17,0.6347002123835974,0.6625
2008-09-18,0.7088710994935468,0.7110714285714286
2008-09-19,0.8487175298153897,0.7128571428571429
2008-09-22,0.7227577193269074,0.6578571428571429
2008-09-23,0.6703153079562163,0.6339285714285714
2008-09-24,0.6861623917660513,0.6346428571428572
2008-09-25,0.7150792354190492,0.6749999999999999
2008-09-26,0.7212873713445516,0.6928571428571428
2008-09-29,0.6405816043130208,0.6171428571428572
2008-09-30,0.7105048194739422,0.6421428571428571
2008-10-01,0.6149322006208136,0.6182142857142857
2008-10-02,0.5149485378206176,0.5789285714285715
2008-10-03,0.5311223656265316,0.5425
2008-10-06,0.48145727822251266,0.535
2008-10-07,0.44290148668518214,0.48928571428571427
2008-10-08,0.3551707237379513,0.47714285714285715
2008-10-09,0.25796438490442736,0.4092857142857143
2008-10-10,0.2973370364319555,0.35428571428571426
2008-10-13,0.37493873550073514,0.39428571428571424
2008-10-14,0.40385557915373305,0.375
2008-10-15,0.36366606763600723,0.3092857142857143
2008-10-16,0.35941839568697925,0.35892857142857143
2008-10-17,0.3416108479006698,0.3514285714285714
2008-10-20,0.3479823558242117,0.38357142857142856
2008-10-21,0.3501061917987257,0.36392857142857143
2008-10-22,0.3025649403692207,0.3260714285714286
2008-10-23,0.3040352883515765,0.3432142857142857
2008-10-24,0.32037248815553016,0.32107142857142856
2008-10-27,0.2957033164515602,0.31857142857142856
2008-10-28,0.35941839568697925,0.3692857142857143
2008-10-29,0.340140499918314,0.3939285714285714
2008-10-30,0.3278876000653488,0.4164285714285714
2008-10-31,0.3102434242770789,0.4389285714285714
2008-11-03,0.36578990361052116,0.4160714285714286
2008-11-04,0.44927299460872405,0.4185714285714286
2008-11-05,0.417252082992975,0.3875
2008-11-06,0.38539454337526546,0.37285714285714283
2008-11-07,0.41153406306159124,0.39142857142857146
2008-11-10,0.3958503512497958,0.355
2008-11-11,0.3370364319555628,0.3360714285714286
2008-11-12,0.285574252573109,0.2989285714285714
2008-11-13,0.3064858683221696,0.2992857142857143
2008-11-14,0.2749550727005391,0.26857142857142857
2008-11-17,0.24505799705930403,0.25035714285714283
2008-11-18,0.23378532919457606,0.2175
2008-11-19,0.19065512171213853,0.20285714285714285
2008-11-20,0.15405979415128246,0.2089285714285714
2008-11-21,0.16337199803953603,0.20464285714285715
2008-11-24,0.20372488155530144,0.23785714285714285
2008-11-25,0.21042313347492242,0.2307142857142857
2008-11-26,0.2216958013396504,0.25107142857142856
2008-11-28,0.22561672929259927,0.265
2008-12-01,0.19375918967488973,0.22892857142857143
2008-12-02,0.22725044927299462,0.25
2008-12-03,0.23166149322006208,0.2639285714285714
2008-12-04,0.22283940532592714,0.27964285714285714
2008-12-05,0.3136742362359092,0.3075
2008-12-08,0.29145564450253225,0.315
2008-12-09,0.30468877634373465,0.3057142857142857
2008-12-10,0.31285737624571147,0.3157142857142857
2008-12-11,0.276425420682895,0.29178571428571426
2008-12-12,0.2916190165005718,0.30357142857142855
2008-12-15,0.28263355660839734,0.2910714285714286
2008-12-16,0.33654631596144424,0.30250000000000005
2008-12-17,0.32919457604966507,0.3575
2008-12-18,0.30942656428688126,0.37214285714285716
2008-12-19,0.33180852801829763,0.3792857142857143
2008-12-22,0.3144910962261068,0.3339285714285714
2008-12-23,0.30958993628492076,0.3110714285714286
2008-12-24,0.31220388825355333,0.315
2008-12-26,0.3184120241790557,0.3071428571428571
2008-12-29,0.3107335402711975,0.3175
2008-12-30,0.35108642378696286,0.3360714285714286
2008-12-31,0.3687305995752328,0.3696428571428571
