,KMX,MWW
2008-07-15,0.5113043478260869,0.579476861167002
2008-07-16,0.5369565217391304,0.6156941649899396
2008-07-17,0.6043478260869566,0.6304493628437291
2008-07-18,0.5878260869565217,0.6237424547283703
2008-07-21,0.5643478260869565,0.6187122736418511
2008-07-22,0.5973913043478261,0.6217303822937625
2008-07-23,0.6156521739130435,0.6304493628437291
2008-07-24,0.5791304347826087,0.6116700201207242
2008-07-25,0.5921739130434782,0.595908786049631
2008-07-28,0.5604347826086957,0.5865191146881287
2008-07-29,0.5930434782608696,0.608316566063045
2008-07-30,0.5908695652173913,0.6093226022803488
2008-07-31,0.5826086956521739,0.5949027498323273
2008-08-01,0.6130434782608696,0.602280348759222
2008-08-04,0.6213043478260869,0.5814889336016097
2008-08-05,0.6739130434782609,0.6338028169014084
