"","X1","YUM","TWC","long_distance","Fx","Fy","MI_X","MI_Y"
"47",2009-03-11,0.79375,0.347434743474347,"TWC",0.800865800865801,0.930735930735931,0.531732358698622,0.885993225323191
"48",2009-03-12,0.8353125,0.374887488748875,"TWC",0.956709956709957,0.991341991341991,0.758774850365845,0.964016371947421
"49",2009-03-13,0.843125,1.14851485148515,NA,0.666666666666667,1,0.0737915577156011,0.9999999999
"50",2009-03-16,0.8328125,1.16561656165617,"YUM",0.307359307359307,0.753246753246753,0.114668111608154,0.877767117681869
"51",2009-03-17,0.855625,1.21827182718272,"YUM",0.857142857142857,0.943722943722944,0.617152969091043,0.885692599188053
"52",2009-03-18,0.863125,1.22187218721872,"YUM",0.662337662337662,0.54978354978355,0.645641650602919,0.412352826249901
"53",2009-03-19,0.8475,1.16021602160216,"YUM",0.238095238095238,0.0476190476190476,0.77015273480595,0.0293821596659273
"54",2009-03-20,0.8315625,1.15211521152115,"YUM",0.233766233766234,0.393939393939394,0.193344009663636,0.592187417719709
"55",2009-03-23,0.8934375,1.22952295229523,"YUM",0.991341991341991,0.978354978354978,0.950283180519305,0.855320825604922
"56",2009-03-24,0.87875,1.21107110711071,"YUM",0.246753246753247,0.277056277056277,0.312391913263354,0.400396597024591
"57",2009-03-25,0.8884375,1.2029702970297,"YUM",0.705627705627706,0.398268398268398,0.792745840406192,0.210429096283882
"58",2009-03-26,0.933125,1.25112511251125,"YUM",0.952380952380952,0.930735930735931,0.85914134086115,0.77513303711472
"59",2009-03-27,0.8996875,1.18451845184518,"YUM",0.0909090909090909,0.038961038961039,0.537609449439013,0.0914673080177782
"60",2009-03-30,0.864375,1.13636363636364,"YUM",0.0735930735930736,0.0649350649350649,0.313884012282646,0.24077781599886
"61",2009-03-31,0.85875,1.11611161116112,"YUM",0.398268398268398,0.238095238095238,0.592301687862846,0.196263255830952
"62",2009-04-01,0.884375,1.10576057605761,"YUM",0.865800865800866,0.372294372294372,0.933222265665622,0.120117093649916
"63",2009-04-02,0.9384375,1.14536453645365,"YUM",0.974025974025974,0.922077922077922,0.924677309344734,0.70878069318455
"64",2009-04-03,0.9478125,1.18361836183618,"YUM",0.688311688311688,0.9004329004329,0.399099587553085,0.881654087880379
"65",2009-04-06,0.9328125,1.2029702970297,"YUM",0.25974025974026,0.761904761904762,0.0816055584427309,0.902388336577261
"66",2009-04-07,0.899375,1.16426642664266,"YUM",0.0909090909090909,0.0909090909090909,0.284768687888461,0.284768687888461
"67",2009-04-08,0.9228125,1.20837083708371,"YUM",0.848484848484849,0.926406926406926,0.625755393282552,0.855514627800489
"68",2009-04-09,0.94625,1.24752475247525,"YUM",0.848484848484849,0.9004329004329,0.657946453925788,0.805045623312259
"69",2009-04-13,0.9371875,1.26642664266427,"YUM",0.341991341991342,0.753246753246753,0.140324428098184,0.862935133858819
"70",2009-04-14,0.921875,1.25112511251125,"YUM",0.255411255411255,0.32034632034632,0.281696473006675,0.458343855568058
"71",2009-04-15,0.945625,1.2961296129613,"YUM",0.848484848484849,0.922077922077922,0.631602482508362,0.847023421939281
