"","X1","CIM","XL","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.782738095238095,0.946015424164524,"CIM",0.831168831168831,0.956709956709957,0.447413577570562,0.942841169696702
"47",2009-03-11,0.857142857142857,0.894601542416452,"CIM",0.943722943722944,0.207792207792208,0.987510147068605,0.0492971489213051
"48",2009-03-12,0.889880952380952,1.01028277634961,"CIM",0.813852813852814,0.948051948051948,0.446203588529238,0.934829707628174
"49",2009-03-13,0.895833333333333,1.02570694087404,"CIM",0.623376623376623,0.670995670995671,0.533707751806242,0.63915010029754
"50",2009-03-16,0.788690476190476,0.93573264781491,"CIM",0.0562770562770563,0.0995670995670996,0.136097065467339,0.353457580763147
"51",2009-03-17,0.779761904761905,1.05912596401028,"CIM",0.484848484848485,0.952380952380952,0.145416566174186,0.983574348589027
"52",2009-03-18,0.863095238095238,1.31619537275064,"CIM",0.952380952380952,0.982683982683983,0.627191757440876,0.928775939442991
"53",2009-03-19,0.863095238095238,1.27763496143959,"CIM",0.567099567099567,0.32034632034632,0.712581690703561,0.229522101572617
"54",2009-03-20,0.776785714285714,1.08997429305913,"CIM",0.0735930735930736,0.051948051948052,0.289304643820953,0.161959928922189
"55",2009-03-23,0.9375,1.46272493573265,"CIM",0.987012987012987,0.987012987012987,0.831687498889286,0.831687498889286
"56",2009-03-24,0.99702380952381,1.37789203084833,"CIM",0.904761904761905,0.203463203463203,0.975916081828481,0.0523151810715818
"57",2009-03-25,1.00297619047619,1.48843187660668,"CIM",0.623376623376623,0.891774891774892,0.310894071359164,0.921600931393214
"58",2009-03-26,1.03869047619048,1.54498714652956,"CIM",0.796536796536797,0.783549783549784,0.692046429799778,0.656421187561412
"59",2009-03-27,0.976190476190476,1.59125964010283,"CIM",0.134199134199134,0.753246753246753,0.0410989867706166,0.925633460832948
"60",2009-03-30,0.910714285714286,1.36246786632391,"CIM",0.125541125541126,0.051948051948052,0.434096583306248,0.0991902453925991
"61",2009-03-31,1,1.40359897172236,"CIM",0.943722943722944,0.753246753246753,0.947599901617203,0.369722469717059
"62",2009-04-01,1.02678571428571,1.48329048843188,"CIM",0.757575757575758,0.857142857142857,0.536027247008477,0.815931082161359
"63",2009-04-02,1.07738095238095,1.54241645244216,"CIM",0.83982683982684,0.796536796536797,0.754176867150815,0.626655819566096
"64",2009-04-03,1.08630952380952,1.57583547557841,"CIM",0.645021645021645,0.696969696969697,0.541703020746351,0.659163461181756
"65",2009-04-06,0.979166666666667,1.51670951156812,"CIM",0.0779220779220779,0.277056277056277,0.0714876322407107,0.622635679048493
