,CCK,PX
2008-07-15,1.0751421608448415,1.0918990068206296
2008-07-16,1.108854589764419,1.0928562881416777
2008-07-17,1.1839967506092606,1.1045829843245185
2008-07-18,1.1795288383428106,1.089386143352878
2008-07-21,1.1913078797725425,1.102668421682422
2008-07-22,1.1762794476035743,1.1002752183798015
2008-07-23,1.170186839967506,1.1446691396434128
2008-07-24,1.1157595450852964,1.1090104104343665
2008-07-25,1.1291632818846467,1.127916716525069
2008-07-28,1.133225020308692,1.1099676917554149
2008-07-29,1.133225020308692,1.1276773961948068
2008-07-30,1.1454102355808284,1.132224482469786
2008-07-31,1.1385052802599513,1.1215747277731245
2008-08-01,1.1364744110479286,1.0947708507837741
2008-08-04,1.099918765231519,1.0611463443819553
2008-08-05,1.0844841592201462,1.0773004666746442
2008-08-06,1.091795288383428,1.0954888117745603
