"","X1","DVA","ABT","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.896741344195519,0.87714712471994,NA,0.341991341991342,0.688311688311688,0.21326290718712,0.76318129018897
"47",2009-03-11,0.882281059063136,0.830283793876027,NA,0.173160173160173,0.00865800865800866,0.862994443694881,0.00318546000442466
"48",2009-03-12,0.913441955193483,0.870985810306199,NA,0.926406926406926,0.991341991341991,0.644858691497742,0.977105732455519
"49",2009-03-13,0.936252545824847,0.874719940253921,NA,0.904761904761905,0.632034632034632,0.904216495039692,0.407535860250467
"50",2009-03-16,0.933808553971487,0.893390589992532,NA,0.424242424242424,0.874458874458874,0.220419303529811,0.910974721159226
"51",2009-03-17,0.935845213849287,0.91747572815534,NA,0.545454545454545,0.935064935064935,0.286009095761672,0.948797394542962
"52",2009-03-18,0.938289205702648,0.907953696788648,NA,0.54978354978355,0.255411255411255,0.676400234653426,0.168006548790094
"53",2009-03-19,0.915885947046843,0.887415982076176,NA,0.112554112554113,0.0606060606060606,0.421735156862052,0.12167563852872
"54",2009-03-20,0.862321792260692,0.887602688573562,NA,0.025974025974026,0.515151515151515,0.00459825341775022,0.912065686324871
"55",2009-03-23,0.878411405295316,0.910380881254668,NA,0.865800865800866,0.935064935064935,0.698647694311006,0.882727275667393
"56",2009-03-24,0.876782077393075,0.867438386855863,NA,0.441558441558442,0.00865800865800866,0.944730988400441,0.000912187035723599
"57",2009-03-25,0.90020366598778,0.85941000746826,NA,0.909090909090909,0.277056277056277,0.957517059734678,0.0981931609312471
"58",2009-03-26,0.907128309572301,0.867251680358476,NA,0.692640692640693,0.748917748917749,0.589287427318739,0.689652296632046
"59",2009-03-27,0.888187372708758,0.870052277819268,NA,0.134199134199134,0.606060606060606,0.0552036390714442,0.819006400774317
"60",2009-03-30,0.891649694501018,0.894137415982076,NA,0.593073593073593,0.939393939393939,0.327466613162639,0.94777379361565
"61",2009-03-31,0.895112016293279,0.89058999253174,NA,0.593073593073593,0.432900432900433,0.616283204415779,0.346300637059581
"62",2009-04-01,0.903665987780041,0.871919342793129,NA,0.731601731601732,0.0865800865800866,0.919923501159283,0.0216445624959816
"63",2009-04-02,0.925050916496945,0.847274085138163,NA,0.904761904761905,0.038961038961039,0.987842185208346,0.00394047785077623
"64",2009-04-03,0.908350305498982,0.823749066467513,NA,0.16017316017316,0.038961038961039,0.632555024202485,0.0398314613259527
"65",2009-04-06,0.913441955193483,0.809559372666169,"ABT",0.653679653679654,0.125541125541126,0.855504596002761,0.0455305411819537
"66",2009-04-07,0.921588594704684,0.80134428678118,"ABT",0.714285714285714,0.264069264069264,0.821289425965288,0.136033520496946
"67",2009-04-08,0.920570264765784,0.815347274085138,"ABT",0.471861471861472,0.83982683982684,0.28240071143223,0.868882610713769
"68",2009-04-09,0.921384928716904,0.822068707991038,"ABT",0.515151515151515,0.731601731601732,0.380802487818366,0.739144543699476
"69",2009-04-13,0.907331975560081,0.828603435399552,"ABT",0.181818181818182,0.718614718614719,0.074060982317487,0.862488337316907
"70",2009-04-14,0.905295315682281,0.834764749813294,"ABT",0.424242424242424,0.701298701298701,0.293000829718304,0.741261926967941
"71",2009-04-15,0.915274949083503,0.796489917849141,"ABT",0.766233766233766,0.00865800865800866,0.984762318128032,0.000468096004836882
"72",2009-04-16,0.9020366598778,0.797050037341299,"ABT",0.207792207792208,0.532467532467532,0.126129610826537,0.697249189569742
"73",2009-04-17,0.878818737270876,0.819454817027633,"ABT",0.0995670995670996,0.943722943722944,0.0156268655208832,0.988669634156833
"74",2009-04-20,0.887169042769857,0.823188946975355,"ABT",0.731601731601732,0.632034632034632,0.69330380889225,0.521071361000525
"75",2009-04-21,0.896537678207739,0.828416728902166,"ABT",0.766233766233766,0.670995670995671,0.721141638452892,0.552127081879956
"76",2009-04-22,0.887780040733198,0.793502613890963,"ABT",0.268398268398268,0.0173160173160173,0.851768742239096,0.00531114518667442
"77",2009-04-23,0.862729124236252,0.809559372666169,"ABT",0.0692640692640693,0.87012987012987,0.0112217975675667,0.973625403519488
"78",2009-04-24,0.890224032586558,0.804518297236744,"ABT",0.917748917748918,0.372294372294372,0.952723454330088,0.156764982552676
"79",2009-04-27,0.906924643584521,0.805825242718446,"ABT",0.865800865800866,0.58008658008658,0.871109913967392,0.380523638050693
"80",2009-04-28,0.926476578411405,0.803024645257655,"ABT",0.878787878787879,0.45021645021645,0.910253292138122,0.24116112622414
"81",2009-04-29,0.964358452138493,0.795743091859597,"ABT",0.939393939393939,0.285714285714286,0.973938484054729,0.0918943783733829
"82",2009-04-30,0.944399185336049,0.781366691560866,"ABT",0.134199134199134,0.116883116883117,0.299709303178489,0.227553484087754
"83",2009-05-01,0.934623217922607,0.775205377147125,"ABT",0.264069264069264,0.337662337662338,0.267181959859795,0.423457369147482
"84",2009-05-04,0.956415478615071,0.806198655713219,"ABT",0.904761904761905,0.987012987012987,0.628432529905117,0.97123121546908
