"","X1","WEN","NTGR","long_distance","Fx","Fy","MI_X","MI_Y"
"96",2009-05-20,0.871743486973948,1.12781954887218,"WEN",0.168831168831169,0.121212121212121,0.375694950787871,0.243834153484481
"97",2009-05-21,0.879759519038076,1.11445279866332,"WEN",0.614718614718615,0.337662337662338,0.77413399724091,0.212607748469903
"98",2009-05-22,0.841683366733467,1.11862990810359,"WEN",0.177489177489178,0.58008658008658,0.0982213814646557,0.841332378030415
"99",2009-05-26,0.885771543086172,1.17710944026733,"WEN",0.883116883116883,0.956709956709957,0.666176018525695,0.893589253166976
"100",2009-05-27,0.871743486973948,1.17710944026733,"WEN",0.359307359307359,0.515151515151515,0.309465380944291,0.651145040002155
"101",2009-05-28,0.857715430861723,1.156223893066,"WEN",0.350649350649351,0.264069264069264,0.530731816934478,0.327094887491739
"102",2009-05-29,0.841683366733467,1.17209690893901,"WEN",0.337662337662338,0.722943722943723,0.150723395324098,0.86404501133035
"103",2009-06-01,0.877755511022044,1.21888053467001,"WEN",0.857142857142857,0.922077922077922,0.637936498758365,0.827424765076931
"104",2009-06-02,0.829659318637274,1.23224728487886,"WEN",0.108225108225108,0.675324675324675,0.037766465056968,0.92109554556141
"105",2009-06-03,0.811623246492986,1.23475355054302,"WEN",0.311688311688312,0.54978354978355,0.230391068429888,0.728844664159793
"106",2009-06-04,0.811623246492986,1.25480367585631,"WEN",0.554112554112554,0.744588744588745,0.33910930577991,0.758700260996679
"107",2009-06-05,0.807615230460922,1.23642439431913,"WEN",0.467532467532468,0.307359307359307,0.640747300579048,0.286504777541012
"108",2009-06-08,0.821643286573146,1.2406015037594,"WEN",0.696969696969697,0.58008658008658,0.679871774825065,0.414304834610772
"109",2009-06-09,0.831663326653307,1.22305764411028,"WEN",0.632034632034632,0.316017316017316,0.803728607573151,0.18243497069183
"110",2009-06-10,0.801603206412826,1.21136173767753,"WEN",0.216450216450216,0.372294372294372,0.245853367066852,0.605109742496652
"111",2009-06-11,0.795591182364729,1.23308270676692,"WEN",0.428571428571429,0.761904761904762,0.199802554170999,0.851352677525374
"112",2009-06-12,0.797595190380761,1.23224728487886,"WEN",0.562770562770563,0.502164502164502,0.57885892632338,0.442212101761512
"113",2009-06-15,0.785571142284569,1.30659983291562,"WEN",0.367965367965368,0.965367965367965,0.0757963840455466,0.987466117472041
"114",2009-06-16,0.785571142284569,1.30325814536341,"WEN",0.554112554112554,0.480519480519481,0.588243008869197,0.422920529475142
"115",2009-06-17,0.807615230460922,1.31077694235589,"WEN",0.774891774891775,0.623376623376623,0.746029057629967,0.397288816243801
"116",2009-06-18,0.781563126252505,1.29573934837093,"WEN",0.246753246753247,0.350649350649351,0.303187219276614,0.547414148800003
"117",2009-06-19,0.777555110220441,1.27318295739348,"WEN",0.458874458874459,0.268398268398268,0.66477557213472,0.247143342896247
"118",2009-06-22,0.751503006012024,1.23809523809524,"WEN",0.229437229437229,0.168831168831169,0.439730920990159,0.283427602287547
"119",2009-06-23,0.741482965931864,1.2280701754386,"WEN",0.372294372294372,0.376623376623377,0.451578161051463,0.461584777365865
"120",2009-06-24,0.7374749498998,1.22389306599833,"WEN",0.454545454545455,0.467532467532468,0.472507654570306,0.50196753856237
"121",2009-06-25,0.743486973947896,1.24644945697577,"WEN",0.61038961038961,0.770562770562771,0.384579573823485,0.749953170632956
"122",2009-06-26,0.727454909819639,1.22890559732665,"WEN",0.311688311688312,0.32034632034632,0.421547715461259,0.442068083903647
"123",2009-06-29,0.803607214428858,1.22639933166249,"WEN",0.978354978354978,0.484848484848485,0.987994402363508,0.126372698643598
"124",2009-06-30,0.801603206412826,1.20384294068505,"WEN",0.493506493506494,0.25974025974026,0.71053903975213,0.213720482291872
"125",2009-07-01,0.823647294589178,1.23141186299081,"WEN",0.774891774891775,0.831168831168831,0.567533676036182,0.713150773588286
