,BMY,CBZ
2008-07-14,0.8806343906510852,0.840255591054313
2008-07-15,0.9040066777963272,0.8349307774227901
2008-07-16,0.9340567612687812,0.8509052183173589
2008-07-17,0.9407345575959932,0.853035143769968
2008-07-18,0.92779632721202,0.8434504792332268
2008-07-21,0.9111018363939899,0.8477103301384451
2008-07-22,0.9048414023372287,0.853035143769968
2008-07-23,0.9136060100166945,0.8604898828541001
2008-07-24,0.9232053422370617,0.8572949946751864
2008-07-25,0.9240400667779632,0.8551650692225771
2008-07-28,0.914440734557596,0.8562300319488817
2008-07-29,0.8985809682804674,0.8956336528221512
2008-07-30,0.897746243739566,0.8743343982960596
2008-07-31,0.8814691151919867,0.8722044728434504
2008-08-01,0.8810517529215358,0.8668796592119276
2008-08-04,0.8927378964941569,0.8594249201277955
2008-08-05,0.9106844741235393,0.865814696485623
2008-08-06,0.9136060100166945,0.8700745473908412
2008-08-07,0.904424040066778,0.8679446219382322
2008-08-08,0.931135225375626,0.8775292864749733
2008-08-11,0.9365609348914858,0.9041533546325878
2008-08-12,0.9265442404006677,0.8849840255591054
2008-08-13,0.9173622704507512,0.9009584664536742
2008-08-14,0.9131886477462436,0.8956336528221512
2008-08-15,0.9173622704507512,0.8817891373801916
2008-08-18,0.9077629382303839,0.8849840255591054
2008-08-19,0.8964941569282137,0.8828541001064961
2008-08-20,0.8981636060100167,0.8796592119275825
2008-08-21,0.9140233722871451,0.8775292864749733
2008-08-22,0.9323873121869782,0.8903088391906282
2008-08-25,0.9173622704507512,0.8615548455804046
2008-08-26,0.9173622704507512,0.8679446219382322
2008-08-27,0.8981636060100167,0.8711395101171459
2008-08-28,0.9031719532554257,0.9094781682641107
2008-08-29,0.8906510851419032,0.9052183173588924
2008-09-02,0.8985809682804674,0.8956336528221512
2008-09-03,0.8989983305509182,0.8892438764643237
2008-09-04,0.8973288814691152,0.8679446219382322
2008-09-05,0.8969115191986643,0.8668796592119276
2008-09-08,0.9315525876460767,0.8871139510117145
2008-09-09,0.9198664440734556,0.8732694355697549
2008-09-10,0.904424040066778,0.8945686900958466
2008-09-11,0.9111018363939899,0.8998935037273694
2008-09-12,0.9282136894824707,0.8977635782747603
2008-09-15,0.8994156928213689,0.9020234291799787
2008-09-16,0.8956594323873122,0.9211927582534611
2008-09-17,0.8614357262103506,0.908413205537806
2008-09-18,0.8727045075125208,0.9073482428115015
2008-09-19,0.8764607679465776,0.9584664536741213
2008-09-22,0.8606010016694491,0.9371671991480298
2008-09-23,0.8455759599332221,0.9403620873269435
2008-09-24,0.8601836393989982,0.8998935037273694
2008-09-25,0.8626878130217028,0.9148029818956336
2008-09-26,0.8689482470784641,0.9116080937167199
2008-09-29,0.8284641068447413,0.8903088391906282
2008-09-30,0.8702003338898164,0.8998935037273694
2008-10-01,0.8676961602671118,0.8743343982960596
2008-10-02,0.8514190317195325,0.8636847710330138
2008-10-03,0.8526711185308847,0.8572949946751864
2008-10-06,0.8063439065108514,0.8562300319488817
2008-10-07,0.7863105175292153,0.8391906283280085
2008-10-08,0.7904841402337229,0.8157614483493077
2008-10-09,0.7504173622704507,0.7539936102236421
2008-10-10,0.7328881469115192,0.8413205537806177
2008-10-13,0.7929883138564273,0.8434504792332268
2008-10-14,0.7804674457429048,0.7965921192758253
2008-10-15,0.7232888146911518,0.7454739084132055
2008-10-16,0.7203672787979967,0.8146964856230032
2008-10-17,0.7320534223706177,0.7838125665601704
2008-10-20,0.7679465776293822,0.8189563365282215
2008-10-21,0.7704507512520868,0.8019169329073482
2008-10-22,0.731636060100167,0.7838125665601704
2008-10-23,0.753338898163606,0.7838125665601704
2008-10-24,0.7362270450751252,0.7571884984025559
2008-10-27,0.7746243739565942,0.7273695420660277
2008-10-28,0.8468280467445742,0.7976570820021299
2008-10-29,0.827212020033389,0.7646432374866879
2008-10-30,0.8560100166944908,0.8306709265175718
2008-10-31,0.8576794657762938,0.8626198083067091
2008-11-03,0.8576794657762938,0.9009584664536742
2008-11-04,0.9010851419031719,0.8700745473908412
2008-11-05,0.8660267111853088,0.8562300319488817
2008-11-06,0.8238731218697829,0.8477103301384451
2008-11-07,0.8576794657762938,0.8647497337593183
2008-11-10,0.850584307178631,0.8551650692225771
2008-11-11,0.8363939899833055,0.8466453674121406
2008-11-12,0.8159432387312187,0.825346112886049
2008-11-13,0.8343071786310516,0.8700745473908412
2008-11-14,0.8171953255425709,0.7987220447284344
2008-11-17,0.8222036727879799,0.8093716719914802
2008-11-18,0.8551752921535892,0.8178913738019169
2008-11-19,0.8459933222036727,0.7667731629392971
2008-11-20,0.8046744574290484,0.7305644302449414
2008-11-21,0.7975792988313856,0.7678381256656016
2008-11-24,0.83889816360601,0.7944621938232161
2008-11-25,0.8585141903171953,0.8157614483493077
2008-11-26,0.8585141903171953,0.8413205537806177
2008-11-28,0.8639398998330551,0.8551650692225771
2008-12-01,0.8080133555926544,0.8008519701810436
2008-12-02,0.8464106844741236,0.8338658146964856
2008-12-03,0.9056761268781301,0.8359957401490947
2008-12-04,0.8639398998330551,0.832800851970181
2008-12-05,0.8860601001669449,0.8562300319488817
2008-12-08,0.9177796327212019,0.8690095846645367
2008-12-09,0.8514190317195325,0.8551650692225771
2008-12-10,0.8893989983305508,0.8817891373801916
2008-12-11,0.8952420701168614,0.853035143769968
2008-12-12,0.9394824707846411,0.8775292864749733
2008-12-15,0.9390651085141903,0.8711395101171459
2008-12-16,0.9390651085141903,0.8988285410010649
2008-12-17,0.9382303839732888,0.9233226837060702
2008-12-18,0.9540901502504173,0.906283280085197
2008-12-19,0.9520033388981635,0.9073482428115015
2008-12-22,0.9570116861435726,0.9254526091586793
2008-12-23,0.9695325542570952,0.9105431309904154
2008-12-24,0.9686978297161937,0.9169329073482427
2008-12-26,0.9641068447412354,0.9233226837060702
2008-12-29,0.9574290484140234,0.8903088391906282
2008-12-30,0.9545075125208681,0.8935037273695421
2008-12-31,0.9703672787979967,0.9211927582534611
