"","X1","DIS","MTX","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.651755852842809,0.668131868131868,NA,0.220779220779221,0.835497835497836,0.0271142525591957,0.976688610734111
"46",2009-03-10,0.694397993311037,0.68962148962149,NA,0.974025974025974,0.9004329004329,0.964769699317428,0.270171347435372
"47",2009-03-11,0.693561872909699,0.698168498168498,NA,0.506493506493506,0.761904761904762,0.254574858453008,0.851727758128145
"48",2009-03-12,0.728678929765886,0.742124542124542,NA,0.961038961038961,0.974025974025974,0.570268304633313,0.83299102976824
"49",2009-03-13,0.716137123745819,0.748229548229548,NA,0.194805194805195,0.696969696969697,0.0406189912734937,0.932445354757018
"50",2009-03-16,0.719481605351171,0.755067155067155,NA,0.61038961038961,0.705627705627706,0.456761892245191,0.708597618559764
"51",2009-03-17,0.744983277591973,0.777533577533577,NA,0.913419913419913,0.891774891774892,0.774525134600562,0.622582326768981
"52",2009-03-18,0.757107023411371,0.813919413919414,NA,0.800865800865801,0.930735930735931,0.320457986941864,0.936016628198535
"53",2009-03-19,0.739966555183946,0.810744810744811,NA,0.164502164502165,0.424242424242424,0.0854073422857614,0.767142453381047
"54",2009-03-20,0.729515050167224,0.78998778998779,NA,0.233766233766234,0.173160173160173,0.468137446089509,0.235276883107246
"55",2009-03-23,0.790969899665552,0.841269841269841,NA,0.982683982683983,0.978354978354978,0.785171404376271,0.637904702834736
"56",2009-03-24,0.7688127090301,0.801709401709402,NA,0.138528138528139,0.0779220779220779,0.533391710117974,0.142971385265083
"57",2009-03-25,0.774665551839465,0.81953601953602,NA,0.670995670995671,0.835497835497836,0.365457990812968,0.862086088472631
"58",2009-03-26,0.796822742474916,0.806105006105006,NA,0.891774891774892,0.242424242424242,0.988367248227452,0.0221508837403051
"59",2009-03-27,0.777173913043478,0.782661782661783,NA,0.155844155844156,0.151515151515152,0.338201074079314,0.317088072955268
"60",2009-03-30,0.74623745819398,0.767032967032967,NA,0.0822510822510823,0.207792207792208,0.0809936305851202,0.67554340104777
"61",2009-03-31,0.759197324414716,0.782661782661783,NA,0.805194805194805,0.822510822510823,0.635288400064965,0.704356980831187
"62",2009-04-01,0.785535117056856,0.822222222222222,NA,0.909090909090909,0.948051948051948,0.506441128896852,0.864419344799314
"63",2009-04-02,0.844899665551839,0.87032967032967,NA,0.982683982683983,0.961038961038961,0.912053303697035,0.428017126569742
"64",2009-04-03,0.836120401337793,0.886446886446886,NA,0.316017316017316,0.80952380952381,0.0708171780555753,0.950457499677333
"65",2009-04-06,0.820234113712375,0.873748473748474,NA,0.177489177489178,0.277056277056277,0.194646693990479,0.541234575655533
"66",2009-04-07,0.79933110367893,0.84029304029304,NA,0.155844155844156,0.116883116883117,0.432871090464588,0.224138126205664
"67",2009-04-08,0.809364548494983,0.855677655677656,NA,0.753246753246753,0.80952380952381,0.552261535689927,0.748924937404865
"68",2009-04-09,0.831103678929766,0.912576312576312,NA,0.887445887445887,0.978354978354978,0.205108510290406,0.979840729442136
"69",2009-04-13,0.816471571906355,0.91990231990232,"DIS",0.186147186147186,0.688311688311688,0.0381061782167564,0.932287590242376
"70",2009-04-14,0.795150501672241,0.91037851037851,"DIS",0.155844155844156,0.324675324675325,0.122381551704134,0.661869806724069
"71",2009-04-15,0.824832775919732,0.917704517704518,"DIS",0.917748917748918,0.688311688311688,0.957043844138844,0.218983853258616
"72",2009-04-16,0.857441471571906,0.938705738705739,"DIS",0.930735930735931,0.83982683982684,0.909553361913427,0.395303100395475
"73",2009-04-17,0.852006688963211,0.937728937728938,"DIS",0.402597402597403,0.480519480519481,0.361714130614699,0.555297868910156
"74",2009-04-20,0.811454849498328,0.883272283272283,"DIS",0.0606060606060606,0.038961038961039,0.46203211367035,0.167844473838584
"75",2009-04-21,0.813963210702341,0.927960927960928,"DIS",0.58008658008658,0.948051948051948,0.0887923506160234,0.988918003644001
"76",2009-04-22,0.811036789297659,0.911111111111111,"DIS",0.476190476190476,0.212121212121212,0.757778930320129,0.114033882847393
"77",2009-04-23,0.820652173913043,0.905494505494505,"DIS",0.74025974025974,0.372294372294372,0.88784867935252,0.14044616268449
"78",2009-04-24,0.846989966555184,0.924297924297924,"DIS",0.9004329004329,0.822510822510823,0.858293495363492,0.474261380333589
"79",2009-04-27,0.825250836120401,0.876190476190476,"DIS",0.155844155844156,0.0649350649350649,0.642717179572695,0.0866695202997868
"80",2009-04-28,0.815635451505017,0.886446886446886,"DIS",0.294372294372294,0.748917748917749,0.0808145954063355,0.922540223786899
"81",2009-04-29,0.878344481605351,0.919169719169719,"DIS",0.982683982683983,0.913419913419913,0.978610418157354,0.215267076725798
"82",2009-04-30,0.915551839464883,0.908180708180708,NA,0.935064935064935,0.311688311688312,0.993939202006859,0.0242753122341989
"83",2009-05-01,0.917224080267559,0.896214896214896,NA,0.54978354978355,0.29004329004329,0.756160503759664,0.162472002876255
"84",2009-05-04,0.955685618729097,0.915506715506715,NA,0.935064935064935,0.831168831168831,0.925612903212948,0.357580316357816
"85",2009-05-05,0.967809364548495,0.879120879120879,NA,0.757575757575758,0.108225108225108,0.97954273113648,0.00827764034265489
"86",2009-05-06,1.08152173913043,0.872283272283272,"MTX",0.987012987012987,0.350649350649351,0.99967940909139,0.00712773168309068
"87",2009-05-07,1.05894648829431,0.854945054945055,"MTX",0.168831168831169,0.207792207792208,0.262763324008404,0.422795888741442
"88",2009-05-08,1.06438127090301,0.914774114774115,"MTX",0.61038961038961,0.982683982683983,0.0369216410771873,0.998479734222223
"89",2009-05-11,1.03302675585284,0.891819291819292,"MTX",0.134199134199134,0.173160173160173,0.238271943466389,0.426955338547086
"90",2009-05-12,1.01672240802676,0.905982905982906,"MTX",0.216450216450216,0.787878787878788,0.0338753888807839,0.962467745344328
"91",2009-05-13,0.986622073578595,0.855189255189255,"MTX",0.12987012987013,0.0432900432900433,0.70411313974589,0.0569054778055799
"92",2009-05-14,0.981605351170568,0.878876678876679,"MTX",0.432900432900433,0.887445887445887,0.0877765802675099,0.971808368402341
