"","X1","SSS","LSI","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.564445737561827,0.564445737561827,NA,0.991341991341991,0.991341991341991,0.518483937570164,0.518483937570164
"47",2009-03-11,0.552225778295025,0.552225778295025,NA,0.242424242424242,0.242424242424242,0.496388056983343,0.496388056983343
"48",2009-03-12,0.608670352051208,0.608670352051208,NA,0.96969696969697,0.96969696969697,0.512393243490887,0.512393243490887
"49",2009-03-13,0.605178935117835,0.605178935117835,NA,0.415584415584416,0.415584415584416,0.497697665838387,0.497697665838387
"50",2009-03-16,0.580448065173116,0.580448065173116,NA,0.108225108225108,0.108225108225108,0.495563284756202,0.495563284756202
"51",2009-03-17,0.61216176898458,0.61216176898458,NA,0.922077922077922,0.922077922077922,0.507750569633956,0.507750569633956
"52",2009-03-18,0.614780331684609,0.614780331684609,NA,0.597402597402597,0.597402597402597,0.499572396342191,0.499572396342191
"53",2009-03-19,0.571137620017457,0.571137620017457,NA,0.0606060606060606,0.0606060606060606,0.495299921582132,0.495299921582132
"54",2009-03-20,0.525458248472505,0.525458248472505,NA,0.0303030303030303,0.0303030303030303,0.495139122618899,0.495139122618899
"55",2009-03-23,0.586558044806517,0.586558044806517,NA,0.982683982683983,0.982683982683983,0.515123451582103,0.515123451582103
"56",2009-03-24,0.536805353505964,0.536805353505964,NA,0.025974025974026,0.025974025974026,0.495116558386252,0.495116558386252
"57",2009-03-25,0.566191446028513,0.566191446028513,NA,0.922077922077922,0.922077922077922,0.507750569633956,0.507750569633956
"58",2009-03-26,0.602851323828921,0.602851323828921,NA,0.943722943722944,0.943722943722944,0.509355213336342,0.509355213336342
"59",2009-03-27,0.572592377073029,0.572592377073029,NA,0.0909090909090909,0.0909090909090909,0.495465939811039,0.495465939811039
"60",2009-03-30,0.546406750072738,0.546406750072738,NA,0.0995670995670996,0.0995670995670996,0.495514380625635,0.495514380625635
"61",2009-03-31,0.584230433517603,0.584230433517603,NA,0.943722943722944,0.943722943722944,0.509355213336342,0.509355213336342
"62",2009-04-01,0.590340413151004,0.590340413151004,NA,0.658008658008658,0.658008658008658,0.500390921546306,0.500390921546306
"63",2009-04-02,0.627291242362525,0.627291242362525,NA,0.943722943722944,0.943722943722944,0.509355213336342,0.509355213336342
"64",2009-04-03,0.636601687518184,0.636601687518184,NA,0.688311688311688,0.688311688311688,0.500855806450248,0.500855806450248
"65",2009-04-06,0.6409659586849,0.6409659586849,NA,0.614718614718615,0.614718614718615,0.49979308945953,0.49979308945953
"66",2009-04-07,0.594413732906605,0.594413732906605,NA,0.0432900432900433,0.0432900432900433,0.495207418566214,0.495207418566214
"67",2009-04-08,0.591213267384347,0.591213267384347,NA,0.432900432900433,0.432900432900433,0.497849229653607,0.497849229653607
"68",2009-04-09,0.649112598196101,0.649112598196101,NA,0.96969696969697,0.96969696969697,0.512393243490887,0.512393243490887
"69",2009-04-13,0.654349723596159,0.654349723596159,NA,0.636363636363636,0.636363636363636,0.500083193218533,0.500083193218533
"70",2009-04-14,0.62758219377364,0.62758219377364,NA,0.108225108225108,0.108225108225108,0.495563284756202,0.495563284756202
"71",2009-04-15,0.639511201629328,0.639511201629328,NA,0.744588744588745,0.744588744588745,0.501852085091904,0.501852085091904
"72",2009-04-16,0.663660168751818,0.663660168751818,NA,0.883116883116883,0.883116883116883,0.50574389392715,0.50574389392715
"73",2009-04-17,0.641256910096014,0.641256910096014,NA,0.134199134199134,0.134199134199134,0.495712868326361,0.495712868326361
"74",2009-04-20,0.589758510328775,0.589758510328775,NA,0.0303030303030303,0.0303030303030303,0.495139122618899,0.495139122618899
"75",2009-04-21,0.625545533895839,0.625545533895839,NA,0.930735930735931,0.930735930735931,0.508331957740883,0.508331957740883
"76",2009-04-22,0.612743671806808,0.612743671806808,NA,0.251082251082251,0.251082251082251,0.496446134933522,0.496446134933522
"77",2009-04-23,0.637765493162642,0.637765493162642,NA,0.891774891774892,0.891774891774892,0.506125407578242,0.506125407578242
"78",2009-04-24,0.644457375618272,0.644457375618272,NA,0.658008658008658,0.658008658008658,0.500390921546306,0.500390921546306
"79",2009-04-27,0.611288914751237,0.611288914751237,NA,0.0909090909090909,0.0909090909090909,0.495465939811039,0.495465939811039
"80",2009-04-28,0.628164096595869,0.628164096595869,NA,0.813852813852814,0.813852813852814,0.503430693792605,0.503430693792605
"81",2009-04-29,0.656968286296189,0.656968286296189,NA,0.909090909090909,0.909090909090909,0.506988628639511,0.506988628639511
"82",2009-04-30,0.655804480651731,0.655804480651731,NA,0.502164502164502,0.502164502164502,0.498505123436892,0.498505123436892
"83",2009-05-01,0.619435554262438,0.619435554262438,NA,0.0692640692640693,0.0692640692640693,0.49534680802866,0.49534680802866
"84",2009-05-04,0.664242071574047,0.664242071574047,NA,0.952380952380952,0.952380952380952,0.510176916845083,0.510176916845083
"85",2009-05-05,0.628455048006983,0.628455048006983,NA,0.0865800865800866,0.0865800865800866,0.49544189040635,0.49544189040635
"86",2009-05-06,0.635146930462613,0.635146930462613,NA,0.658008658008658,0.658008658008658,0.500390921546306,0.500390921546306
"87",2009-05-07,0.624963631073611,0.624963631073611,NA,0.294372294372294,0.294372294372294,0.496746874094188,0.496746874094188
"88",2009-05-08,0.661623508874018,0.661623508874018,NA,0.926406926406926,0.926406926406926,0.508032794734038,0.508032794734038
"89",2009-05-11,0.626709339540297,0.626709339540297,NA,0.0909090909090909,0.0909090909090909,0.495465939811039,0.495465939811039
"90",2009-05-12,0.651149258073902,0.651149258073902,NA,0.883116883116883,0.883116883116883,0.50574389392715,0.50574389392715
"91",2009-05-13,0.628745999418097,0.628745999418097,NA,0.12987012987013,0.12987012987013,0.495687631772544,0.495687631772544
"92",2009-05-14,0.643293569973814,0.643293569973814,NA,0.792207792207792,0.792207792207792,0.502882327751822,0.502882327751822
"93",2009-05-15,0.645039278440501,0.645039278440501,NA,0.575757575757576,0.575757575757576,0.499309384077472,0.499309384077472
"94",2009-05-18,0.666569682862962,0.666569682862962,NA,0.861471861471861,0.861471861471861,0.504900621393656,0.504900621393656
"95",2009-05-19,0.657841140529532,0.657841140529532,NA,0.329004329004329,0.329004329004329,0.497000922293182,0.497000922293182
"96",2009-05-20,0.663660168751818,0.663660168751818,NA,0.645021645021645,0.645021645021645,0.500204050529701,0.500204050529701
