"","X1","FWRD","LSTR","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.570841889117043,0.687703481091911,"FWRD",0.125541125541126,0.346320346320346,0.0664506632786752,0.755540507092584
"46",2009-03-10,0.579466119096509,0.717004758327072,"FWRD",0.718614718614719,0.917748917748918,0.273983943731661,0.939251249104018
"47",2009-03-11,0.592197125256673,0.736789381417481,"FWRD",0.800865800865801,0.813852813852814,0.640650869954669,0.68647753593444
"48",2009-03-12,0.613552361396304,0.748309541697971,"FWRD",0.865800865800866,0.731601731601732,0.856156959370225,0.414405537549834
"49",2009-03-13,0.634086242299795,0.760330578512397,"FWRD",0.848484848484849,0.735930735930736,0.823789548792845,0.456275870179367
"50",2009-03-16,0.640657084188912,0.803155522163787,"FWRD",0.658008658008658,0.961038961038961,0.107620074378906,0.988813919889601
"51",2009-03-17,0.662422997946612,0.817680941647884,"FWRD",0.848484848484849,0.74025974025974,0.820203389195631,0.463748824992578
"52",2009-03-18,0.679671457905544,0.838968194340095,"FWRD",0.822510822510823,0.800865800865801,0.704017284214598,0.626511710366508
"53",2009-03-19,0.66611909650924,0.832707237665915,"FWRD",0.281385281385281,0.415584415584416,0.231735869885787,0.592776924752754
"54",2009-03-20,0.637371663244353,0.791384923616329,"FWRD",0.0865800865800866,0.0735930735930736,0.378277490546941,0.250901905496405
"55",2009-03-23,0.668583162217659,0.841472577009767,"FWRD",0.9004329004329,0.96969696969697,0.370854081593977,0.941361280292665
"56",2009-03-24,0.657494866529774,0.808915602304032,"FWRD",0.311688311688312,0.108225108225108,0.755850435043254,0.0593573832417782
"57",2009-03-25,0.645995893223819,0.824943651389932,"FWRD",0.311688311688312,0.753246753246753,0.0938209183512824,0.917712075353468
"58",2009-03-26,0.71088295687885,0.903581267217631,"FWRD",0.987012987012987,0.995670995670996,0.435264800713309,0.936705652516361
"59",2009-03-27,0.693634496919918,0.853994490358127,"FWRD",0.238095238095238,0.0562770562770563,0.825131870445274,0.025763056945781
"60",2009-03-30,0.655852156057495,0.826446280991736,"FWRD",0.0649350649350649,0.134199134199134,0.100414502397669,0.611715975290513
"61",2009-03-31,0.66652977412731,0.838216879539194,"FWRD",0.735930735930736,0.705627705627706,0.659965506839536,0.574349191641471
"62",2009-04-01,0.671868583162218,0.855997996493864,"FWRD",0.632034632034632,0.757575757575758,0.429881086981104,0.761293793379359
"63",2009-04-02,0.718275154004107,0.902329075882795,"FWRD",0.943722943722944,0.956709956709957,0.656548380196448,0.796444848591382
"64",2009-04-03,0.730184804928131,0.903581267217631,"FWRD",0.74025974025974,0.523809523809524,0.810139801819698,0.301481692207519
"65",2009-04-06,0.705544147843942,0.895567242674681,"FWRD",0.151515151515152,0.376623376623377,0.0837328676699445,0.739208839299731
"66",2009-04-07,0.668993839835729,0.8412221387428,"FWRD",0.0779220779220779,0.038961038961039,0.592744848794258,0.104488362729402
"67",2009-04-08,0.690759753593429,0.85900325569747,"FWRD",0.848484848484849,0.757575757575758,0.804820246070259,0.494637976172919
"68",2009-04-09,0.696509240246407,0.908840470823942,"FWRD",0.632034632034632,0.961038961038961,0.0944855176163092,0.990290346580597
"69",2009-04-13,0.685831622176591,0.870773854244929,"FWRD",0.329004329004329,0.0995670995670996,0.793100021501163,0.0455528228207713
"70",2009-04-14,0.676386036960986,0.885048835462059,"FWRD",0.350649350649351,0.735930735930736,0.12944909461606,0.890645526702886
"71",2009-04-15,0.670636550308008,0.879288755321813,"FWRD",0.432900432900433,0.428571428571429,0.453014468119881,0.442050323742444
"72",2009-04-16,0.726078028747433,0.862759829701979,"FWRD",0.961038961038961,0.233766233766234,0.998517317748698,0.00797494322885883
"73",2009-04-17,0.741273100616016,0.855747558226897,"FWRD",0.792207792207792,0.393939393939394,0.918348012271653,0.131779298615981
"74",2009-04-20,0.678850102669404,0.828449787127473,"FWRD",0.0216450216450216,0.134199134199134,0.0110300529625315,0.876907594733043
"75",2009-04-21,0.616016427104723,0.856248434760831,"FWRD",0.012987012987013,0.861471861471861,5.84193267386679e-05,0.999339461467077
"76",2009-04-22,0.654209445585216,0.886551465063862,"FWRD",0.926406926406926,0.861471861471861,0.860621711129756,0.506108816966392
"77",2009-04-23,0.661601642710472,0.875532181317305,"FWRD",0.675324675324675,0.346320346320346,0.840439186745388,0.156243015558516
"78",2009-04-24,0.691991786447639,0.886801903330829,"FWRD",0.896103896103896,0.683982683982684,0.924732301166714,0.281890787503292
"79",2009-04-27,0.672279260780287,0.84923616328575,"FWRD",0.186147186147186,0.0909090909090909,0.618288363882469,0.105067787609812
"80",2009-04-28,0.678028747433265,0.843976959679439,"FWRD",0.636363636363636,0.441558441558442,0.734339485065252,0.287368093851416
"81",2009-04-29,0.678028747433265,0.872777360380666,"FWRD",0.506493506493506,0.861471861471861,0.161929428183473,0.941335308582559
"82",2009-04-30,0.684599589322382,0.891810668670173,"FWRD",0.645021645021645,0.761904761904762,0.444056794487105,0.75770963517028
"83",2009-05-01,0.707597535934292,0.886050588529927,"FWRD",0.848484848484849,0.428571428571429,0.94864013169958,0.118359082265836
"84",2009-05-04,0.768788501026694,0.960180315552217,"FWRD",0.96969696969697,0.987012987012987,0.498776678424562,0.907343792394809
"85",2009-05-05,0.779466119096509,0.941397445529677,"FWRD",0.705627705627706,0.233766233766234,0.9182818247096,0.061371615239578
"86",2009-05-06,0.793839835728953,0.985975457049837,"FWRD",0.774891774891775,0.935064935064935,0.298418711890794,0.942121004022273
"87",2009-05-07,0.802874743326489,0.962434259954921,"FWRD",0.675324675324675,0.194805194805195,0.919536469570789,0.0467285700283609
"88",2009-05-08,0.818480492813142,0.948159278737791,"FWRD",0.779220779220779,0.298701298701299,0.93728270180942,0.0763939699918857
"89",2009-05-11,0.785215605749487,0.936388680190333,"FWRD",0.0995670995670996,0.346320346320346,0.0415525265392436,0.808546775493408
"90",2009-05-12,0.767145790554415,0.906836964688204,"FWRD",0.246753246753247,0.134199134199134,0.595916589253487,0.133662634485031
"91",2009-05-13,0.744969199178645,0.866015527172552,"FWRD",0.181818181818182,0.0822510822510823,0.644097083069564,0.0908045286253276
"92",2009-05-14,0.781519507186858,0.877285249186076,"FWRD",0.9004329004329,0.692640692640693,0.926869134112046,0.283185683769526
"93",2009-05-15,0.774127310061602,0.876533934385174,"FWRD",0.415584415584416,0.493506493506494,0.366404469566153,0.55845533548639
"94",2009-05-18,0.802053388090349,0.90808915602304,"FWRD",0.865800865800866,0.865800865800866,0.69260531348833,0.69260531348833
"95",2009-05-19,0.825051334702259,0.910343100425745,"FWRD",0.831168831168831,0.536796536796537,0.905968012923828,0.221501993679809
"96",2009-05-20,0.848049281314168,0.89030803906837,"FWRD",0.826839826839827,0.207792207792208,0.975397167658542,0.027180058385736
"97",2009-05-21,0.783983572895277,0.869271224643125,"FWRD",0.0303030303030303,0.194805194805195,0.0105081515391415,0.885694531188615
"98",2009-05-22,0.788090349075975,0.866766841973454,"FWRD",0.601731601731602,0.476190476190476,0.660154386306757,0.362296497509385
"99",2009-05-26,0.825462012320329,0.89206110693714,"FWRD",0.896103896103896,0.835497835497836,0.818143210430896,0.542921023171237
"100",2009-05-27,0.820533880903491,0.884297520661157,"FWRD",0.458874458874459,0.376623376623377,0.546178013971242,0.338040458686461
"101",2009-05-28,0.839835728952772,0.898822940145254,"FWRD",0.80952380952381,0.735930735930736,0.755687617598418,0.524678724221956
"102",2009-05-29,0.875564681724846,0.951665414475332,"FWRD",0.887445887445887,0.965367965367965,0.367614107107358,0.939816864822028
"103",2009-06-01,0.906365503080082,0.983220636113198,"FWRD",0.857142857142857,0.861471861471861,0.679860294249921,0.699036013232623
"104",2009-06-02,0.907186858316222,0.977460555972953,"FWRD",0.536796536796537,0.45021645021645,0.589557180775184,0.380326690282176
"105",2009-06-03,0.88829568788501,0.96343601302279,"FWRD",0.268398268398268,0.303030303030303,0.318838411990461,0.428324125832011
"106",2009-06-04,0.912525667351129,0.96969696969697,"FWRD",0.822510822510823,0.606060606060606,0.867496319925408,0.309384128220662
"107",2009-06-05,0.91170431211499,0.968194340095166,"FWRD",0.493506493506494,0.493506493506494,0.484259778653944,0.484259778653944
"108",2009-06-08,0.906776180698152,0.971700475832707,"FWRD",0.463203463203463,0.545454545454545,0.391927026015942,0.59038338572693
