,ADI,GGG
2008-07-15,1.0419243986254294,1.0784036229833005
2008-07-16,1.0807560137457044,1.1086894990093406
2008-07-17,1.0938144329896906,1.1200113218228136
2008-07-18,1.0876288659793814,1.1276535522219078
2008-07-21,1.0742268041237113,1.1449193320124542
2008-07-22,1.0388316151202748,1.1293518256439288
2008-07-23,1.061512027491409,1.1287857345032553
2008-07-24,1.0305841924398624,1.0948202660628361
2008-07-25,1.0347079037800686,1.0455703368242286
2008-07-28,1.0123711340206185,1.0362298330031134
2008-07-29,1.029553264604811,1.0529295216529864
2008-07-30,1.0539518900343643,1.066232663458817
2008-07-31,1.0484536082474227,1.0254741013303141
2008-08-01,1.0378006872852232,1.0336824228700823
2008-08-04,1.036082474226804,1.0135861873761676
2008-08-05,1.0687285223367697,1.0509482026606285
2008-08-06,1.0821305841924398,1.0605717520520803
