,BRK_A,BRK_B
2008-07-14,0.8548268238761975,0.8527525978332965
2008-07-15,0.8460574797347089,0.847225292947159
2008-07-16,0.8470891672807664,0.837939420738448
2008-07-17,0.8563006632277081,0.8545213353968605
2008-07-18,0.8643330876934414,0.8653548529736901
2008-07-21,0.868828297715549,0.870417864249392
2008-07-22,0.8725128960943257,0.870218881273491
2008-07-23,0.8728813559322034,0.8677868671235905
2008-07-24,0.8492999263080324,0.850320583683396
2008-07-25,0.8327192336035372,0.8335175768295379
2008-07-28,0.8246131171702284,0.8246738890117179
2008-07-29,0.8235077376565955,0.8213575060800353
2008-07-30,0.8393515106853353,0.8412558036701304
2008-07-31,0.8434045689019897,0.8465620163608225
2008-08-01,0.8585114222549742,0.8593853636966615
2008-08-04,0.8437730287398674,0.8461198319699315
