,CREE,BANC
2008-07-23,0.669,0.6879310344827587
2008-07-24,0.6566666666666666,0.6879310344827587
2008-07-25,0.6523333333333333,0.689080459770115
2008-07-28,0.6463333333333333,0.7183908045977012
2008-07-29,0.659,0.7385057471264368
2008-07-30,0.6646666666666667,0.7413793103448276
2008-07-31,0.6466666666666666,0.7367816091954024
2008-08-01,0.5806666666666668,0.7471264367816093
2008-08-04,0.5753333333333334,0.7471264367816093
2008-08-05,0.6093333333333334,0.7454022988505749
2008-08-06,0.6156666666666666,0.7321839080459771
2008-08-07,0.6306666666666667,0.7327586206896552
2008-08-08,0.656,0.7465517241379311
2008-08-11,0.6613333333333333,0.6586206896551725
2008-08-12,0.639,0.6551724137931035
2008-08-13,0.7406666666666666,0.6540229885057472
