"","X1","PAG","HOT","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.568075117370892,0.469230769230769,"HOT",0.164502164502165,0.792207792207792,0.0392867006322847,0.948647841581925
"46",2009-03-10,0.674882629107981,0.544711538461538,"HOT",0.987012987012987,0.991341991341991,0.659392642530773,0.85701046970244
"47",2009-03-11,0.687793427230047,0.564423076923077,"HOT",0.744588744588745,0.857142857142857,0.446571333837795,0.84728893426673
"48",2009-03-12,0.795774647887324,0.613942307692308,"HOT",0.987012987012987,0.965367965367965,0.936004767329282,0.489778695355633
"49",2009-03-13,0.813380281690141,0.589903846153846,"HOT",0.761904761904762,0.168831168831169,0.938234092945364,0.0420459794747773
"50",2009-03-16,0.859154929577465,0.580288461538462,"HOT",0.922077922077922,0.367965367965368,0.983728981946181,0.0928818159871169
"51",2009-03-17,0.875586854460094,0.595673076923077,"HOT",0.744588744588745,0.805194805194805,0.541063660228467,0.75123829107261
"52",2009-03-18,1.03990610328638,0.627884615384615,"HOT",0.987012987012987,0.904761904761905,0.987267543241416,0.275119538103504
"53",2009-03-19,1.01643192488263,0.622115384615385,"HOT",0.32034632034632,0.445887445887446,0.272706513431674,0.605841772108336
"54",2009-03-20,1.02582159624413,0.559615384615385,"HOT",0.666666666666667,0.025974025974026,0.921634321318323,0.00342218282130228
"55",2009-03-23,1.15845070422535,0.635576923076923,"HOT",0.974025974025974,0.982683982683983,0.649052521920755,0.852938398875522
"56",2009-03-24,1.11619718309859,0.652403846153846,"HOT",0.173160173160173,0.800865800865801,0.0417447696953535,0.951004933302701
"57",2009-03-25,1.16901408450704,0.661538461538462,"HOT",0.917748917748918,0.670995670995671,0.958867672393917,0.246074079381213
"58",2009-03-26,1.20070422535211,0.707211538461539,"HOT",0.792207792207792,0.935064935064935,0.342862660978957,0.944279637481137
"59",2009-03-27,1.15023474178404,0.66875,"HOT",0.134199134199134,0.121212121212121,0.33215978796044,0.265437578721861
"60",2009-03-30,1.07394366197183,0.607211538461539,"HOT",0.0649350649350649,0.038961038961039,0.408227689654797,0.135920338495111
"61",2009-03-31,1.09507042253521,0.610576923076923,"HOT",0.753246753246753,0.61038961038961,0.789595530308638,0.392630291547711
