"","X1","LNDC","NWBI","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.683834048640916,0.619291705498602,NA,0.965367965367965,0.194805194805195,0.993855375306825,0.0323569666330308
"46",2009-03-10,0.728183118741059,0.657502329916123,NA,0.956709956709957,0.974025974025974,0.758458448359837,0.883736428153676
"47",2009-03-11,0.67238912732475,0.658434296365331,NA,0.0173160173160173,0.584415584415584,0.0044350052638025,0.917240957447075
"48",2009-03-12,0.773962804005722,0.718546132339236,NA,1,0.995670995670996,0.99999999982136,0.0710800173064758
"49",2009-03-13,0.778254649499285,0.737651444547996,NA,0.575757575757576,0.865800865800866,0.312433092683018,0.894350032526015
"50",2009-03-16,0.753934191702432,0.725535880708294,NA,0.199134199134199,0.268398268398268,0.261562525213286,0.422566370189856
"51",2009-03-17,0.8068669527897,0.749767008387698,NA,0.961038961038961,0.883116883116883,0.917394311042584,0.585907744830886
"52",2009-03-18,0.839771101573677,0.787977632805219,NA,0.878787878787879,0.943722943722944,0.627915359112485,0.880534858404423
"53",2009-03-19,0.872675250357654,0.771202236719478,NA,0.878787878787879,0.194805194805195,0.967666205307327,0.0497034315811688
"54",2009-03-20,0.858369098712446,0.754892823858341,NA,0.307359307359307,0.199134199134199,0.478193563518998,0.2364375357392
"55",2009-03-23,0.905579399141631,0.82851817334576,NA,0.935064935064935,0.995670995670996,0.463397635346057,0.988138023665432
"56",2009-03-24,0.872675250357654,0.767940354147251,NA,0.142857142857143,0.012987012987013,0.602537745344622,0.0189096350740414
"57",2009-03-25,0.84549356223176,0.786579683131407,NA,0.199134199134199,0.848484848484849,0.0573447411086945,0.955033654535956
"58",2009-03-26,0.886981402002861,0.821062441752097,NA,0.917748917748918,0.930735930735931,0.752071490862575,0.807537368840519
"59",2009-03-27,0.829756795422031,0.785647716682199,NA,0.0346320346320346,0.051948051948052,0.134725048140817,0.241691571426866
"60",2009-03-30,0.785407725321888,0.754426840633737,NA,0.0606060606060606,0.0649350649350649,0.19617642178537,0.216993039612855
"61",2009-03-31,0.796852646638054,0.787511649580615,NA,0.701298701298701,0.930735930735931,0.36572556291296,0.933183929372262
"62",2009-04-01,0.812589413447782,0.784715750232992,NA,0.761904761904762,0.454545454545455,0.830462046542864,0.27339046800841
"63",2009-04-02,0.838340486409156,0.846225535880708,NA,0.861471861471861,0.987012987012987,0.405220298927381,0.98044921752061
