"","X1","IACI","FORM","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.874456183965196,0.953784326858674,NA,0.96969696969697,0.952380952380952,0.867824903047969,0.7063194094646
"47",2009-03-11,0.868862647607209,0.96383121232418,NA,0.445887445887446,0.614718614718615,0.342973655809428,0.691892845222593
"48",2009-03-12,0.886886264760721,1.01607501674481,NA,0.818181818181818,0.909090909090909,0.546058356916527,0.86968592178424
"49",2009-03-13,0.906774394033561,1.01138647019424,NA,0.835497835497836,0.463203463203463,0.913067680771991,0.21874421471594
"50",2009-03-16,0.899937849596022,0.989283322170127,NA,0.424242424242424,0.303030303030303,0.553358140943915,0.285754991211002
"51",2009-03-17,0.930391547545059,1.04420629604823,NA,0.917748917748918,0.913419913419913,0.770964927685311,0.748943777989731
"52",2009-03-18,0.926041019266625,1.04688546550569,NA,0.458874458874459,0.541125541125541,0.412463200941555,0.587536799058445
"53",2009-03-19,0.937228091982598,1.04621567314133,NA,0.718614718614719,0.506493506493506,0.782085639472503,0.341793435288817
"54",2009-03-20,0.914853946550653,1.09511051574012,"IACI",0.177489177489178,0.896103896103896,0.0519650422933386,0.97131735498029
"55",2009-03-23,0.926041019266625,1.13663764233088,"IACI",0.722943722943723,0.852813852813853,0.486566631423565,0.839531876583369
"56",2009-03-24,0.914232442510876,1.13730743469524,"IACI",0.359307359307359,0.519480519480519,0.297658379485255,0.632267546121516
"57",2009-03-25,0.924798011187073,1.12993971868721,"IACI",0.718614718614719,0.45021645021645,0.80883751588653,0.279319596751281
"58",2009-03-26,0.985705407085146,1.24648359008707,"IACI",0.982683982683983,0.995670995670996,0.572408526028484,0.961507794032458
"59",2009-03-27,0.955873213175886,1.25920964501005,"IACI",0.121212121212121,0.61038961038961,0.0471105041084724,0.852689782566864
"60",2009-03-30,0.947172156619018,1.23643670462157,"IACI",0.411255411255411,0.316017316017316,0.524478534944984,0.312299310283666
"61",2009-03-31,0.946550652579242,1.20696584058942,"IACI",0.515151515151515,0.281385281385281,0.683033382549965,0.207144327360151
