"","X1","SWX","TEG","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.694861660079051,0.468008139271987,"TEG",0.54978354978355,0.177489177489178,0.837079947612056,0.0604847729704896
"46",2009-03-10,0.709881422924901,0.500565227221343,"TEG",0.87012987012987,0.978354978354978,0.397070194227733,0.946862598689
"47",2009-03-11,0.701581027667984,0.507347953877459,"TEG",0.285714285714286,0.83982683982684,0.0157863205232878,0.984966205657034
"48",2009-03-12,0.717786561264822,0.529957042731178,"TEG",0.891774891774892,0.96969696969697,0.523337629459089,0.90399068736581
"49",2009-03-13,0.739130434782609,0.531313588062401,"TEG",0.926406926406926,0.601731601731602,0.952994744062073,0.255392715911382
"50",2009-03-16,0.749407114624506,0.547139950260005,"TEG",0.766233766233766,0.948051948051948,0.292899950281961,0.928127856568311
"51",2009-03-17,0.773913043478261,0.548948677368302,"TEG",0.935064935064935,0.619047619047619,0.957228457840404,0.265568489843006
"52",2009-03-18,0.786561264822134,0.569975130002261,"TEG",0.813852813852814,0.961038961038961,0.344256831974695,0.930923629973562
"53",2009-03-19,0.806324110671937,0.586705855754013,"TEG",0.913419913419913,0.948051948051948,0.696887185697145,0.802269212700666
"54",2009-03-20,0.798418972332016,0.59258421885598,"TEG",0.298701298701299,0.761904761904762,0.0336991871929291,0.959793358804558
"55",2009-03-23,0.843478260869565,0.621071670811666,"TEG",0.978354978354978,0.96969696969697,0.898656727825899,0.777541742674424
"56",2009-03-24,0.831225296442688,0.60954103549627,"TEG",0.242424242424242,0.151515151515152,0.651453835259026,0.0970030482335409
"57",2009-03-25,0.857707509881423,0.602532217951617,"TEG",0.935064935064935,0.212121212121212,0.977169267217258,0.0681550882477884
"58",2009-03-26,0.877865612648221,0.609088853719195,"TEG",0.904761904761905,0.774891774891775,0.890902115405346,0.431755676900814
"59",2009-03-27,0.847826086956522,0.594392945964278,"TEG",0.0649350649350649,0.108225108225108,0.194712612602476,0.519207772082919
