"","X1","LAMR","LBTYA","long_distance","Fx","Fy","MI_X","MI_Y"
"44",2009-03-06,0.397581792318634,0.601273148148148,"LAMR",0.155844155844156,0.0476190476190476,0.705200673040687,0.0516784799416181
"45",2009-03-09,0.386913229018492,0.54224537037037,"LAMR",0.216450216450216,0.038961038961039,0.826563592123172,0.02032717419823
"46",2009-03-10,0.441678520625889,0.594907407407407,"LAMR",0.991341991341991,0.978354978354978,0.943009434186946,0.829353948239953
"47",2009-03-11,0.471550497866287,0.615740740740741,"LAMR",0.96969696969697,0.887445887445887,0.925920822362863,0.5911689088988
"48",2009-03-12,0.519203413940256,0.646990740740741,"LAMR",0.987012987012987,0.948051948051948,0.947569216170348,0.710157896953103
"49",2009-03-13,0.52275960170697,0.653356481481481,"LAMR",0.666666666666667,0.670995670995671,0.555296802666821,0.565420419471989
"50",2009-03-16,0.477951635846373,0.631365740740741,"LAMR",0.038961038961039,0.168831168831169,0.0314915898903997,0.770381806641275
"51",2009-03-17,0.508534850640114,0.71412037037037,"LAMR",0.961038961038961,0.995670995670996,0.700069222339857,0.978433689307593
"52",2009-03-18,0.512802275960171,0.740162037037037,"LAMR",0.675324675324675,0.9004329004329,0.345321111608498,0.890310488266959
"53",2009-03-19,0.62375533428165,0.748263888888889,"LAMR",1,0.683982683982684,0.9999999999,0.050732622427864
"54",2009-03-20,0.591038406827881,0.744212962962963,"LAMR",0.0909090909090909,0.441558441558442,0.0268262198748159,0.869745021548789
"55",2009-03-23,0.645092460881935,0.813078703703704,"LAMR",0.987012987012987,0.974025974025974,0.92478460882886,0.825865972619178
"56",2009-03-24,0.653627311522048,0.833333333333333,"LAMR",0.727272727272727,0.813852813852814,0.516202062070073,0.734178689522307
"57",2009-03-25,0.684210526315789,0.850115740740741,"LAMR",0.909090909090909,0.779220779220779,0.857638250411955,0.489897870425578
"58",2009-03-26,0.790896159317212,0.890046296296296,"LAMR",0.991341991341991,0.930735930735931,0.970754889218919,0.620084877142173
"59",2009-03-27,0.746088193456614,0.883101851851852,"LAMR",0.0822510822510823,0.406926406926407,0.0258981393706387,0.862349481624663
"60",2009-03-30,0.685633001422475,0.826967592592592,"LAMR",0.0476190476190476,0.0562770562770563,0.236857611787854,0.345484569073193
"61",2009-03-31,0.693456614509246,0.842592592592593,"LAMR",0.701298701298701,0.774891774891775,0.513843290695278,0.693067741160076
"62",2009-04-01,0.733285917496444,0.869791666666667,"LAMR",0.948051948051948,0.87012987012987,0.883572902177505,0.602317086636039
"63",2009-04-02,0.85348506401138,0.915509259259259,"LAMR",1,0.948051948051948,0.999999999745062,0.254937721578716
"64",2009-04-03,0.902560455192034,0.978009259259259,"LAMR",0.948051948051948,0.956709956709957,0.797291740301264,0.839371358941829
"65",2009-04-06,0.997155049786629,0.985532407407407,NA,0.987012987012987,0.645021645021645,0.991012351611837,0.178880793530817
"66",2009-04-07,0.936699857752489,0.925925925925926,NA,0.0692640692640693,0.0562770562770563,0.364234360253888,0.227815343814702
"67",2009-04-08,0.924608819345661,0.955439814814815,NA,0.363636363636364,0.87012987012987,0.0912063883008331,0.947861417349054
"68",2009-04-09,0.970839260312945,1,NA,0.913419913419913,0.930735930735931,0.738678718806581,0.805750353564438
"69",2009-04-13,1.0199146514936,0.990162037037037,NA,0.917748917748918,0.372294372294372,0.970614319021086,0.0779359801123947
"70",2009-04-14,1.0049786628734,0.96875,NA,0.346320346320346,0.229437229437229,0.558921214481233,0.215094966790105
"71",2009-04-15,0.999288762446657,0.978009259259259,NA,0.484848484848485,0.662337662337662,0.312251695900963,0.702251621400723
"72",2009-04-16,1.13157894736842,1.06365740740741,NA,0.987012987012987,0.974025974025974,0.92478460882886,0.825865972619178
"73",2009-04-17,1.2425320056899,1.04224537037037,"LBTYA",0.987012987012987,0.242424242424242,0.998336357141152,0.0175898890081925
"74",2009-04-20,1.03840682788051,0.967013888888889,"LBTYA",0,0.0476190476190476,1e-10,0.999999953663218
"75",2009-04-21,1.13869132290185,0.996527777777778,"LBTYA",0.987012987012987,0.861471861471861,0.974078064575202,0.463588185302208
"76",2009-04-22,1.12304409672831,0.969328703703704,"LBTYA",0.359307359307359,0.203463203463203,0.619202091711319,0.166896573543298
"77",2009-04-23,1.18136557610242,0.94212962962963,"LBTYA",0.926406926406926,0.194805194805195,0.988958725407863,0.0189209258128787
"78",2009-04-24,1.20697012802276,0.931712962962963,"LBTYA",0.787878787878788,0.354978354978355,0.899573109740084,0.115788913396451
"79",2009-04-27,1.12091038406828,0.924189814814815,"LBTYA",0.0649350649350649,0.398268398268398,0.0173199253695991,0.884850221661086
"80",2009-04-28,1.04409672830725,0.905671296296296,"LBTYA",0.0649350649350649,0.242424242424242,0.0422345514986104,0.765064903798447
"81",2009-04-29,1.11024182076814,0.938078703703704,"LBTYA",0.961038961038961,0.896103896103896,0.899282514671366,0.636399036924246
"82",2009-04-30,1.20199146514936,0.954282407407407,"LBTYA",0.987012987012987,0.744588744588745,0.986116913070793,0.276567005194796
"83",2009-05-01,1.19487908961593,0.966435185185185,"LBTYA",0.484848484848485,0.701298701298701,0.283904683796731,0.749368465743469
"84",2009-05-04,1.24608819345661,1.04340277777778,"LBTYA",0.896103896103896,0.96969696969697,0.613262702281982,0.921749740334254
"85",2009-05-05,1.2624466571835,1.05902777777778,"LBTYA",0.718614718614719,0.714285714285714,0.59567849146665,0.585250983636424
"86",2009-05-06,1.31578947368421,0.982638888888889,"LBTYA",0.896103896103896,0.0476190476190476,0.995690849449282,0.00143609086517382
"87",2009-05-07,1.57325746799431,0.94849537037037,"LBTYA",1,0.151515151515152,0.9999999999,0.00144194617125626
"88",2009-05-08,1.59174964438122,1.00289351851852,"LBTYA",0.714285714285714,0.948051948051948,0.330627712702008,0.940938266346183
"89",2009-05-11,1.58179231863442,0.973958333333333,"LBTYA",0.480519480519481,0.194805194805195,0.770159677454885,0.0961452362893395
"90",2009-05-12,1.40967283072546,0.918402777777778,"LBTYA",0.0216450216450216,0.0692640692640693,0.0514797006964778,0.667992194307002
"91",2009-05-13,1.25675675675676,0.857638888888889,"LBTYA",0.0216450216450216,0.0562770562770563,0.072663988471091,0.605757985817735
"92",2009-05-14,1.34779516358464,0.846643518518518,"LBTYA",0.978354978354978,0.329004329004329,0.995380438347752,0.0384242311847881
"93",2009-05-15,1.27596017069701,0.836805555555556,"LBTYA",0.0909090909090909,0.346320346320346,0.0418092348392854,0.80428507155478
"94",2009-05-18,1.38833570412518,0.909722222222222,"LBTYA",0.987012987012987,0.974025974025974,0.92478460882886,0.825865972619178
"95",2009-05-19,1.35846372688478,0.907407407407407,"LBTYA",0.264069264069264,0.489177489177489,0.163613271910224,0.699971307460675
"96",2009-05-20,1.31365576102418,0.894675925925926,"LBTYA",0.186147186147186,0.316017316017316,0.173694281846737,0.585095310454264
"97",2009-05-21,1.25177809388336,0.853009259259259,"LBTYA",0.103896103896104,0.112554112554113,0.281151860895515,0.337141048033025
"98",2009-05-22,1.26173541963016,0.84375,"LBTYA",0.675324675324675,0.367965367965368,0.800819722503602,0.175161195757804
"99",2009-05-26,1.31507823613087,0.850694444444444,"LBTYA",0.896103896103896,0.645021645021645,0.895767852179368,0.312080954077201
"100",2009-05-27,1.30369843527738,0.821759259259259,"LBTYA",0.45021645021645,0.16017316017316,0.785242102984239,0.0749007123663517
"101",2009-05-28,1.29800853485064,0.813657407407407,"LBTYA",0.506493506493506,0.372294372294372,0.604619652044313,0.286002874481815
"102",2009-05-29,1.31863442389758,0.799768518518518,"LBTYA",0.753246753246753,0.285714285714286,0.904502403826192,0.0825279374753928
"103",2009-06-01,1.39046941678521,0.830439814814815,"LBTYA",0.939393939393939,0.904761904761905,0.83678186910401,0.702606152435912
"104",2009-06-02,1.38122332859175,0.827546296296296,"LBTYA",0.480519480519481,0.476190476190476,0.464062217324262,0.453764397332586
"105",2009-06-03,1.28947368421053,0.791666666666667,"LBTYA",0.0649350649350649,0.112554112554113,0.145150720547225,0.500287429783394
"106",2009-06-04,1.2923186344239,0.803240740740741,"LBTYA",0.597402597402597,0.70995670995671,0.421546543466828,0.678373444712767
"107",2009-06-05,1.27027027027027,0.784722222222222,"LBTYA",0.333333333333333,0.229437229437229,0.53874094100126,0.226637339024703
"108",2009-06-08,1.24395448079659,0.783564814814815,"LBTYA",0.272727272727273,0.497835497835498,0.168657523226789,0.700146970469236
"109",2009-06-09,1.27382645803698,0.819444444444444,"LBTYA",0.80952380952381,0.930735930735931,0.510286732561574,0.880734550770902
"110",2009-06-10,1.2624466571835,0.830439814814815,"LBTYA",0.45021645021645,0.705627705627706,0.241777397548091,0.777599724083695
"111",2009-06-11,1.29302987197724,0.855902777777778,"LBTYA",0.80952380952381,0.861471861471861,0.604917243184748,0.752160387995928
"112",2009-06-12,1.26386913229018,0.875578703703704,"LBTYA",0.25974025974026,0.792207792207792,0.0595830110722761,0.934353528327987
"113",2009-06-15,1.1977240398293,0.857060185185185,"LBTYA",0.0909090909090909,0.233766233766234,0.0817357328589072,0.674030790602429
"114",2009-06-16,1.17923186344239,0.852430555555555,"LBTYA",0.341991341991342,0.441558441558442,0.29769748009537,0.548799434443421
"115",2009-06-17,1.12588904694168,0.862847222222222,"LBTYA",0.116883116883117,0.696969696969697,0.0169050741491457,0.949755132738915
"116",2009-06-18,1.11237553342817,0.872106481481481,"LBTYA",0.372294372294372,0.67965367965368,0.177102768003209,0.802085626601447
"117",2009-06-19,1.12944523470839,0.871527777777778,"LBTYA",0.753246753246753,0.523809523809524,0.784910976590121,0.291930631855077
"118",2009-06-22,1.03627311522048,0.85474537037037,"LBTYA",0.0432900432900433,0.242424242424242,0.0201498141500975,0.834593781083252
"119",2009-06-23,1.04409672830725,0.865740740740741,"LBTYA",0.670995670995671,0.701298701298701,0.53516132054813,0.606566950941391
"120",2009-06-24,1.04338549075391,0.88599537037037,"LBTYA",0.541125541125541,0.796536796536797,0.279381867085045,0.824950954336569
"121",2009-06-25,1.09459459459459,0.909722222222222,"LBTYA",0.909090909090909,0.831168831168831,0.826471335259781,0.585642840229172
"122",2009-06-26,1.08819345661451,0.909722222222222,"LBTYA",0.484848484848485,0.545454545454545,0.406805655013378,0.547465216395587
"123",2009-06-29,1.10597439544808,0.917824074074074,"LBTYA",0.753246753246753,0.662337662337662,0.690470866536483,0.475566106078198
"124",2009-06-30,1.08605974395448,0.919560185185185,"LBTYA",0.329004329004329,0.571428571428571,0.190212518581564,0.725601432110465
"125",2009-07-01,1.1628733997155,0.925347222222222,"LBTYA",0.978354978354978,0.623376623376623,0.9851177999896,0.181417245247269
