,ATO,ES
2008-07-14,0.906767955801105,0.8967119370979271
2008-07-15,0.8981353591160222,0.8895639742673338
2008-07-16,0.8915745856353591,0.8770550393137955
2008-07-17,0.8801795580110496,0.8763402430307362
2008-07-18,0.8808701657458564,0.8791994281629736
2008-07-21,0.8808701657458564,0.8874195854181558
2008-07-22,0.8891574585635359,0.8895639742673338
2008-07-23,0.8981353591160222,0.8877769835596855
2008-07-24,0.8960635359116021,0.8863473909935669
2008-07-25,0.8898480662983425,0.8863473909935669
2008-07-28,0.8939917127071824,0.8856325947105075
2008-07-29,0.8853591160220995,0.8934953538241601
2008-07-30,0.9098756906077349,0.9045746962115796
2008-07-31,0.9140193370165746,0.8992137240886348
2008-08-01,0.9133287292817679,0.8813438170121515
2008-08-04,0.9053867403314917,0.9338813438170122
2008-08-05,0.9330110497237568,0.9313795568263045
2008-08-06,0.9316298342541436,0.9349535382416011
2008-08-07,0.9174723756906077,0.9306647605432451
2008-08-08,0.9219613259668508,0.9610436025732666
2008-08-11,0.9350828729281767,0.9767691208005718
2008-08-12,0.9226519337016574,0.9664045746962115
2008-08-13,0.925414364640884,0.9678341672623302
2008-08-14,0.9223066298342542,0.9639027877055039
2008-08-15,0.9216160220994475,0.9599714081486775
2008-08-18,0.9388812154696132,0.9789135096497499
2008-08-19,0.9468232044198895,0.9689063616869192
2008-08-20,0.9509668508287292,0.9753395282344531
2008-08-21,0.9340469613259669,0.9864188706218728
2008-08-22,0.9271408839779006,1.0017869907076484
2008-08-25,0.9216160220994475,0.9803431022158684
2008-08-26,0.9337016574585635,0.9839170836311651
2008-08-27,0.9464779005524862,0.9803431022158684
2008-08-28,0.9533839779005524,0.9878484631879915
2008-08-29,0.9509668508287292,0.9610436025732666
2008-09-02,0.949585635359116,0.9513938527519658
2008-09-03,0.9416436464088397,0.9496068620443173
2008-09-04,0.923342541436464,0.9449606862044317
2008-09-05,0.9136740331491713,0.9288777698355968
2008-09-08,0.9154005524861879,0.9363831308077197
2008-09-09,0.9019337016574586,0.9077912794853467
2008-09-10,0.9105662983425414,0.9010007147962831
2008-09-11,0.9274861878453038,0.9220872051465332
2008-09-12,0.9478591160220994,0.9603288062902073
2008-09-15,0.9140193370165746,0.9295925661186563
2008-09-16,0.9174723756906077,0.9217298070050035
2008-09-17,0.8929558011049723,0.8899213724088634
2008-09-18,0.9754834254143646,0.9428162973552537
2008-09-19,0.970303867403315,0.9517512508934953
2008-09-22,0.9354281767955801,0.9245889921372409
2008-09-23,0.9267955801104972,0.9142244460328806
2008-09-24,0.9361187845303867,0.9142244460328806
2008-09-25,0.9395718232044199,0.9285203716940672
2008-09-26,0.9482044198895028,0.9263759828448892
2008-09-29,0.9084944751381214,0.9110078627591136
2008-09-30,0.9191988950276243,0.9167262330235882
2008-10-01,0.9450966850828729,0.9281629735525375
2008-10-02,0.962707182320442,0.9110078627591136
2008-10-03,0.9537292817679558,0.8845604002859185
2008-10-06,0.9488950276243093,0.8280914939242316
2008-10-07,0.9271408839779006,0.7941386704789135
2008-10-08,0.8846685082872928,0.7605432451751252
2008-10-09,0.7707182320441989,0.7451751250893496
2008-10-10,0.7310082872928177,0.6844174410293066
2008-10-13,0.7983425414364641,0.7580414581844175
2008-10-14,0.8314917127071823,0.7416011436740528
2008-10-15,0.7462016574585635,0.6890636168691923
2008-10-16,0.7579419889502762,0.7340957827019299
2008-10-17,0.7444751381215469,0.7187276626161544
2008-10-20,0.7886740331491713,0.7823445318084346
2008-10-21,0.777279005524862,0.770192994996426
2008-10-22,0.7700276243093923,0.7437455325232308
2008-10-23,0.7755524861878453,0.7619728377412437
2008-10-24,0.7634668508287292,0.7408863473909936
2008-10-27,0.7417127071823204,0.7047891350964974
2008-10-28,0.7948895027624309,0.7551822730521801
2008-10-29,0.8011049723756906,0.7523230879199428
2008-10-30,0.8259668508287293,0.8098641887062187
2008-10-31,0.8380524861878452,0.806290207290922
2008-11-03,0.8228591160220994,0.8080771979985704
2008-11-04,0.8183701657458563,0.8030736240171551
2008-11-05,0.8142265193370165,0.774481772694782
2008-11-06,0.8000690607734807,0.7412437455325231
2008-11-07,0.8145718232044199,0.7508934953538242
2008-11-10,0.8249309392265193,0.7587562544674767
2008-11-11,0.8038674033149171,0.7991422444603288
2008-11-12,0.801450276243094,0.7716225875625446
2008-11-13,0.81146408839779,0.8516797712651893
2008-11-14,0.7707182320441989,0.8280914939242316
2008-11-17,0.8228591160220994,0.8198713366690493
2008-11-18,0.8221685082872927,0.8205861329521087
2008-11-19,0.8107734806629834,0.7905646890636169
2008-11-20,0.8111187845303867,0.7398141529664045
2008-11-21,0.8297651933701657,0.8130807719799857
2008-11-24,0.8577348066298343,0.8220157255182273
2008-11-25,0.8290745856353592,0.827734095782702
2008-11-26,0.8456491712707181,0.8248749106504646
2008-11-28,0.8608425414364641,0.8327376697641172
2008-12-01,0.8011049723756906,0.7859185132237312
2008-12-02,0.8024861878453038,0.8073624017155111
2008-12-03,0.825621546961326,0.8284488920657612
2008-12-04,0.7993784530386739,0.7859185132237312
2008-12-05,0.8308011049723756,0.809506790564689
2008-12-08,0.7914364640883979,0.8059328091493925
2008-12-09,0.7769337016574586,0.8134381701215154
2008-12-10,0.773135359116022,0.8395282344531808
2008-12-11,0.780732044198895,0.822373123659757
2008-12-12,0.8104281767955801,0.8481057898498928
2008-12-15,0.7959254143646409,0.804145818441744
2008-12-16,0.81146408839779,0.827734095782702
2008-12-17,0.8038674033149171,0.8045032165832738
2008-12-18,0.8031767955801106,0.8059328091493925
2008-12-19,0.8000690607734807,0.8102215868477485
2008-12-22,0.8162983425414364,0.8330950679056468
2008-12-23,0.8038674033149171,0.8209435310936383
2008-12-24,0.8090469613259668,0.8216583273766975
2008-12-26,0.8138812154696132,0.8284488920657612
2008-12-29,0.8052486187845304,0.8316654753395282
2008-12-30,0.8194060773480663,0.8523945675482488
2008-12-31,0.8183701657458563,0.8598999285203717
