"","X1","UGI","WEC","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.88992310805342,0.863892806770099,NA,0.943722943722944,0.70995670995671,0.978670356716616,0.224447983238034
"47",2009-03-11,0.891541885876164,0.866008462623413,NA,0.545454545454545,0.601731601731602,0.46134585578456,0.621537692990175
"48",2009-03-12,0.903682719546742,0.871415138692995,NA,0.818181818181818,0.731601731601732,0.800289730638473,0.484005111498222
"49",2009-03-13,0.921084581141238,0.894217207334274,NA,0.878787878787879,0.943722943722944,0.454940082637747,0.910193579794272
"50",2009-03-16,0.914204775394577,0.898448519040903,NA,0.307359307359307,0.692640692640693,0.117357892969021,0.882642107030978
"51",2009-03-17,0.933225414811817,0.900564174894217,NA,0.887445887445887,0.593073593073593,0.956091447669573,0.21436100644055
"52",2009-03-18,0.933630109267503,0.931828866948754,NA,0.523809523809524,0.965367965367965,0.129237192063146,0.994904318206066
"53",2009-03-19,0.947794415216512,0.935119887165021,NA,0.835497835497836,0.636363636363636,0.895433526615233,0.312327461573681
"54",2009-03-20,0.927154997976528,0.938881053126469,NA,0.112554112554113,0.662337662337662,0.0250248726542255,0.905597759530868
"55",2009-03-23,0.955078915418859,0.973906911142454,NA,0.943722943722944,0.96969696969697,0.532074489518218,0.891565232711726
"56",2009-03-24,0.947794415216512,0.94875411377527,NA,0.307359307359307,0.0649350649350649,0.77338263281129,0.0251620042140029
"57",2009-03-25,0.955078915418859,0.94381758345087,NA,0.714285714285714,0.329004329004329,0.891247378658986,0.125491775200241
"58",2009-03-26,0.962363415621206,0.94875411377527,NA,0.714285714285714,0.705627705627706,0.631679401416615,0.603001273328924
"59",2009-03-27,0.945366248482396,0.960507757404796,NA,0.138528138528139,0.835497835497836,0.0331198058278114,0.958419479318014
"60",2009-03-30,0.959125859975718,0.956276445698166,NA,0.835497835497836,0.346320346320346,0.954738081757463,0.105494454669621
"61",2009-03-31,0.955483609874545,0.967795016455101,NA,0.393939393939394,0.835497835497836,0.127525549574165,0.950800707474849
"62",2009-04-01,0.950627276406313,0.972261401034321,NA,0.350649350649351,0.67965367965368,0.153624555587616,0.859029013853003
"63",2009-04-02,0.951031970861999,0.967795016455101,NA,0.523809523809524,0.346320346320346,0.697652830246839,0.236386088013931
"64",2009-04-03,0.940105220558478,0.97179125528914,NA,0.246753246753247,0.666666666666667,0.0854301831143975,0.882697025876669
"65",2009-04-06,0.931201942533387,0.964503996238834,NA,0.268398268398268,0.29004329004329,0.340736912714131,0.413687465537925
"66",2009-04-07,0.919870497774181,0.968265162200282,NA,0.229437229437229,0.658008658008658,0.0769985493207053,0.882214063880896
"67",2009-04-08,0.933225414811817,0.976257639868359,NA,0.835497835497836,0.753246753246753,0.810038170517566,0.49202146133115
"68",2009-04-09,0.932011331444759,0.956511518570757,NA,0.458874458874459,0.103896103896104,0.824218318779636,0.0321676964600321
"69",2009-04-13,0.9279643868879,0.951339915373766,NA,0.385281385281385,0.32034632034632,0.515592931762552,0.321198774662248
"70",2009-04-14,0.917037636584379,0.92971321109544,NA,0.238095238095238,0.0865800865800866,0.664220107462496,0.0638346499223122
"71",2009-04-15,0.922703358963982,0.943112364833098,NA,0.653679653679654,0.852813852813853,0.309321906892983,0.907946552616273
"72",2009-04-16,0.933225414811817,0.94405265632346,NA,0.792207792207792,0.558441558441558,0.881580109808085,0.273750335275269
"73",2009-04-17,0.929583164710643,0.938645980253879,NA,0.393939393939394,0.316017316017316,0.535833207931539,0.304658076840714
"74",2009-04-20,0.926750303520842,0.932063939821345,NA,0.411255411255411,0.294372294372294,0.590879721484564,0.252740988240354
"75",2009-04-21,0.925536220153784,0.94381758345087,NA,0.458874458874459,0.844155844155844,0.158822494755497,0.948123823182776
"76",2009-04-22,0.923512747875354,0.934179595674659,NA,0.445887445887446,0.229437229437229,0.710019490997676,0.140306345113226
"77",2009-04-23,0.917442331040065,0.936060178655383,NA,0.324675324675325,0.593073593073593,0.169171681746822,0.793588714993469
"78",2009-04-24,0.912181303116147,0.927362482369535,NA,0.346320346320346,0.242424242424242,0.554841690355022,0.228686350686906
"79",2009-04-27,0.924726831242412,0.937470615890926,NA,0.822510822510823,0.805194805194805,0.707506992828803,0.632901278363319
"80",2009-04-28,0.926750303520842,0.930888575458392,NA,0.558441558441558,0.294372294372294,0.778020993005356,0.155547442427732
"81",2009-04-29,0.930797248077701,0.944992947813822,NA,0.606060606060606,0.865800865800866,0.245979945717268,0.936643777864106
"82",2009-04-30,0.928369081343586,0.93935119887165,NA,0.432900432900433,0.316017316017316,0.598809857239252,0.266945957828263
"83",2009-05-01,0.956292998785917,0.946403385049365,NA,0.943722943722944,0.744588744588745,0.973969113937581,0.250304827834288
"84",2009-05-04,0.970052610279239,0.949929478138223,NA,0.831168831168831,0.653679653679654,0.881444977014956,0.339553393462296
"85",2009-05-05,0.938486442735735,0.951104842501175,NA,0.0735930735930736,0.567099567099567,0.0144924179049384,0.881685770754435
"86",2009-05-06,0.935653581545933,0.926187118006582,NA,0.411255411255411,0.0606060606060606,0.833412123980037,0.0148028796053857
"87",2009-05-07,0.931606636989073,0.926657263751763,NA,0.385281385281385,0.528138528138528,0.28655879065884,0.667608977588679
"88",2009-05-08,0.929178470254957,0.914198401504466,NA,0.432900432900433,0.186147186147186,0.738097048938959,0.0996255444668811
"89",2009-05-11,0.929987859166329,0.918194640338505,NA,0.528138528138528,0.670995670995671,0.357249529309458,0.747125819214663
"90",2009-05-12,0.925131525698098,0.909496944052656,NA,0.346320346320346,0.242424242424242,0.554841690355022,0.228686350686906
"91",2009-05-13,0.912585997571833,0.897978373295722,NA,0.199134199134199,0.199134199134199,0.335633263213186,0.335633263213186
"92",2009-05-14,0.915418858761635,0.890926187118007,NA,0.58008658008658,0.285714285714286,0.803880989095525,0.137997808001796
"93",2009-05-15,0.894779441521651,0.876351669017395,NA,0.108225108225108,0.138528138528139,0.215846842447172,0.391081557608186
"94",2009-05-18,0.915823553217321,0.872825575928538,NA,0.913419913419913,0.354978354978355,0.982858625466511,0.0970860355994006
"95",2009-05-19,0.936058276001619,0.890691114245416,NA,0.896103896103896,0.922077922077922,0.613498924958047,0.805983815519997
"96",2009-05-20,0.949008498583569,0.873295721673719,"WEC",0.826839826839827,0.108225108225108,0.954143873852025,0.0243718623090373
"97",2009-05-21,0.949008498583569,0.868594264221909,"WEC",0.515151515151515,0.32034632034632,0.709477695766531,0.209089848972611
"98",2009-05-22,0.940509915014164,0.872825575928538,"WEC",0.281385281385281,0.696969696969697,0.0998899504882852,0.892043953238184
"99",2009-05-26,0.970457304734925,0.890220968500235,"WEC",0.943722943722944,0.917748917748918,0.835933019534441,0.594414338649111
"100",2009-05-27,0.95993524888709,0.890220968500235,"WEC",0.251082251082251,0.519480519480519,0.12989112247335,0.769279286910126
"101",2009-05-28,0.981788749494132,0.916784203102962,"WEC",0.909090909090909,0.948051948051948,0.53209413091646,0.875852408459339
"102",2009-05-29,0.975718332658843,0.927597555242125,"WEC",0.341991341991342,0.831168831168831,0.104417082962751,0.953158055185631
