"","X1","SRCL","ABT","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.884352449677174,0.870985810306199,NA,0.151515151515152,0.398268398268398,0.105200500862349,0.655026112996378
"46",2009-03-10,0.906570451955944,0.87714712471994,NA,0.913419913419913,0.688311688311688,0.910814503178317,0.433512048073316
"47",2009-03-11,0.918723889099886,0.830283793876027,"ABT",0.74025974025974,0.00865800865800866,0.992153344780024,0.000212899865364925
"48",2009-03-12,0.960501329282188,0.870985810306199,"ABT",0.961038961038961,0.991341991341991,0.629811615935762,0.967616685814081
"49",2009-03-13,0.919483478921382,0.874719940253921,"ABT",0.025974025974026,0.632034632034632,0.00227978197939517,0.964656703049703
"50",2009-03-16,0.902962400303836,0.893390589992532,"ABT",0.203463203463203,0.874458874458874,0.0500629280886995,0.956687664788639
"51",2009-03-17,0.92214204329662,0.91747572815534,"ABT",0.87012987012987,0.935064935064935,0.674850269930618,0.886517588764198
"52",2009-03-18,0.916635017090771,0.907953696788648,"ABT",0.406926406926407,0.255411255411255,0.538594177482078,0.222084913009024
"53",2009-03-19,0.913596657804785,0.887415982076176,"ABT",0.454545454545455,0.0606060606060606,0.853195909391439,0.0190042849111789
"54",2009-03-20,0.895556399544246,0.887602688573562,"ABT",0.194805194805195,0.515151515151515,0.112462671695006,0.718333530866073
"55",2009-03-23,0.912267375617167,0.910380881254668,"ABT",0.835497835497836,0.935064935064935,0.611425020960818,0.903230939333997
"56",2009-03-24,0.898214963919484,0.867438386855863,"ABT",0.225108225108225,0.00865800865800866,0.91907301575539,0.00202784925919806
"57",2009-03-25,0.892518040258261,0.85941000746826,"ABT",0.398268398268398,0.277056277056277,0.506467686677797,0.253842704351575
"58",2009-03-26,0.930687428788454,0.867251680358476,"ABT",0.952380952380952,0.748917748917749,0.950161202580238,0.443175762068661
"59",2009-03-27,0.909798708697304,0.870052277819268,"ABT",0.173160173160173,0.606060606060606,0.0737761680903928,0.813392890298036
"60",2009-03-30,0.895176604633498,0.894137415982076,"ABT",0.216450216450216,0.939393939393939,0.0436164480631608,0.982238515251689
"61",2009-03-31,0.90638055450057,0.89058999253174,"ABT",0.718614718614719,0.432900432900433,0.763982182103514,0.27529562500463
"62",2009-04-01,0.929737941511584,0.871919342793129,"ABT",0.913419913419913,0.0865800865800866,0.987349809687322,0.00889000352362786
"63",2009-04-02,0.957273072540828,0.847274085138163,"ABT",0.926406926406926,0.038961038961039,0.994904991069282,0.00188552310338213
"64",2009-04-03,0.971325484238511,0.823749066467513,"ABT",0.779220779220779,0.038961038961039,0.977298523072557,0.00312571316066282
"65",2009-04-06,0.98841625522218,0.809559372666169,"ABT",0.813852813852814,0.125541125541126,0.951403260179197,0.0245679925413963
"66",2009-04-07,0.973604253703001,0.80134428678118,"ABT",0.229437229437229,0.264069264069264,0.287248859967208,0.374636148717199
"67",2009-04-08,0.983668818837828,0.815347274085138,"ABT",0.675324675324675,0.83982683982684,0.490937702710895,0.818276724703581
