,CCL,ETH
2008-07-15,0.6755247878517195,0.7321937321937322
2008-07-16,0.7416257257704332,0.7752453308008863
2008-07-17,0.8130861991960696,0.8214624881291548
2008-07-18,0.8182224207235372,0.8053181386514721
2008-07-21,0.7909781152300134,0.798670465337132
2008-07-22,0.8872264403751674,0.8480531813865146
2008-07-23,0.8910227780259043,0.8755935422602089
2008-07-24,0.8403305046895936,0.8072174738841406
2008-07-25,0.8465832961143367,0.8053181386514721
2008-07-28,0.8068334077713265,0.7644824311490978
2008-07-29,0.8532827154979902,0.8056346945235834
2008-07-30,0.8376507369361321,0.8040519151630262
2008-07-31,0.8249218401071906,0.7945552389996835
2008-08-01,0.8164359088878964,0.7860082304526749
2008-08-04,0.8343010272443054,0.8227287116176004
2008-08-05,0.8972755694506476,0.8398227287116177
