"","X1","AEP","AEE","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.714117647058824,0.579132473622509,"AEE",0.138528138528139,0.025974025974026,0.836775013086394,0.0181328103436426
"46",2009-03-10,0.726764705882353,0.587924970691676,"AEE",0.852813852813853,0.861471861471861,0.613561972807124,0.669022090732202
"47",2009-03-11,0.726764705882353,0.579718640093787,"AEE",0.523809523809524,0.203463203463203,0.888834395772575,0.060514784068463
"48",2009-03-12,0.735882352941176,0.586459554513482,"AEE",0.774891774891775,0.805194805194805,0.536373375462649,0.685357853384942
"49",2009-03-13,0.742647058823529,0.590855803048066,"AEE",0.731601731601732,0.753246753246753,0.54505371050186,0.63997488651138
"50",2009-03-16,0.764705882352941,0.605216881594373,"AEE",0.917748917748918,0.917748917748918,0.67097001383884,0.67097001383884
"51",2009-03-17,0.771764705882353,0.62778429073857,"AEE",0.731601731601732,0.952380952380952,0.112520782346749,0.984623764976575
"52",2009-03-18,0.801470588235294,0.648007033997655,"AEE",0.956709956709957,0.943722943722944,0.779646788614732,0.588247228722227
"53",2009-03-19,0.823823529411765,0.644490035169988,"AEE",0.917748917748918,0.367965367965368,0.992758619417604,0.0301383005947442
"54",2009-03-20,0.810882352941176,0.644490035169988,"AEE",0.216450216450216,0.558441558441558,0.0582490066611805,0.901858231529619
"55",2009-03-23,0.837352941176471,0.678487690504103,"AEE",0.926406926406926,0.96969696969697,0.360059505468654,0.920305810603389
"56",2009-03-24,0.802058823529412,0.677315357561547,"AEE",0.0432900432900433,0.506493506493506,0.00387118601748589,0.961960703357528
"57",2009-03-25,0.797647058823529,0.681125439624854,"AEE",0.45021645021645,0.688311688311688,0.173304905665114,0.861983935258616
"58",2009-03-26,0.799411764705882,0.698710433763189,"AEE",0.554112554112554,0.922077922077922,0.0681244634651786,0.986513485871206
"59",2009-03-27,0.772647058823529,0.683177022274326,"AEE",0.0692640692640693,0.121212121212121,0.145193837080638,0.570755127596057
"60",2009-03-30,0.737647058823529,0.667057444314185,"AEE",0.0303030303030303,0.112554112554113,0.0362147139576809,0.768090142071786
"61",2009-03-31,0.742941176470588,0.679660023446659,"AEE",0.696969696969697,0.887445887445887,0.197281454583073,0.93638705353864
"62",2009-04-01,0.747352941176471,0.686400937866354,"AEE",0.662337662337662,0.783549783549784,0.336867549749386,0.80840480143664
"63",2009-04-02,0.774705882352941,0.689331770222743,"AEE",0.952380952380952,0.640692640692641,0.991385417612723,0.0723983478116612
"64",2009-04-03,0.773529411764706,0.68200468933177,"AEE",0.502164502164502,0.25974025974026,0.826053881142504,0.115529533158818
"65",2009-04-06,0.774117647058824,0.679073856975381,"AEE",0.545454545454545,0.415584415584416,0.707683550729279,0.279362920398403
"66",2009-04-07,0.767647058823529,0.666764361078546,"AEE",0.380952380952381,0.147186147186147,0.830952231347634,0.0663937964363256
"67",2009-04-08,0.778823529411765,0.664712778429074,"AEE",0.813852813852814,0.454545454545455,0.95484249834937,0.0886223957210665
"68",2009-04-09,0.776470588235294,0.671453692848769,"AEE",0.489177489177489,0.783549783549784,0.129321393261882,0.926180490011789
"69",2009-04-13,0.767352941176471,0.663540445486518,"AEE",0.281385281385281,0.233766233766234,0.512714679185291,0.306312803245376
"70",2009-04-14,0.760588235294118,0.652696365767878,"AEE",0.346320346320346,0.164502164502165,0.76756520938096,0.103479250746726
"71",2009-04-15,0.779411764705882,0.648886283704572,"AEE",0.9004329004329,0.359307359307359,0.990376918585356,0.031927179249695
"72",2009-04-16,0.797647058823529,0.650644783118406,"AEE",0.896103896103896,0.61038961038961,0.96878901052225,0.113541649863967
"73",2009-04-17,0.803823529411765,0.659144196951934,"AEE",0.705627705627706,0.826839826839827,0.329574839094579,0.839209390847554
"74",2009-04-20,0.788529411764706,0.650644783118406,"AEE",0.168831168831169,0.212121212121212,0.271275476721519,0.49545737721175
"75",2009-04-21,0.787352941176471,0.656506447831184,"AEE",0.502164502164502,0.757575757575758,0.161901474115079,0.898754811149941
"76",2009-04-22,0.769117647058823,0.647127784290739,"AEE",0.125541125541126,0.194805194805195,0.186040482866026,0.574640625489117
"77",2009-04-23,0.768823529411765,0.6468347010551,"AEE",0.519480519480519,0.532467532467532,0.486791034701249,0.532723009955803
"78",2009-04-24,0.769411764705882,0.649179366940211,"AEE",0.545454545454545,0.623376623376623,0.39322230557561,0.667434469277365
"79",2009-04-27,0.773823529411765,0.659437280187573,"AEE",0.662337662337662,0.865800865800866,0.194622616690778,0.928090283224286
"80",2009-04-28,0.775,0.657092614302462,"AEE",0.554112554112554,0.428571428571429,0.704843505143411,0.289353497539537
"81",2009-04-29,0.777647058823529,0.669988276670574,"AEE",0.58008658008658,0.891774891774892,0.100784801861603,0.971416162190242
