"","X1","WBS","STI","long_distance","Fx","Fy","MI_X","MI_Y"
"35",2009-02-23,0.216450216450216,0.263368983957219,NA,0.112554112554113,0.922077922077922,0.00151890852344827,0.999185102210178
"36",2009-02-24,0.245310245310245,0.312165775401069,NA,0.991341991341991,0.991341991341991,0.889283375808127,0.889283375808127
"37",2009-02-25,0.254689754689755,0.367647058823529,"WBS",0.844155844155844,0.987012987012987,0.158722026674444,0.980071875415003
"38",2009-02-26,0.295815295815296,0.432820855614973,"WBS",0.995670995670996,0.987012987012987,0.947106211058427,0.827694022184369
"39",2009-02-27,0.27994227994228,0.402072192513369,"WBS",0.0952380952380952,0.0909090909090909,0.284514989164702,0.268978957001298
"40",2009-03-02,0.246031746031746,0.369986631016043,"WBS",0.0303030303030303,0.0735930735930736,0.101247707054241,0.269018506112526
"41",2009-03-03,0.234487734487734,0.362633689839572,"WBS",0.112554112554113,0.359307359307359,0.121172954221627,0.785596469730704
"42",2009-03-04,0.233044733044733,0.364973262032086,"WBS",0.458874458874459,0.61038961038961,0.282601545987569,0.79301923293575
"43",2009-03-05,0.218614718614719,0.327874331550802,"WBS",0.0779220779220779,0.0216450216450216,0.289919615339909,0.071678668390602
"44",2009-03-06,0.214285714285714,0.31283422459893,"WBS",0.359307359307359,0.177489177489178,0.731124407671339,0.20826033405672
"45",2009-03-09,0.227272727272727,0.337232620320856,"WBS",0.917748917748918,0.935064935064935,0.56421161705069,0.706125737179404
"46",2009-03-10,0.29004329004329,0.378342245989305,"WBS",1,0.974025974025974,0.999999999009461,0.670906723314396
"47",2009-03-11,0.281385281385281,0.375,"WBS",0.225108225108225,0.463203463203463,0.174677795493448,0.822892808672522
"48",2009-03-12,0.321789321789322,0.436497326203209,"WBS",0.991341991341991,0.987012987012987,0.89686342924711,0.838800566427168
"49",2009-03-13,0.333333333333333,0.408088235294118,"WBS",0.831168831168831,0.103896103896104,0.996548735990014,0.00390994518610335
"50",2009-03-16,0.305194805194805,0.383689839572192,"WBS",0.0432900432900433,0.116883116883117,0.12237555701404,0.387868997881343
"51",2009-03-17,0.32034632034632,0.406082887700535,"WBS",0.896103896103896,0.887445887445887,0.634285219842377,0.572210556709104
"52",2009-03-18,0.341269841269841,0.473930481283422,"WBS",0.930735930735931,0.987012987012987,0.421444802232022,0.935510289523604
"53",2009-03-19,0.310966810966811,0.423128342245989,"WBS",0.038961038961039,0.0216450216450216,0.154238596268393,0.0827674648705936
"54",2009-03-20,0.311688311688312,0.40274064171123,"WBS",0.558441558441558,0.173160173160173,0.92734989437804,0.0699077486510988
"55",2009-03-23,0.374458874458874,0.471590909090909,"WBS",0.995670995670996,0.987012987012987,0.947106211058427,0.827694022184369
"56",2009-03-24,0.316017316017316,0.429812834224599,"WBS",0.00865800865800866,0.0606060606060606,0.0309876442892752,0.24088567624099
"57",2009-03-25,0.321067821067821,0.433823529411765,"WBS",0.70995670995671,0.632034632034632,0.721321029885891,0.388752316622415
"58",2009-03-26,0.337662337662338,0.450200534759358,"WBS",0.904761904761905,0.796536796536797,0.862285189656409,0.265112695187012
"59",2009-03-27,0.31962481962482,0.420454545454545,"WBS",0.0952380952380952,0.0995670995670996,0.277192069096107,0.292617432681061
"60",2009-03-30,0.287878787878788,0.362633689839572,"WBS",0.0346320346320346,0.012987012987013,0.142071760086143,0.0510404731741201
"61",2009-03-31,0.306637806637807,0.392379679144385,"WBS",0.930735930735931,0.943722943722944,0.595973386240179,0.708596826451076
"62",2009-04-01,0.331890331890332,0.401737967914438,"WBS",0.96969696969697,0.774891774891775,0.976698192996049,0.102591359513639
"63",2009-04-02,0.339105339105339,0.428475935828877,"WBS",0.748917748917749,0.904761904761905,0.180192348277179,0.913518069585472
