,THO,AEO
2008-07-15,0.5750476709343503,0.5399659863945578
2008-07-16,0.6238082266412421,0.5935374149659864
2008-07-17,0.6265322800326886,0.6160714285714286
2008-07-18,0.5992917461182239,0.6139455782312925
2008-07-21,0.5611549986379734,0.5965136054421769
2008-07-22,0.593843639335331,0.6130952380952381
2008-07-23,0.6265322800326886,0.6352040816326531
2008-07-24,0.602288204848815,0.5973639455782314
2008-07-25,0.6041950422228275,0.6075680272108843
2008-07-28,0.5695995641514574,0.5994897959183674
2008-07-29,0.5785889403432307,0.6067176870748299
2008-07-30,0.5565241078725143,0.6003401360544217
2008-07-31,0.5344592754017979,0.5952380952380952
2008-08-01,0.5434486515935713,0.5897108843537415
2008-08-04,0.508853173522201,0.5722789115646258
2008-08-05,0.5796785616998094,0.6050170068027211
