"","X1","SIRI","KEM","long_distance","Fx","Fy","MI_X","MI_Y"
"42",2009-03-04,1.14672131147541,0.260869565217391,"KEM",0.9004329004329,0.917748917748918,0.75650984451664,0.826098536998616
"43",2009-03-05,1.0655737704918,0.21695652173913,"KEM",0.138528138528139,0.025974025974026,0.501190733993743,0.0281495200425686
"44",2009-03-06,1.18852459016393,0.195652173913043,"KEM",0.961038961038961,0.0822510822510823,0.977792819091814,0.0615862004833903
"45",2009-03-09,1.22540983606557,0.173913043478261,"KEM",0.805194805194805,0.0735930735930736,0.893443651500582,0.0307525057107081
"46",2009-03-10,1.22131147540984,0.189130434782609,"KEM",0.54978354978355,0.917748917748918,0.310708708312653,0.957964380250157
"47",2009-03-11,1.31147540983607,0.173913043478261,"KEM",0.935064935064935,0.116883116883117,0.968146914138574,0.0694512609857993
"48",2009-03-12,1.56885245901639,0.239130434782609,"KEM",0.991341991341991,1,0.219648692216038,0.9999999999
"49",2009-03-13,1.62295081967213,0.217391304347826,"KEM",0.826839826839827,0.103896103896104,0.909490607737129,0.0474006742644162
"50",2009-03-16,1.92622950819672,0.282608695652174,"KEM",0.991341991341991,1,0.219648692216038,0.9999999999
"51",2009-03-17,2.75573770491803,0.282608695652174,"KEM",1,0.601731601731602,0.9999999999,0.219079944635056
"52",2009-03-18,3.07213114754098,0.260869565217391,"KEM",0.961038961038961,0.121212121212121,0.982004719417968,0.0827157038738016
"53",2009-03-19,2.66393442622951,0.326086956521739,"KEM",0.051948051948052,0.991341991341991,0.0794774324036797,0.993623593721546
"54",2009-03-20,2.54098360655738,0.326086956521739,"KEM",0.216450216450216,0.601731601731602,0.133246047752107,0.748270749615731
"55",2009-03-23,2.70491803278689,0.33695652173913,"KEM",0.926406926406926,0.826839826839827,0.908336902009606,0.593194232033997
"56",2009-03-24,2.95081967213115,0.5,"KEM",0.956709956709957,1,0.219350149384254,0.9999999999
"57",2009-03-25,2.95081967213115,0.456521739130435,"KEM",0.619047619047619,0.108225108225108,0.791543051225328,0.0496117855457536
"58",2009-03-26,3.19672131147541,0.521739130434783,"KEM",0.948051948051948,0.956709956709957,0.790141825116313,0.848005136967109
"59",2009-03-27,3.04098360655738,0.532608695652174,"KEM",0.203463203463203,0.761904761904762,0.105528407246418,0.873392906173885
"60",2009-03-30,2.82786885245902,0.543478260869565,"KEM",0.142857142857143,0.761904761904762,0.0673357557202343,0.875686498478105
"61",2009-03-31,2.86885245901639,0.532608695652174,"KEM",0.714285714285714,0.380952380952381,0.806262573434192,0.258726923999926
"62",2009-04-01,2.82786885245902,0.521739130434783,"KEM",0.480519480519481,0.376623376623377,0.541576707825167,0.349706605549868
"63",2009-04-02,2.94672131147541,0.628260869565217,"KEM",0.87012987012987,0.987012987012987,0.433609737828329,0.988653808343744
"64",2009-04-03,2.87704918032787,0.630434782608696,"KEM",0.372294372294372,0.632034632034632,0.279084217349976,0.724012016211078
"65",2009-04-06,2.91803278688525,0.630434782608696,"KEM",0.70995670995671,0.601731601731602,0.721192573753781,0.512390953280945
"66",2009-04-07,2.78688524590164,0.804347826086956,"KEM",0.225108225108225,0.995670995670996,0.167245403688227,0.999165531688486
"67",2009-04-08,2.70491803278689,0.673913043478261,"KEM",0.333333333333333,0.0303030303030303,0.669624526166756,0.0131501953453992
"68",2009-04-09,2.86885245901639,0.739130434782609,"KEM",0.917748917748918,0.922077922077922,0.78971279453291,0.808842212940221
"69",2009-04-13,2.94754098360656,0.782608695652174,"KEM",0.796536796536797,0.887445887445887,0.614795898314773,0.862952506402223
