"","X1","ADI","GGG","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.917641077783427,0.589134808853119,"GGG",0.186147186147186,0.74025974025974,0.0612643962937555,0.909449655207509
"46",2009-03-10,0.974580579562786,0.630985915492958,"GGG",0.978354978354978,0.987012987012987,0.658230270575116,0.874361535671384
"47",2009-03-11,0.987798678190137,0.642253521126761,"GGG",0.766233766233766,0.80952380952381,0.627728963611396,0.743012073329706
"48",2009-03-12,1.01423487544484,0.668812877263582,"GGG",0.878787878787879,0.943722943722944,0.560177759764934,0.896882440260566
"49",2009-03-13,1.02491103202847,0.669617706237425,"GGG",0.705627705627706,0.541125541125541,0.734014980748609,0.408490943884645
"50",2009-03-16,0.995932892730046,0.674849094567404,"GGG",0.16017316017316,0.67965367965368,0.0564393423980879,0.885695545820204
"51",2009-03-17,1.02897813929842,0.706237424547284,"GGG",0.904761904761905,0.956709956709957,0.566136056365744,0.903609243548852
"52",2009-03-18,1.04778851042196,0.746478873239437,"GGG",0.80952380952381,0.965367965367965,0.332562607638804,0.970078914625022
"53",2009-03-19,1.0310116929334,0.661971830985915,"GGG",0.246753246753247,0.00432900432900433,0.944300117240258,0.000700866607245696
"54",2009-03-20,0.995932892730046,0.610865191146881,"GGG",0.125541125541126,0.0216450216450216,0.669734027989327,0.0292602601931443
"55",2009-03-23,1.03304524656838,0.6841046277666,"GGG",0.913419913419913,0.995670995670996,0.183809205652488,0.996369700350833
"56",2009-03-24,1.01881037112354,0.682494969818913,"GGG",0.285714285714286,0.471861471861472,0.237517051771662,0.6079068012582
"57",2009-03-25,1.00813421453991,0.691750503018109,"GGG",0.32034632034632,0.761904761904762,0.146676071037072,0.879077344266636
"58",2009-03-26,1.02694458566345,0.730784708249497,"GGG",0.80952380952381,0.965367965367965,0.332562607638804,0.970078914625022
"59",2009-03-27,1.01576004067107,0.708651911468813,"GGG",0.32034632034632,0.121212121212121,0.614018182990543,0.10610916227464
"60",2009-03-30,0.98220640569395,0.6841046277666,"GGG",0.12987012987013,0.112554112554113,0.309037008275459,0.239265355430932
"61",2009-03-31,0.979664463650229,0.68692152917505,"GGG",0.458874458874459,0.593073593073593,0.38069147710947,0.63815489839016
"62",2009-04-01,0.965937976614133,0.697786720321932,"GGG",0.285714285714286,0.792207792207792,0.10979023032626,0.911079776347384
"63",2009-04-02,0.995932892730046,0.758953722334004,"GGG",0.891774891774892,0.991341991341991,0.233337882632687,0.992320986444751
"64",2009-04-03,1.04880528723945,0.784708249496982,"GGG",0.96969696969697,0.909090909090909,0.93729005735644,0.49376519301548
"65",2009-04-06,1.03406202338587,0.777062374245473,"GGG",0.285714285714286,0.316017316017316,0.335672457041221,0.403849437199245
"66",2009-04-07,1.01016776817489,0.751307847082495,"GGG",0.186147186147186,0.112554112554113,0.425084432069074,0.172522103509855
"67",2009-04-08,1.02338586680224,0.758551307847082,"GGG",0.757575757575758,0.722943722943723,0.69651989133949,0.614456558276391
