,DIS,MTX
2008-07-15,0.9598825831702544,0.9847389558232931
2008-07-16,0.992498369210698,1.0091566265060241
2008-07-17,1.0176125244618395,1.0049799196787148
2008-07-18,1.0078277886497065,1.0123694779116466
2008-07-21,0.9944553163731246,1.0321285140562249
2008-07-22,0.9918460534898891,1.0342168674698795
2008-07-23,1.0159817351598173,1.029718875502008
2008-07-24,1.0117416829745596,1.032289156626506
2008-07-25,1.0143509458577953,1.0483534136546186
2008-07-28,0.994781474233529,1.0302008032128513
2008-07-29,1.0084801043705154,1.0408032128514058
2008-07-30,1.032941943900848,1.0613654618473896
2008-07-31,0.9898891063274625,1.0363052208835342
2008-08-01,0.9810828440965427,1.0422489959839356
2008-08-04,0.9905414220482713,1.0178313253012048
2008-08-05,1.0212002609262882,1.0417670682730922
