,CIM,XL
2008-07-15,0.31365313653136534,0.3456072351421189
2008-07-16,0.37058513442277285,0.3736003445305771
2008-07-17,0.36531365313653136,0.4145133505598622
2008-07-18,0.3695308381655245,0.4280792420327304
2008-07-21,0.40115972588297316,0.3914728682170543
2008-07-22,0.44227727991565635,0.42377260981912146
2008-07-23,0.4575645756457565,0.5004306632213609
2008-07-24,0.4222456510279389,0.4226959517657192
2008-07-25,0.41697416974169743,0.4041774332472007
2008-07-28,0.3484449130205588,0.3955641688199828
2008-07-29,0.3632050606220348,0.386520241171404
2008-07-30,0.38218239325250397,0.3875968992248062
2008-07-31,0.4053769109119663,0.3852282515073213
2008-08-01,0.385872430152873,0.39771748492678727
2008-08-04,0.37585661570901424,0.40073212747631354
2008-08-05,0.389562467053242,0.41666666666666674
