"","X1","FMBI","SNV","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.342985521717424,0.371951219512195,NA,0.978354978354978,1,0.064184803819071,0.9999999999
"47",2009-03-11,0.342486270594109,0.373170731707317,NA,0.58008658008658,0.562770562770563,0.561906013155717,0.505908224790637
"48",2009-03-12,0.403894158761857,0.413414634146341,NA,0.991341991341991,0.978354978354978,0.934115766130001,0.42005378531062
"49",2009-03-13,0.432351472790814,0.380487804878049,NA,0.922077922077922,0.0562770562770563,0.985060818428234,0.00962046068355689
"50",2009-03-16,0.416375436844733,0.359756097560976,NA,0.177489177489178,0.108225108225108,0.542346088515746,0.157396099197433
"51",2009-03-17,0.460309535696455,0.39390243902439,NA,0.96969696969697,0.961038961038961,0.79812525079726,0.627413158519574
"52",2009-03-18,0.473789316025961,0.428048780487805,NA,0.792207792207792,0.952380952380952,0.215373060659716,0.974235011576225
"53",2009-03-19,0.437843235147279,0.363414634146342,NA,0.051948051948052,0.00432900432900433,0.835817824129584,0.00383335448542085
"54",2009-03-20,0.419870194707938,0.376829268292683,NA,0.155844155844156,0.800865800865801,0.024840642404127,0.9669217688397
"55",2009-03-23,0.479780329505741,0.436585365853659,NA,0.982683982683983,0.995670995670996,0.311010383795699,0.972211570687633
"56",2009-03-24,0.427858212680979,0.389024390243902,NA,0.0216450216450216,0.0216450216450216,0.275720125194389,0.275720125194389
"57",2009-03-25,0.434348477284074,0.40609756097561,NA,0.683982683982684,0.844155844155844,0.309311896919699,0.885348065688248
"58",2009-03-26,0.453320019970045,0.432926829268293,NA,0.852813852813853,0.909090909090909,0.480196674481325,0.842933270900825
"59",2009-03-27,0.433849226160759,0.397560975609756,NA,0.138528138528139,0.051948051948052,0.663476526414496,0.0630642902993663
"60",2009-03-30,0.402396405391912,0.348780487804878,NA,0.051948051948052,0.0173160173160173,0.645524561001373,0.0483224254608822
"61",2009-03-31,0.428856714927609,0.396341463414634,NA,0.913419913419913,0.991341991341991,0.169279262994147,0.994592376448371
"62",2009-04-01,0.441337993010484,0.4,NA,0.792207792207792,0.614718614718615,0.860167817759763,0.293765168160641
"63",2009-04-02,0.476285571642536,0.41219512195122,NA,0.948051948051948,0.774891774891775,0.973735000846306,0.209839858518926
"64",2009-04-03,0.488267598602097,0.43780487804878,NA,0.779220779220779,0.909090909090909,0.315725447251873,0.921862305335526
"65",2009-04-06,0.462306540189715,0.413414634146341,NA,0.0909090909090909,0.108225108225108,0.2479424430333,0.382822975060612
"66",2009-04-07,0.436345481777334,0.409756097560976,NA,0.0779220779220779,0.41991341991342,0.0189650670331272,0.873332192658074
"67",2009-04-08,0.427358961557664,0.407317073170732,NA,0.32034632034632,0.437229437229437,0.262174310584622,0.631706321062485
"68",2009-04-09,0.510733899151273,0.503658536585366,NA,0.991341991341991,1,0.0642097014764289,0.9999999999
"69",2009-04-13,0.579630554168747,0.531707317073171,NA,0.974025974025974,0.887445887445887,0.974871461728122,0.253370869745716
"70",2009-04-14,0.53919121318023,0.441463414634146,NA,0.0606060606060606,0.00432900432900433,0.847571069420243,0.00294429910458051
"71",2009-04-15,0.54118821767349,0.514634146341463,NA,0.619047619047619,0.995670995670996,0.0744505982293591,0.99977850758967
"72",2009-04-16,0.570144782825761,0.530487804878049,NA,0.891774891774892,0.779220779220779,0.891409550833317,0.362002469120313
"73",2009-04-17,0.584123814278582,0.629268292682927,NA,0.766233766233766,1,0.0641473378936639,0.9999999999
"74",2009-04-20,0.490763854218672,0.465853658536585,NA,0.00865800865800866,0,0.935790298526134,1e-10
"75",2009-04-21,0.484772840738892,0.592682926829268,NA,0.402597402597403,1,0.0641338189816118,0.9999999999
"76",2009-04-22,0.497254118821767,0.495121951219512,NA,0.779220779220779,0.00432900432900433,0.950858640409313,0.000237100064416932
"77",2009-04-23,0.486270594108837,0.397560975609756,NA,0.311688311688312,0,0.935856234150961,1e-10
"78",2009-04-24,0.501747378931603,0.395121951219512,NA,0.813852813852814,0.437229437229437,0.945138002333395,0.120150571049621
"79",2009-04-27,0.45681477783325,0.365853658536585,NA,0.025974025974026,0.0649350649350649,0.0680528974646195,0.606407286097485
"80",2009-04-28,0.45481777333999,0.390243902439024,NA,0.523809523809524,0.909090909090909,0.112498698172479,0.979640015570884
"81",2009-04-29,0.468297553669496,0.436585365853659,NA,0.792207792207792,0.987012987012987,0.120471396168338,0.997390932430556
"82",2009-04-30,0.442336495257114,0.39390243902439,NA,0.0822510822510823,0.0346320346320346,0.602305907232488,0.0755805639989645
"83",2009-05-01,0.413379930104843,0.376829268292683,NA,0.0692640692640693,0.16017316017316,0.0831912500481534,0.638850696675663
"84",2009-05-04,0.472790813779331,0.458536585365854,NA,0.982683982683983,1,0.0641900651660686,0.9999999999
"85",2009-05-05,0.46280579131303,0.495121951219512,NA,0.316017316017316,0.943722943722944,0.0518056595221155,0.993443640782147
"86",2009-05-06,0.500249625561657,0.521951219512195,NA,0.948051948051948,0.878787878787879,0.919981031292635,0.380435051313405
