,FELE,SIVB
2008-07-15,0.924812030075188,0.877270005986829
2008-07-16,0.9629245527612134,0.9674715625623628
2008-07-17,0.9888514389421831,1.0307323887447615
2008-07-18,0.959035519834068,1.0255438036320097
2008-07-21,0.9880736323567539,1.0445020953901418
2008-07-22,1.0523723100855589,1.090401117541409
2008-07-23,1.0474462017111745,1.098782678108162
2008-07-24,1.0362976406533575,1.031730193574137
2008-07-25,1.0648172154524242,1.1073637996407903
2008-07-28,1.0904848327715841,1.0830173618040313
2008-07-29,1.07700285195748,1.146876870884055
2008-07-30,1.0860772621208192,1.1530632608261824
2008-07-31,1.0762250453720508,1.149271602474556
2008-08-01,1.0782991962665285,1.1692276990620636
2008-08-04,1.0782991962665285,1.163041309119936
2008-08-05,1.1091521908218822,1.2025543803632008
