"","X1","AGII","GAS","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.747055359246172,0.764705882352941,"AGII",0.112554112554113,0.112554112554113,0.232644427393657,0.232644427393657
"46",2009-03-10,0.785041224970554,0.788741302972802,"AGII",0.948051948051948,0.943722943722944,0.791859356708402,0.761733101600644
"47",2009-03-11,0.783863368669022,0.775458570524984,NA,0.463203463203463,0.147186147186147,0.685434049203217,0.111445223459164
"48",2009-03-12,0.842756183745583,0.795066413662239,NA,0.974025974025974,0.926406926406926,0.923713406702693,0.557414582546349
"49",2009-03-13,0.828621908127208,0.810246679316888,NA,0.216450216450216,0.891774891774892,0.0587839157314335,0.973530812145939
"50",2009-03-16,0.835394581861013,0.825110689437065,NA,0.675324675324675,0.887445887445887,0.398648359294417,0.901711754998801
"51",2009-03-17,0.817432273262662,0.839025932953827,NA,0.142857142857143,0.883116883116883,0.0337167786303063,0.976160008547611
"52",2009-03-18,0.790341578327444,0.853889943074004,NA,0.0995670995670996,0.887445887445887,0.0195735451328386,0.981233182874294
"53",2009-03-19,0.77944640753828,0.865591397849462,"AGII",0.255411255411255,0.822510822510823,0.10462682092733,0.933872234384332
"54",2009-03-20,0.814487632508834,0.857685009487666,"AGII",0.939393939393939,0.25974025974026,0.988517867909073,0.052590727803446
"55",2009-03-23,0.875147232037691,0.857052498418722,NA,0.96969696969697,0.497835497835498,0.99263035458421,0.100745334101669
"56",2009-03-24,0.845111896348645,0.850094876660341,NA,0.0995670995670996,0.298701298701299,0.0953539515936003,0.55617812969038
"57",2009-03-25,0.866018845700824,0.852624920936116,NA,0.874458874458874,0.614718614718615,0.905333270834604,0.35050629134138
"58",2009-03-26,0.889281507656066,0.862112586970272,NA,0.904761904761905,0.792207792207792,0.874482842088992,0.52745713343626
"59",2009-03-27,0.882214369846879,0.850411132194813,NA,0.337662337662338,0.203463203463203,0.488441489616425,0.216981757536251
"60",2009-03-30,0.847173144876325,0.833017077798861,NA,0.0735930735930736,0.116883116883117,0.143325639647753,0.316099439039573
"61",2009-03-31,0.887220259128386,0.839025932953827,NA,0.939393939393939,0.70995670995671,0.953012545199488,0.326314236925661
"62",2009-04-01,0.894287396937574,0.845034788108792,NA,0.670995670995671,0.705627705627706,0.597767744102051,0.668380135462455
"63",2009-04-02,0.926678445229682,0.857368753953194,NA,0.922077922077922,0.848484848484849,0.866108941713915,0.586790274675296
"64",2009-04-03,0.935512367491166,0.864958886780519,NA,0.714285714285714,0.753246753246753,0.616447431983281,0.702038378172723
"65",2009-04-06,0.902237926972909,0.858950031625553,NA,0.0995670995670996,0.324675324675325,0.0890856124053069,0.587870617622202
"66",2009-04-07,0.870141342756184,0.836495888678052,NA,0.0995670995670996,0.0952380952380952,0.231692895296692,0.214717336171867
"67",2009-04-08,0.900471142520612,0.836495888678052,NA,0.922077922077922,0.528138528138528,0.963899834169517,0.202086697957673
"68",2009-04-09,0.933451118963486,0.844402277039848,"GAS",0.930735930735931,0.761904761904762,0.928288649236042,0.415897989075326
"69",2009-04-13,0.932273262661955,0.851992409867173,"GAS",0.463203463203463,0.753246753246753,0.314094698587884,0.826327454184213
"70",2009-04-14,0.845406360424028,0.845983554712207,NA,0.012987012987013,0.32034632034632,0.00551464388464806,0.809573787807111
"71",2009-04-15,0.868080094228504,0.840607210626186,NA,0.904761904761905,0.333333333333333,0.970671131691197,0.104634784056075
"72",2009-04-16,0.874852767962309,0.850727387729285,NA,0.670995670995671,0.800865800865801,0.510719285970718,0.793844846033165
"73",2009-04-17,0.860129564193168,0.857685009487666,NA,0.212121212121212,0.74025974025974,0.10343577065323,0.889511635658231
"74",2009-04-20,0.808009422850412,0.863693864642631,NA,0.0432900432900433,0.705627705627706,0.0120929511279102,0.933122309714112
"75",2009-04-21,0.845111896348645,0.878557874762808,NA,0.939393939393939,0.883116883116883,0.871682255298746,0.610175306914385
"76",2009-04-22,0.821554770318021,0.881404174573055,NA,0.112554112554113,0.627705627705628,0.055425761650772,0.850511770394363
"77",2009-04-23,0.828327444051826,0.886780518659076,NA,0.675324675324675,0.67965367965368,0.622685582486944,0.631392019318395
"78",2009-04-24,0.817726737338045,0.903225806451613,NA,0.264069264069264,0.887445887445887,0.0813470906635519,0.967836789031916
"79",2009-04-27,0.809187279151943,0.925996204933586,"AGII",0.29004329004329,0.926406926406926,0.0710163670975658,0.982811834947373
"80",2009-04-28,0.837455830388693,0.930740037950664,"AGII",0.922077922077922,0.658008658008658,0.944976877301928,0.313195879668723
"81",2009-04-29,0.837750294464075,0.965211891208096,"AGII",0.506493506493506,0.961038961038961,0.122146742292051,0.988649792647984
"82",2009-04-30,0.824204946996466,0.985768500948767,"AGII",0.216450216450216,0.909090909090909,0.0522867415327977,0.980161297254183
"83",2009-05-01,0.794464075382803,0.993358633776091,"AGII",0.0995670995670996,0.722943722943723,0.0371320855619117,0.914324481756222
"84",2009-05-04,0.808303886925795,1.00822264389627,"AGII",0.813852813852814,0.852813852813853,0.656649990289338,0.769782571613351
"85",2009-05-05,0.778268551236749,0.995888678051866,"AGII",0.0865800865800866,0.212121212121212,0.105357687709671,0.459937255016649
"86",2009-05-06,0.830094228504123,0.980708412397217,"AGII",0.96969696969697,0.155844155844156,0.997390646052355,0.0152478058757691
"87",2009-05-07,0.825088339222615,0.984187223276407,"AGII",0.363636363636364,0.627705627705628,0.283238992249344,0.733579652655423
"88",2009-05-08,0.893109540636042,0.968374446552815,"AGII",0.982683982683983,0.151515151515152,0.998995697761102,0.00998974546916354
"89",2009-05-11,0.854240282685512,0.982289690069576,"AGII",0.0606060606060606,0.844155844155844,0.012169971115801,0.973943791745556
"90",2009-05-12,0.871908127208481,0.982289690069576,"AGII",0.844155844155844,0.528138528138528,0.897502730053481,0.300256949732769
"91",2009-05-13,0.86866902237927,0.9471853257432,"AGII",0.411255411255411,0.0476190476190476,0.761524487461599,0.0265410450223976
"92",2009-05-14,0.89281507656066,0.943390259329538,"AGII",0.904761904761905,0.411255411255411,0.964160534748231,0.147177601026119
"93",2009-05-15,0.879858657243816,0.917773561037318,"AGII",0.246753246753247,0.0865800865800866,0.510530748210204,0.0929385297863901
"94",2009-05-18,0.891342756183746,0.921884882985452,"AGII",0.761904761904762,0.649350649350649,0.755225643850412,0.521801560019206
"95",2009-05-19,0.871613663133098,0.929791271347248,"AGII",0.142857142857143,0.753246753246753,0.0567936482784308,0.916871675664372
"96",2009-05-20,0.851295641931684,0.915559772296015,"AGII",0.138528138528139,0.155844155844156,0.231197569750692,0.281177251248559
"97",2009-05-21,0.836277974087161,0.905123339658444,"AGII",0.199134199134199,0.225108225108225,0.27260002280294,0.332534065183553
"98",2009-05-22,0.828032979976443,0.900063251106894,"AGII",0.298701298701299,0.350649350649351,0.337103336934266,0.436498952847718
"99",2009-05-26,0.863957597173145,0.915876027830487,"AGII",0.935064935064935,0.887445887445887,0.856185986851186,0.635266002425889
"100",2009-05-27,0.828032979976443,0.893738140417457,"AGII",0.0649350649350649,0.103896103896104,0.137711977018802,0.30941624185411
"101",2009-05-28,0.811248527679623,0.90955091714105,"AGII",0.164502164502165,0.887445887445887,0.0403158438905362,0.975888610024311
"102",2009-05-29,0.825971731448763,0.9146110056926,"AGII",0.813852813852814,0.666666666666667,0.812987442567255,0.490541252238266
"103",2009-06-01,0.844817432273263,0.950664136622391,"AGII",0.865800865800866,0.961038961038961,0.477383955024873,0.93545768506221
"104",2009-06-02,0.881036513545348,0.959519291587603,"AGII",0.935064935064935,0.757575757575758,0.935688149801818,0.39745512007172
"105",2009-06-03,0.887809187279152,0.951929158760278,"AGII",0.670995670995671,0.298701298701299,0.804142114895112,0.198219300238796
"106",2009-06-04,0.888398115429918,0.962049335863378,"AGII",0.515151515151515,0.779220779220779,0.348150721511561,0.835388452624786
"107",2009-06-05,0.884864546525324,0.966793168880455,"AGII",0.411255411255411,0.658008658008658,0.318962434070429,0.745601231883715
"108",2009-06-08,0.888103651354535,0.977545857052498,"AGII",0.597402597402597,0.792207792207792,0.428335545905032,0.818262950138691
"109",2009-06-09,0.876325088339223,0.975964579380139,"AGII",0.25974025974026,0.471861471861472,0.233339851290822,0.613679067335933
"110",2009-06-10,0.863957597173145,0.980392156862745,"AGII",0.251082251082251,0.653679653679654,0.160886439547675,0.806929371150945
"111",2009-06-11,0.861601884570082,0.990196078431372,"AGII",0.424242424242424,0.766233766233766,0.266505528774211,0.851784931507038
"112",2009-06-12,0.85718492343934,0.990196078431372,"AGII",0.385281385281385,0.528138528138528,0.357132599690857,0.609236998532937
"113",2009-06-15,0.840106007067138,0.986717267552182,"AGII",0.168831168831169,0.424242424242424,0.144269930335886,0.624849047291732
"114",2009-06-16,0.837455830388693,0.996837444655281,"AGII",0.41991341991342,0.774891774891775,0.256604197773903,0.861205904063865
"115",2009-06-17,0.832449941107185,1.00442757748261,"AGII",0.367965367965368,0.722943722943723,0.239107852985599,0.828507307402483
"116",2009-06-18,0.789163722025913,1.01581277672359,"AGII",0.0476190476190476,0.792207792207792,0.0106555541760275,0.961654473648207
"117",2009-06-19,0.815959952885748,0.999051233396584,"AGII",0.922077922077922,0.147186147186147,0.987705860481162,0.0266799490466541
"118",2009-06-22,0.791813898704358,0.997469955724225,"AGII",0.103896103896104,0.471861471861472,0.0682190717930842,0.734202533971704
"119",2009-06-23,0.7962308598351,0.982289690069576,"AGII",0.640692640692641,0.155844155844156,0.837405417457122,0.0848654066354568
"120",2009-06-24,0.803886925795053,0.975332068311195,"AGII",0.714285714285714,0.32034632034632,0.836201425430801,0.199478564454087
"121",2009-06-25,0.81301531213192,0.986084756483238,"AGII",0.735930735930736,0.787878787878788,0.613692366884785,0.734709160184258
"122",2009-06-26,0.829505300353357,0.997786211258697,"AGII",0.83982683982684,0.792207792207792,0.768087196254629,0.63854824846201
"123",2009-06-29,0.83716136631331,1.00664136622391,"AGII",0.696969696969697,0.753246753246753,0.592761420960693,0.714260833831873
"124",2009-06-30,0.830977620730271,1.00569259962049,"AGII",0.346320346320346,0.484848484848485,0.331250022142419,0.578193905884537
"125",2009-07-01,0.85394581861013,1.02150537634409,"AGII",0.904761904761905,0.861471861471861,0.817608404898687,0.655763703001048
