"","X1","BANC","CFFI","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.621761658031088,0.68821752265861,"BANC",0.619047619047619,0.0476190476190476,0.62161907893208,0.0301581839973633
"46",2009-03-10,0.587564766839378,0.754682779456193,"BANC",0.0822510822510823,0.978354978354978,0.147358606334247,0.974727890785085
"47",2009-03-11,0.621761658031088,0.754682779456193,"BANC",0.943722943722944,0.662337662337662,0.959766119586073,0.603749372877871
"48",2009-03-12,0.621761658031088,0.754682779456193,"BANC",0.597402597402597,0.662337662337662,0.598609347517132,0.676138609995852
"49",2009-03-13,0.621761658031088,0.810876132930514,"BANC",0.597402597402597,0.952380952380952,0.54525371112106,0.969029616378453
"50",2009-03-16,0.672538860103627,0.812084592145015,"BANC",0.978354978354978,0.67965367965368,0.987105790717275,0.586418204724494
"51",2009-03-17,0.715025906735751,0.812084592145015,"BANC",0.952380952380952,0.662337662337662,0.967121385336233,0.598140433649167
"52",2009-03-18,0.734715025906736,0.81570996978852,"BANC",0.857142857142857,0.705627705627706,0.873272338201995,0.681638917188392
"53",2009-03-19,0.734715025906736,0.81570996978852,"BANC",0.597402597402597,0.662337662337662,0.598609347517132,0.676138609995852
"54",2009-03-20,0.734715025906736,0.815703927492447,"BANC",0.597402597402597,0.346320346320346,0.615807768805016,0.323923751591283
"55",2009-03-23,0.725388601036269,0.81570996978852,"BANC",0.277056277056277,0.666666666666667,0.249844401673994,0.68987308489322
"56",2009-03-24,0.802072538860104,0.81570996978852,"BANC",0.995670995670996,0.662337662337662,0.998270037110787,0.53587349955574
"57",2009-03-25,0.808290155440414,0.785498489425982,NA,0.701298701298701,0.151515151515152,0.715146464901929,0.125188492118336
"58",2009-03-26,0.785492227979275,0.810876132930514,NA,0.155844155844156,0.857142857142857,0.149103023733973,0.866328962532571
"59",2009-03-27,0.696373056994819,0.830815709969788,"BANC",0.0173160173160173,0.813852813852814,0.0120866467576187,0.742001055890409
"60",2009-03-30,0.696373056994819,0.830815709969788,"BANC",0.597402597402597,0.662337662337662,0.598609347517132,0.676138609995852
"61",2009-03-31,0.699481865284974,0.873111782477341,"BANC",0.658008658008658,0.913419913419913,0.614917681566283,0.932779478556536
"62",2009-04-01,0.699481865284974,0.996978851963746,"BANC",0.597402597402597,0.987012987012987,0.520412987622279,0.993750025074903
"63",2009-04-02,0.769948186528497,0.952271903323263,"BANC",0.995670995670996,0.12987012987013,0.996929547179543,0.265924523327055
"64",2009-04-03,0.722279792746114,0.936555891238671,"BANC",0.0692640692640693,0.233766233766234,0.0597496789312008,0.291514167233902
"65",2009-04-06,0.730569948186528,0.936555891238671,"BANC",0.761904761904762,0.662337662337662,0.778469282863025,0.657362910898876
