"","X1","WTFC","ZION","long_distance","Fx","Fy","MI_X","MI_Y"
"89",2009-05-11,1.00589101620029,0.7368,"ZION",0.0865800865800866,0.0606060606060606,0.377617607104145,0.203432433588855
"90",2009-05-12,0.961217476681394,0.6924,"ZION",0.112554112554113,0.108225108225108,0.327489522594978,0.305046488771295
"91",2009-05-13,0.887088856161021,0.6256,"ZION",0.038961038961039,0.0562770562770563,0.184731626570491,0.342313375817245
"92",2009-05-14,0.889052528227786,0.6448,"ZION",0.571428571428571,0.774891774891775,0.250390346479546,0.868415610737936
"93",2009-05-15,0.846833578792342,0.602,"ZION",0.103896103896104,0.0952380952380952,0.331996071863738,0.284148281790162
"94",2009-05-18,0.920962199312715,0.7008,"ZION",0.961038961038961,0.978354978354978,0.448918171487234,0.871355004385623
"95",2009-05-19,0.914089347079038,0.6008,"ZION",0.476190476190476,0.025974025974026,0.96290621976922,0.00371284433059391
"96",2009-05-20,0.896907216494845,0.5784,"ZION",0.346320346320346,0.225108225108225,0.614343116539922,0.241374928265697
"97",2009-05-21,0.863524791359843,0.5248,"ZION",0.19047619047619,0.0606060606060606,0.660996747428247,0.0826829506595222
"98",2009-05-22,0.877270495827197,0.5084,"ZION",0.683982683982684,0.264069264069264,0.931966213943443,0.0692368895442128
"99",2009-05-26,0.959744722631321,0.5796,"ZION",0.96969696969697,0.96969696969697,0.688452336652663,0.688452336652663
"100",2009-05-27,0.932253313696613,0.5512,"ZION",0.246753246753247,0.155844155844156,0.548837461993298,0.220546897690864
"101",2009-05-28,0.876288659793814,0.5496,"ZION",0.0779220779220779,0.541125541125541,0.0158652059524886,0.945678124356178
"102",2009-05-29,0.883652430044183,0.5472,"ZION",0.606060606060606,0.515151515151515,0.674642386014475,0.402914704463235
"103",2009-06-01,0.870888561610211,0.5684,"ZION",0.415584415584416,0.796536796536797,0.0947821317068984,0.950283454104606
"104",2009-06-02,0.830633284241532,0.586,"ZION",0.112554112554113,0.779220779220779,0.00751198486092088,0.98889653615223
"105",2009-06-03,0.811978399607265,0.5628,"ZION",0.307359307359307,0.216450216450216,0.560683917220947,0.266971004560481
"106",2009-06-04,0.888561610211095,0.5856,"ZION",0.96969696969697,0.796536796536797,0.990293200236047,0.0895110717268533
"107",2009-06-05,0.821305841924399,0.5788,"ZION",0.038961038961039,0.441558441558442,0.00863608489905735,0.9400196146097
"108",2009-06-08,0.855670103092783,0.5728,"ZION",0.861471861471861,0.467532467532468,0.972928446736468,0.0758578909592894
"109",2009-06-09,0.869415807560137,0.586,"ZION",0.683982683982684,0.731601731601732,0.506735752648903,0.682466556717385
"110",2009-06-10,0.859597447226313,0.5668,"ZION",0.45021645021645,0.255411255411255,0.728591395319036,0.193992552924706
"111",2009-06-11,0.870888561610211,0.5872,"ZION",0.670995670995671,0.796536796536797,0.358277441083281,0.820168235641143
"112",2009-06-12,0.873343151693667,0.5912,"ZION",0.571428571428571,0.632034632034632,0.460439396777325,0.650606612241521
"113",2009-06-15,0.835051546391753,0.5992,"ZION",0.116883116883117,0.675324675324675,0.015493504080992,0.970081204461005
"114",2009-06-16,0.798723613156603,0.5532,"ZION",0.116883116883117,0.0822510822510823,0.408097907272427,0.217828130766279
"115",2009-06-17,0.756013745704467,0.516,"ZION",0.0909090909090909,0.0952380952380952,0.290056962322905,0.315035141177449
"116",2009-06-18,0.774177712322042,0.528,"ZION",0.727272727272727,0.731601731601732,0.596165369429891,0.613083010860724
"117",2009-06-19,0.825233186057928,0.5336,"ZION",0.926406926406926,0.649350649350649,0.980971775510466,0.0960155407999015
"118",2009-06-22,0.767304860088365,0.4764,"ZION",0.051948051948052,0.038961038961039,0.320088858437762,0.197818040510528
"119",2009-06-23,0.777614138438881,0.4704,"ZION",0.670995670995671,0.432900432900433,0.839089430834342,0.212768703235558
"120",2009-06-24,0.778105056455572,0.4744,"ZION",0.54978354978355,0.636363636363636,0.417738505063759,0.684066332518074
"121",2009-06-25,0.819833087874325,0.4868,"ZION",0.891774891774892,0.753246753246753,0.910285780301895,0.276010836414012
"122",2009-06-26,0.826215022091311,0.476,"ZION",0.606060606060606,0.329004329004329,0.841565572011413,0.159950784809819
"123",2009-06-29,0.840942562592047,0.4896,"ZION",0.696969696969697,0.770562770562771,0.458269158157364,0.741671716468594
"124",2009-06-30,0.78939617083947,0.4624,"ZION",0.0735930735930736,0.116883116883117,0.191204708454972,0.434941800510616
"125",2009-07-01,0.796759941089838,0.454,"ZION",0.614718614718615,0.372294372294372,0.819939729753417,0.198106179543294
