,OEH,CCO
2008-07-15,0.5222612229817106,0.49979649979649976
2008-07-16,0.5407352669499353,0.5339845339845339
2008-07-17,0.6009606502863477,0.5604395604395604
2008-07-18,0.5874745981895437,0.5970695970695971
2008-07-21,0.6059486421577682,0.5954415954415955
2008-07-22,0.6393866617402549,0.6076516076516076
2008-07-23,0.6427119896545354,0.6442816442816443
2008-07-24,0.5928320709403289,0.6174196174196174
2008-07-25,0.6028080546831701,0.6507936507936508
2008-07-28,0.5821171254387586,0.6137566137566137
2008-07-29,0.6066876039164973,0.6463166463166463
2008-07-30,0.6138924810641049,0.6642246642246642
2008-07-31,0.6150009237021984,0.6495726495726496
2008-08-01,0.6295954184370958,0.6438746438746439
2008-08-04,0.610936634029189,0.643060643060643
2008-08-05,0.614631442822834,0.6617826617826619
