,FMBI,SNV
2008-07-14,0.4633228840125392,0.5618977020014826
2008-07-15,0.438871473354232,0.5604151223128243
2008-07-16,0.5551724137931034,0.631578947368421
2008-07-17,0.6028213166144201,0.7264640474425501
2008-07-18,0.6028213166144201,0.6997776130467012
2008-07-21,0.6216300940438871,0.687916975537435
2008-07-22,0.6724137931034483,0.7398072646404744
2008-07-23,0.681191222570533,0.7694588584136398
2008-07-24,0.6257053291536051,0.6901408450704226
2008-07-25,0.6285266457680251,0.681986656782802
2008-07-28,0.5956112852664577,0.6167531504818384
2008-07-29,0.6492163009404389,0.6856931060044478
2008-07-30,0.6504702194357367,0.698295033358043
2008-07-31,0.6435736677115989,0.7049666419570052
2008-08-01,0.6639498432601881,0.7160859896219421
2008-08-04,0.664576802507837,0.7190511489992586
2008-08-05,0.7128526645768025,0.7613046701260192
