"","X1","COLM","LH","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.703868633453938,0.824118281225936,"COLM",0.281385281385281,0.0476190476190476,0.639043010492155,0.0250430960934989
"46",2009-03-10,0.746451433342611,0.848298167257046,"COLM",0.961038961038961,0.956709956709957,0.823118600407097,0.782733668189684
"47",2009-03-11,0.747564709156694,0.825042353303558,"COLM",0.536796536796537,0.0476190476190476,0.782661136776048,0.0137473088136539
"48",2009-03-12,0.806290008349569,0.858462960110889,"COLM",0.978354978354978,0.991341991341991,0.634663048378187,0.938254927181921
"49",2009-03-13,0.816309490676315,0.88002464192207,"COLM",0.696969696969697,0.926406926406926,0.387360632032394,0.954919405011378
"50",2009-03-16,0.787086000556638,0.885569074387802,"COLM",0.12987012987013,0.701298701298701,0.052724242274041,0.852461893686426
"51",2009-03-17,0.79543556916226,0.89496380717696,"COLM",0.670995670995671,0.805194805194805,0.507768566389736,0.819078841380026
"52",2009-03-18,0.838018369050932,0.890343446788849,"COLM",0.948051948051948,0.333333333333333,0.985049288166625,0.16512807699041
"53",2009-03-19,0.85610910102978,0.872940089326967,"COLM",0.813852813852814,0.0909090909090909,0.906068272828433,0.03582728421244
"54",2009-03-20,0.833008627887559,0.874172185430463,"COLM",0.173160173160173,0.558441558441558,0.0909976026268027,0.748903092849782
"55",2009-03-23,0.866406902310047,0.894501771138149,"COLM",0.9004329004329,0.917748917748918,0.733625014947637,0.81615622717713
"56",2009-03-24,0.84107987753966,0.888495302633605,"COLM",0.16017316017316,0.285714285714286,0.156126218801151,0.471143997959804
"57",2009-03-25,0.851377678819928,0.903896503927306,"COLM",0.688311688311688,0.891774891774892,0.428469590766088,0.920905429864906
"58",2009-03-26,0.868911772891734,0.916679501001078,"COLM",0.792207792207792,0.844155844155844,0.644779240709445,0.795944962228855
"59",2009-03-27,0.842749791260785,0.89496380717696,"COLM",0.151515151515152,0.0606060606060606,0.445413627239846,0.077316755735953
"60",2009-03-30,0.834678541608683,0.893115663021716,"COLM",0.380952380952381,0.424242424242424,0.382280823761842,0.472377622915913
"61",2009-03-31,0.832730308934038,0.900816263668566,"COLM",0.480519480519481,0.748917748917749,0.323920332465479,0.828256504693928
"62",2009-04-01,0.849707765098803,0.90266440782381,"COLM",0.792207792207792,0.584415584415584,0.841018645735665,0.410523186497569
"63",2009-04-02,0.913164486501531,0.918681657169259,"COLM",0.978354978354978,0.896103896103896,0.972767385354044,0.473444521568444
"64",2009-04-03,0.919565822432508,0.911289080548283,NA,0.606060606060606,0.264069264069264,0.756040881745368,0.160796981686272
"65",2009-04-06,0.896743668243807,0.922685969505621,NA,0.203463203463203,0.822510822510823,0.0944284367071817,0.920550511823915
"66",2009-04-07,0.870303367659338,0.91144309256122,NA,0.16017316017316,0.203463203463203,0.215496772171821,0.341813459355834
"67",2009-04-08,0.888115780684665,0.90990297243185,NA,0.792207792207792,0.445887445887446,0.879100187279993,0.269086174582848
"68",2009-04-09,0.92791539103813,0.919451717233944,NA,0.922077922077922,0.800865800865801,0.919397924061384,0.520587894890055
"69",2009-04-13,0.944057890342332,0.917911597104574,NA,0.744588744588745,0.445887445887446,0.834046436439707,0.290480926874252
"70",2009-04-14,0.932646813247982,0.921607885415062,NA,0.329004329004329,0.649350649350649,0.210842728662283,0.774952176313818
"71",2009-04-15,0.933481770108544,0.937779146773448,NA,0.528138528138528,0.896103896103896,0.282193565312527,0.951597736160445
"72",2009-04-16,0.94711939883106,0.948251963653165,NA,0.718614718614719,0.805194805194805,0.575755942829519,0.79065440888144
"73",2009-04-17,0.963818536042305,0.961496996765748,NA,0.748917748917749,0.844155844155844,0.574376662988468,0.829394903956345
"74",2009-04-20,0.940439743946563,0.951178191898968,NA,0.203463203463203,0.238095238095238,0.256337428313325,0.347116975312532
"75",2009-04-21,0.95073754522683,0.975204065917141,NA,0.670995670995671,0.926406926406926,0.36386983817706,0.958925770439376
"76",2009-04-22,1.00333982744225,0.966733405205606,NA,0.948051948051948,0.25974025974026,0.984182131009999,0.135867956594579
"77",2009-04-23,1.04453103256332,0.948405975666102,"LH",0.904761904761905,0.108225108225108,0.953777272498789,0.0552292134982704
