"","X1","DPZ","AMG","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,1.14143426294821,0.671961325966851,"AMG",0.25974025974026,0.359307359307359,0.256713869761759,0.570586578581709
"46",2009-03-10,1.21713147410359,0.776243093922652,"AMG",0.943722943722944,0.987012987012987,0.333962006239665,0.968864325818982
"47",2009-03-11,1.23505976095618,0.855662983425414,"AMG",0.727272727272727,0.96969696969697,0.149496860881083,0.990230615609142
"48",2009-03-12,1.25099601593626,0.928637200736648,"AMG",0.714285714285714,0.952380952380952,0.176487410889839,0.980697936191362
"49",2009-03-13,1.27888446215139,0.950506445672192,"AMG",0.787878787878788,0.735930735930736,0.719373810033081,0.528158578858042
"50",2009-03-16,1.24103585657371,0.909069981583794,"AMG",0.203463203463203,0.194805194805195,0.37207556995705,0.336220558751752
"51",2009-03-17,1.26892430278884,0.938075506445672,"AMG",0.787878787878788,0.787878787878788,0.639501988179178,0.639501988179178
"52",2009-03-18,1.31872509960159,0.996086556169429,"AMG",0.878787878787879,0.917748917748918,0.560188754017679,0.813889899993287
"53",2009-03-19,1.30478087649402,0.973756906077348,"AMG",0.393939393939394,0.294372294372294,0.579748609637625,0.278254518630186
"54",2009-03-20,1.28486055776892,0.930478821362799,"AMG",0.350649350649351,0.181818181818182,0.672181042533479,0.142853669871263
"55",2009-03-23,1.33864541832669,1.07918968692449,"AMG",0.883116883116883,0.987012987012987,0.201517146939078,0.990700952286955
"56",2009-03-24,1.32470119521912,1.01012891344383,"AMG",0.393939393939394,0.0779220779220779,0.84797847900473,0.0262192965874482
"57",2009-03-25,1.35059760956175,1.03729281767956,"AMG",0.770562770562771,0.766233766233766,0.638032518144417,0.621638046463191
"58",2009-03-26,1.40438247011952,1.08402394106814,"AMG",0.878787878787879,0.861471861471861,0.72793707604585,0.632398453699944
"59",2009-03-27,1.35856573705179,1.01864640883978,"AMG",0.19047619047619,0.0909090909090909,0.592570297941048,0.114191814630093
"60",2009-03-30,1.32270916334661,0.904696132596685,"AMG",0.242424242424242,0.0346320346320346,0.821680172394364,0.0147363236025843
"61",2009-03-31,1.30478087649402,0.960174953959484,"AMG",0.372294372294372,0.913419913419913,0.0669085494528964,0.98493530270796
"62",2009-04-01,1.27888446215139,0.980432780847146,"AMG",0.311688311688312,0.718614718614719,0.0967005214427488,0.911511518787812
"63",2009-04-02,1.34661354581673,1.0481123388582,"AMG",0.904761904761905,0.922077922077922,0.637126986119562,0.767122698556557
"64",2009-04-03,1.4003984063745,1.06744935543278,"AMG",0.878787878787879,0.705627705627706,0.906811555416858,0.305503867720676
"65",2009-04-06,1.34462151394422,1.05432780847145,"AMG",0.134199134199134,0.402597402597403,0.0652039854817861,0.793017019275899
"66",2009-04-07,1.32868525896414,0.979051565377532,"AMG",0.385281385281385,0.0649350649350649,0.857289783213701,0.0199906456692949
"67",2009-04-08,1.36852589641434,1.02555248618785,"AMG",0.852813852813853,0.87012987012987,0.630175634291884,0.721392955211053
"68",2009-04-09,1.47011952191235,1.16689686924494,"AMG",0.956709956709957,0.982683982683983,0.467709311733931,0.924217062285882
"69",2009-04-13,1.46613545816733,1.18462246777164,"AMG",0.532467532467532,0.670995670995671,0.349341349894769,0.739790117513609
"70",2009-04-14,1.43027888446215,1.10082872928177,"AMG",0.277056277056277,0.0649350649350649,0.782613931749534,0.0345852296850055
"71",2009-04-15,1.41434262948207,1.16689686924494,"AMG",0.393939393939394,0.909090909090909,0.0740644892071842,0.982952920367949
"72",2009-04-16,1.44422310756972,1.14502762430939,"AMG",0.779220779220779,0.333333333333333,0.93861384824529,0.0891562421642988
"73",2009-04-17,1.40438247011952,1.15492633517495,"AMG",0.225108225108225,0.623376623376623,0.0728981587546152,0.886219940621076
"74",2009-04-20,1.32470119521912,1.01473296500921,"AMG",0.0735930735930736,0.0173160173160173,0.674265721049615,0.0325051189399853
"75",2009-04-21,1.43426294820717,1.09000920810313,"AMG",0.965367965367965,0.930735930735931,0.889454193699776,0.506583208972924
"76",2009-04-22,1.47609561752988,1.08540515653775,"AMG",0.835497835497836,0.493506493506494,0.93799396690547,0.15442178156371
"77",2009-04-23,1.57768924302789,1.11717311233886,"AMG",0.948051948051948,0.779220779220779,0.965605879325581,0.244312737486929
"78",2009-04-24,1.66932270916335,1.13351749539595,"AMG",0.926406926406926,0.670995670995671,0.967842656010314,0.189161942489632
"79",2009-04-27,1.69123505976096,1.08540515653775,"AMG",0.714285714285714,0.194805194805195,0.937135043202901,0.0433723088331474
"80",2009-04-28,1.71713147410359,1.02854511970534,"AMG",0.735930735930736,0.12987012987013,0.953396011820208,0.0221704584758603
"81",2009-04-29,1.83466135458167,1.27094843462247,"AMG",0.948051948051948,1,0.0555333975928168,0.9999999999
"82",2009-04-30,1.8804780876494,1.30870165745856,"AMG",0.831168831168831,0.779220779220779,0.751036304011299,0.536340893409487
"83",2009-05-01,1.89043824701195,1.28959484346225,"AMG",0.649350649350649,0.372294372294372,0.832843636894377,0.174798582876116
