"","X1","CREE","BANC","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,1.1260086902545,0.621761658031088,"BANC",0.168831168831169,0.619047619047619,0.135867521028466,0.665637661079714
"46",2009-03-10,1.20360024829299,0.587564766839378,"BANC",0.948051948051948,0.0822510822510823,0.94964541948132,0.0889537720534061
"47",2009-03-11,1.25387957790192,0.621761658031088,"BANC",0.861471861471861,0.943722943722944,0.775753098678928,0.932021715375345
"48",2009-03-12,1.32650527622595,0.621761658031088,"BANC",0.917748917748918,0.597402597402597,0.936070562327838,0.519343292337513
"49",2009-03-13,1.33581626319056,0.621761658031088,"BANC",0.623376623376623,0.597402597402597,0.624199387129581,0.591144977155626
"50",2009-03-16,1.32836747361887,0.672538860103627,"BANC",0.506493506493506,0.978354978354978,0.416417401195938,0.988006567724002
"51",2009-03-17,1.38423339540658,0.715025906735751,"BANC",0.865800865800866,0.952380952380952,0.77094565682313,0.942072913172294
"52",2009-03-18,1.52017380509001,0.734715025906736,"BANC",0.978354978354978,0.857142857142857,0.976406665667883,0.711476192292887
"53",2009-03-19,1.50900062073246,0.734715025906736,"BANC",0.471861471861472,0.597402597402597,0.455184207460324,0.612597900723994
"54",2009-03-20,1.42644320297952,0.734715025906736,"BANC",0.0735930735930736,0.597402597402597,0.0508574460310682,0.65196637306177
"55",2009-03-23,1.51396648044693,0.725388601036269,"BANC",0.935064935064935,0.277056277056277,0.954947580559345,0.247262453700895
"56",2009-03-24,1.46803227808814,0.802072538860104,"BANC",0.207792207792208,0.995670995670996,0.254668814148562,0.997811502432679
"57",2009-03-25,1.45810055865922,0.808290155440414,"BANC",0.480519480519481,0.701298701298701,0.450343624805804,0.725227001256363
"58",2009-03-26,1.52265673494724,0.785492227979275,"BANC",0.87012987012987,0.155844155844156,0.892845709757942,0.133036796542307
"59",2009-03-27,1.49534450651769,0.696373056994819,"BANC",0.324675324675325,0.0173160173160173,0.470023598894659,0.0108823080744478
"60",2009-03-30,1.42954686530106,0.696373056994819,"BANC",0.0995670995670996,0.597402597402597,0.0729103700096841,0.650421243302779
"61",2009-03-31,1.46058348851645,0.699481865284974,"BANC",0.744588744588745,0.658008658008658,0.748987616848374,0.635715242874483
"62",2009-04-01,1.56610800744879,0.699481865284974,"BANC",0.952380952380952,0.597402597402597,0.966764242886543,0.500935925596261
"63",2009-04-02,1.57666045934202,0.769948186528497,"BANC",0.619047619047619,0.995670995670996,0.45935146748992,0.998132559377398
"64",2009-04-03,1.62756052141527,0.722279792746114,"BANC",0.835497835497836,0.0692640692640693,0.846052095818336,0.0542871166338458
"65",2009-04-06,1.65176908752328,0.730569948186528,"BANC",0.718614718614719,0.761904761904762,0.698660685175263,0.756844220739358
