,UGI,WEC
2008-07-15,1.0319756376094404,0.9686752229715032
2008-07-16,1.0159878188047202,0.9545355666739178
2008-07-17,1.0026646364674534,0.9499673700239287
2008-07-18,0.9961933764750667,0.9471394387644115
2008-07-21,1.0019033117624667,0.9567108984120077
2008-07-22,1.0251237152645603,0.9514901022405917
2008-07-23,1.0110392082223068,0.9356101805525342
2008-07-24,1.0106585458698136,0.9506199695453558
2008-07-25,1.0057099352874002,0.9384381118120514
2008-07-28,1.0118005329272934,0.9488797041548835
2008-07-29,1.0083745717548533,0.9458342397215574
2008-07-30,1.0422535211267605,0.9669349575810312
2008-07-31,1.0300723258469737,0.9815096802262344
2008-08-01,0.9992386752950133,0.965847291711986
2008-08-04,1.00342596117244,0.962366760931042
2008-08-05,1.0243623905595738,0.9919512725690668
