"","X1","DIOD","GRA","long_distance","Fx","Fy","MI_X","MI_Y"
"103",2009-06-01,2.46960486322188,2.22257053291536,"GRA",0.930735930735931,0.935064935064935,0.733154054210996,0.765707092097723
"104",2009-06-02,2.37537993920973,2.23197492163009,"GRA",0.164502164502165,0.597402597402597,0.0625470718657145,0.850698626031827
"105",2009-06-03,2.36170212765957,2.21786833855799,"GRA",0.463203463203463,0.45021645021645,0.490765668734911,0.458922511707351
"106",2009-06-04,2.44376899696049,2.24294670846395,"GRA",0.848484848484849,0.670995670995671,0.874493278599345,0.378925684329561
"107",2009-06-05,2.38297872340426,2.2115987460815,"GRA",0.281385281385281,0.38961038961039,0.269406614849372,0.548051394141968
"108",2009-06-08,2.40729483282675,2.20376175548589,"GRA",0.658008658008658,0.476190476190476,0.745058406947305,0.325737823711335
"109",2009-06-09,2.39209726443769,2.20846394984326,"GRA",0.445887445887446,0.571428571428571,0.356619097749632,0.652999757369163
"110",2009-06-10,2.44072948328267,2.17241379310345,"GRA",0.766233766233766,0.367965367965368,0.898794256503926,0.154551451177001
"111",2009-06-11,2.4468085106383,2.15360501567398,"GRA",0.554112554112554,0.428571428571429,0.643380902250368,0.347000242630836
"112",2009-06-12,2.36018237082067,2.1128526645768,"GRA",0.173160173160173,0.346320346320346,0.145104070192028,0.614704241278887
"113",2009-06-15,2.31003039513678,2.02351097178683,"GRA",0.311688311688312,0.173160173160173,0.565760376371705,0.166186743867089
"114",2009-06-16,2.26747720364742,2.04545454545455,"GRA",0.333333333333333,0.666666666666667,0.168197265007097,0.831802734992903
"115",2009-06-17,2.24012158054711,2.00626959247649,"GRA",0.385281385281385,0.346320346320346,0.472540526614641,0.372594354760079
"116",2009-06-18,2.26899696048632,2.02194357366771,"GRA",0.688311688311688,0.614718614718615,0.68110215131287,0.491160435457346
"117",2009-06-19,2.33130699088146,1.97962382445141,"GRA",0.813852813852814,0.316017316017316,0.936891105221768,0.10811340904688
"118",2009-06-22,2.22036474164134,1.88401253918495,"GRA",0.121212121212121,0.134199134199134,0.256927108240224,0.316336772428062
"119",2009-06-23,2.22036474164134,1.90438871473354,"GRA",0.532467532467532,0.666666666666667,0.392702127329988,0.716572931505876
"120",2009-06-24,2.29483282674772,1.91692789968652,"GRA",0.83982683982684,0.61038961038961,0.890888123208314,0.316538235559125
"121",2009-06-25,2.3693009118541,1.97805642633229,"GRA",0.83982683982684,0.835497835497836,0.702460684716373,0.685633958471197
"122",2009-06-26,2.42553191489362,2.09561128526646,"GRA",0.792207792207792,0.891774891774892,0.489979802770575,0.864819873776681
"123",2009-06-29,2.43009118541033,2.03605015673981,"GRA",0.545454545454545,0.251082251082251,0.765032431673191,0.142374325347647
"124",2009-06-30,2.37689969604863,1.93887147335423,"GRA",0.311688311688312,0.134199134199134,0.623650085885204,0.111196861131521
"125",2009-07-01,2.52279635258359,1.98275862068966,"GRA",0.935064935064935,0.774891774891775,0.945081079616204,0.356905577963943
