,CMS,GXP
2008-07-14,0.8674548848786559,0.9281650071123756
2008-07-15,0.8618543870566272,0.9317211948790896
2008-07-16,0.8568761667703796,0.9029160739687055
2008-07-17,0.8462974486621032,0.8922475106685632
2008-07-18,0.8481642812694462,0.8908250355618776
2008-07-21,0.85065339141257,0.8982930298719772
2008-07-22,0.8550093341630367,0.9029160739687055
2008-07-23,0.8425637834474174,0.8918918918918918
2008-07-24,0.835096453018046,0.8943812233285917
2008-07-25,0.8413192283758556,0.878022759601707
2008-07-28,0.8344741754822651,0.8840682788051208
2008-07-29,0.8400746733042938,0.8858463726884779
2008-07-30,0.8481642812694462,0.892958748221906
2008-07-31,0.8400746733042938,0.8982930298719772
2008-08-01,0.8226509023024269,0.8837126600284495
2008-08-04,0.8151835718730553,0.8783783783783783
2008-08-05,0.8394523957685127,0.8862019914651494
2008-08-06,0.8288736776602365,0.8819345661450925
2008-08-07,0.8276291225886746,0.8655761024182076
2008-08-08,0.8494088363410081,0.8851351351351351
2008-08-11,0.8525202240199128,0.8950924608819346
2008-08-12,0.8382078406969509,0.883357041251778
2008-08-13,0.8438083385189795,0.8766002844950213
2008-08-14,0.8344741754822651,0.8637980085348506
2008-08-15,0.8245177349097698,0.8534850640113798
2008-08-18,0.8214063472308649,0.8630867709815078
2008-08-19,0.8251400124455507,0.8591749644381224
2008-08-20,0.8158058494088363,0.8509957325746799
2008-08-21,0.8176726820161793,0.8463726884779517
2008-08-22,0.8189172370877411,0.8499288762446656
2008-08-25,0.819539514623522,0.84850640113798
2008-08-26,0.8232731798382078,0.8328591749644382
2008-08-27,0.835096453018046,0.8357041251778093
2008-08-28,0.8481642812694462,0.8435277382645803
2008-08-29,0.8444306160547604,0.8339260312944523
2008-09-02,0.8469197261978842,0.8282361308677098
2008-09-03,0.8369632856253889,0.82325746799431
2008-09-04,0.8382078406969509,0.8236130867709814
2008-09-05,0.8301182327317984,0.8090327169274537
2008-09-08,0.8556316116988176,0.8257467994310099
2008-09-09,0.835096453018046,0.8225462304409672
2008-09-10,0.8431860609831985,0.8221906116642959
2008-09-11,0.8456751711263223,0.8175675675675674
2008-09-12,0.8581207218419414,0.8310810810810811
2008-09-15,0.8238954573739888,0.8150782361308677
2008-09-16,0.789670192906036,0.8104551920341393
2008-09-17,0.7523335407591786,0.794452347083926
2008-09-18,0.7728686994399502,0.8175675675675674
2008-09-19,0.8027380211574362,0.8246799431009958
2008-09-22,0.7927815805849409,0.8068990042674253
2008-09-23,0.7859365276913504,0.7955192034139402
2008-09-24,0.7840696950840075,0.7795163584637269
2008-09-25,0.7927815805849409,0.7955192034139402
2008-09-26,0.8039825762289982,0.7983641536273115
2008-09-29,0.7548226509023025,0.7844950213371266
2008-09-30,0.775980087118855,0.7876955903271692
2008-10-01,0.7828251400124455,0.7976529160739687
2008-10-02,0.7591785936527691,0.7709815078236131
2008-10-03,0.7436216552582451,0.7937411095305832
2008-10-06,0.6820161792159304,0.7443100995732574
2008-10-07,0.6316116988176727,0.7158605974395448
2008-10-08,0.6042314872433105,0.6870554765291608
2008-10-09,0.5700062227753578,0.6301564722617353
2008-10-10,0.565650280024891,0.6120199146514936
2008-10-13,0.6228998133167393,0.683854907539118
2008-10-14,0.6222775357809583,0.6678520625889047
2008-10-15,0.5706285003111388,0.6308677098150781
2008-10-16,0.6316116988176727,0.6486486486486486
2008-10-17,0.6309894212818917,0.6486486486486486
2008-10-20,0.6925948973242066,0.7037695590327169
2008-10-21,0.6614810205351587,0.680298719772404
2008-10-22,0.6297448662103298,0.6575391180654337
2008-10-23,0.6353453640323585,0.6674964438122333
2008-10-24,0.6253889234598631,0.6486486486486486
2008-10-27,0.6017423771001866,0.6283783783783784
2008-10-28,0.6390790292470442,0.6785206258890468
2008-10-29,0.6328562538892346,0.6746088193456614
2008-10-30,0.65588052271313,0.6927453769559032
2008-10-31,0.6378344741754822,0.6913229018492176
2008-11-03,0.64281269446173,0.6870554765291608
2008-11-04,0.6509023024268824,0.6781650071123755
2008-11-05,0.6509023024268824,0.6511379800853484
2008-11-06,0.6129433727442439,0.6322901849217639
2008-11-07,0.6384567517112631,0.6536273115220483
2008-11-10,0.6228998133167393,0.6401137980085349
2008-11-11,0.6179215930304915,0.6340682788051208
2008-11-12,0.5986309894212818,0.6219772403982929
2008-11-13,0.6546359676415681,0.6735419630156473
2008-11-14,0.6695706285003111,0.6486486486486486
2008-11-17,0.6527691350342253,0.6642958748221905
2008-11-18,0.641568139390168,0.6774537695590327
2008-11-19,0.6098319850653392,0.6493598862019915
2008-11-20,0.5482265090230243,0.6077524893314367
2008-11-21,0.5955196017423771,0.6266002844950214
2008-11-24,0.6154324828873677,0.6557610241820768
2008-11-25,0.6098319850653392,0.6603840682788051
2008-11-26,0.6197884256378345,0.6561166429587482
2008-11-28,0.6322339763534537,0.6682076813655761
2008-12-01,0.5930304915992533,0.6219772403982929
2008-12-02,0.612321095208463,0.6443812233285917
2008-12-03,0.6341008089607965,0.6554054054054054
2008-12-04,0.5961418792781581,0.6369132290184921
2008-12-05,0.612321095208463,0.6507823613086771
2008-12-08,0.6166770379589297,0.6465149359886202
2008-12-09,0.6048537647790915,0.6561166429587482
2008-12-10,0.6278780336029869,0.6717638691322901
2008-12-11,0.611076540136901,0.6728307254623045
2008-12-12,0.6160547604231488,0.6746088193456614
2008-12-15,0.5917859365276913,0.6571834992887624
2008-12-16,0.6098319850653392,0.6756756756756757
2008-12-17,0.6004978220286248,0.6710526315789473
2008-12-18,0.5955196017423771,0.6742532005689901
2008-12-19,0.6048537647790915,0.6806543385490754
2008-12-22,0.5998755444928439,0.680298719772404
2008-12-23,0.5799626633478532,0.6618065433854907
2008-12-24,0.5693839452395769,0.6610953058321479
2008-12-26,0.5880522713130055,0.666429587482219
2008-12-29,0.5874299937772246,0.6621621621621622
2008-12-30,0.6004978220286248,0.6770981507823612
2008-12-31,0.6291225886745488,0.6874110953058321
