,BTU,SFY
2008-07-16,1.2973215890706453,1.2883561643835617
2008-07-17,1.1808376775121336,1.2232876712328768
2008-07-18,1.152255976990832,1.2082191780821918
2008-07-21,1.244472406974654,1.2787671232876712
2008-07-22,1.168973575408952,1.1942922374429226
2008-07-23,1.1240337947150818,1.1618721461187216
2008-07-24,1.127089699802265,1.1493150684931508
2008-07-25,1.1943196117202948,1.171689497716895
2008-07-28,1.1968362394391514,1.176027397260274
2008-07-29,1.1921625022469888,1.1333333333333335
2008-07-30,1.2764695308286895,1.2187214611872148
2008-07-31,1.216070465576128,1.1602739726027398
2008-08-01,1.1642998382167893,1.1860730593607307
2008-08-04,1.071364371741866,1.0876712328767124
2008-08-05,1.0690275031457845,1.1022831050228312
2008-08-06,1.124932590328959,1.1025114155251141
