,FWRD,LSTR
2008-09-23,0.9398373983739837,0.9803712395988906
2008-09-24,0.9317073170731707,0.9746106251333476
2008-09-25,0.9469918699186992,0.9628760401109453
2008-09-26,0.9060162601626016,0.9357798165137615
2008-09-29,0.8513821138211382,0.902496266268402
2008-09-30,0.8855284552845528,0.9400469383400897
2008-10-01,0.9053658536585366,0.9270322167697889
2008-10-02,0.7889430894308943,0.8026456155323234
2008-10-03,0.7642276422764228,0.8224877320247493
2008-10-06,0.7723577235772358,0.853211009174312
2008-10-07,0.7375609756097561,0.7947514401536164
2008-10-08,0.7408130081300813,0.8154469810113079
2008-10-09,0.6816260162601626,0.77256240665671
2008-10-10,0.7427642276422765,0.8098997226370813
2008-10-13,0.8120325203252032,0.8538510774482613
2008-10-14,0.7967479674796748,0.8406229997866439
2008-10-15,0.7170731707317073,0.7706422018348624
2008-10-16,0.7632520325203251,0.7926178792404523
2008-10-17,0.7235772357723578,0.7719223383827608
2008-10-20,0.7538211382113821,0.802432259441007
2008-10-21,0.7391869918699188,0.7804565820354171
2008-10-22,0.6939837398373984,0.7311713249413272
2008-10-23,0.6686178861788618,0.6780456582035418
2008-10-24,0.656260162601626,0.6848730531256668
2008-10-27,0.6390243902439023,0.6846596970343505
2008-10-28,0.6920325203252032,0.7102624279923192
2008-10-29,0.7447154471544715,0.7153829741839131
2008-10-30,0.8149593495934959,0.7580541924471944
2008-10-31,0.8510569105691057,0.823341156390015
2008-11-03,0.8334959349593496,0.8235545124813314
2008-11-04,0.8474796747967479,0.8293151269468744
2008-11-05,0.7720325203252032,0.762534670364839
2008-11-06,0.7492682926829268,0.7192233838276083
2008-11-07,0.7518699186991871,0.7322381053979091
2008-11-10,0.7567479674796748,0.7443994026029443
2008-11-11,0.7476422764227642,0.6889268188606785
2008-11-12,0.71869918699187,0.6874333262214636
2008-11-13,0.7808130081300814,0.7337315980371241
2008-11-14,0.7515447154471544,0.7023682526136122
2008-11-17,0.7203252032520324,0.6782590142948581
2008-11-18,0.6767479674796748,0.6748453168337957
2008-11-19,0.6204878048780488,0.6436953275016002
2008-11-20,0.5827642276422765,0.6285470450181353
2008-11-21,0.6227642276422763,0.6298271815660338
2008-11-24,0.6988617886178862,0.6665244292724557
2008-11-25,0.7128455284552846,0.661403883080862
2008-11-26,0.7515447154471544,0.6878600384040965
2008-11-28,0.7518699186991871,0.6857264774909324
2008-12-01,0.6839024390243903,0.6313206742052486
2008-12-02,0.704390243902439,0.6460422445060807
2008-12-03,0.7492682926829268,0.6710049071901003
2008-12-04,0.7473170731707317,0.6742052485598464
2008-12-05,0.760650406504065,0.6656710049071901
2008-12-08,0.8221138211382114,0.7563473437166632
2008-12-09,0.7733333333333333,0.7275442713889482
2008-12-10,0.7622764227642277,0.7226370812886708
2008-12-11,0.6845528455284553,0.6742052485598464
2008-12-12,0.6686178861788618,0.6951141455088543
2008-12-15,0.6523577235772358,0.68231278002987
2008-12-16,0.6848780487804877,0.7130360571794325
2008-12-17,0.7271544715447155,0.7655216556432687
2008-12-18,0.6884552845528455,0.7580541924471944
2008-12-19,0.6865040650406504,0.7450394708768936
2008-12-22,0.6676422764227643,0.7260507787497333
2008-12-23,0.6783739837398374,0.7461062513334756
2008-12-24,0.6786991869918699,0.7574141241732452
2008-12-26,0.6871544715447154,0.7661617239172178
2008-12-29,0.696260162601626,0.7648815873693194
2008-12-30,0.7668292682926828,0.7885641135054406
2008-12-31,0.7892682926829269,0.8199274589289525
