,BSET,AIV
2008-07-15,0.8609168609168609,0.7881543376751045
2008-07-16,0.8896658896658897,0.8545097075448514
2008-07-17,0.9121989121989122,0.8822806586384861
2008-07-18,0.916083916083916,0.8916195625460802
2008-07-21,0.8989898989898991,0.9144753010567708
2008-07-22,0.9114219114219115,0.9734578520521013
2008-07-23,0.9246309246309247,0.992872941754731
2008-07-24,0.916860916860917,0.8257557139346278
2008-07-25,0.9153069153069153,0.8336200540673385
2008-07-28,0.8966588966588966,0.7987220447284346
2008-07-29,0.9153069153069153,0.8623740476775622
2008-07-30,0.916083916083916,0.8483656918161712
2008-07-31,0.923853923853924,0.8397640697960188
2008-08-01,0.916860916860917,0.875153600393217
2008-08-04,0.91996891996892,0.8682723027770951
2008-08-05,0.9292929292929294,0.9353649545342837
