,DIOD,GRA
2008-07-16,1.067703952901598,0.9860262008733625
2008-07-17,1.093776282590412,1.017467248908297
2008-07-18,1.0870479394449117,1.0161572052401746
2008-07-21,1.0891505466778804,0.9986899563318778
2008-07-22,1.0954583683767871,1.0253275109170306
2008-07-23,1.1047098402018503,1.0445414847161574
2008-07-24,1.0857863751051304,1.0157205240174674
2008-07-25,1.0988225399495373,1.0262008733624455
2008-07-28,1.0794785534062237,1.0013100436681224
2008-07-29,1.0950378469301933,1.0270742358078604
2008-07-30,1.084945332211943,1.0829694323144106
2008-07-31,1.092094196804037,1.1253275109170306
2008-08-01,1.0803195962994112,1.1524017467248908
2008-08-04,1.0832632464255678,1.1087336244541486
2008-08-05,1.1135407905803196,1.1262008733624453
2008-08-06,1.1522287636669468,1.143231441048035
2008-08-07,1.1455004205214465,1.120524017467249
2008-08-08,1.1400336417157275,1.140174672489083
2008-08-11,1.1883936080740118,1.1681222707423582
2008-08-12,1.163582842724979,1.1497816593886463
2008-08-13,1.1644238856181666,1.159825327510917
2008-08-14,1.157695542472666,1.1572052401746726
2008-08-15,1.1656854499579477,1.15764192139738
2008-08-18,1.1341463414634145,1.1572052401746726
2008-08-19,1.0866274179983177,1.1344978165938866
2008-08-20,1.0508830950378467,1.1384279475982533
2008-08-21,1.0424726661059713,1.1410480349344978
2008-08-22,1.0618166526492852,1.1436681222707425
2008-08-25,1.0416316232127838,1.1179039301310045
2008-08-26,1.0365853658536583,1.117467248908297
2008-08-27,1.0437342304457526,1.1292576419213973
2008-08-28,1.0294365012615643,1.1524017467248908
2008-08-29,1.0004205214465938,1.1480349344978167
2008-09-02,1.0021026072329688,1.1331877729257642
2008-09-03,0.9693019343986543,1.126637554585153
2008-09-04,0.9070647603027754,1.055458515283843
2008-09-05,0.913372582001682,1.0480349344978166
2008-09-08,0.92094196804037,0.9982532751091704
2008-09-09,0.8553406223717409,0.8812227074235808
2008-09-10,0.8696383515559293,0.87117903930131
2008-09-11,0.8788898233809923,0.8733624454148472
2008-09-12,0.7733389402859546,0.8829694323144105
2008-09-15,0.7464255677039529,0.7615720524017469
2008-09-16,0.7851135407905804,0.7296943231441049
2008-09-17,0.7846930193439865,0.6296943231441049
2008-09-18,0.8725820016820858,0.646288209606987
2008-09-19,0.8894028595458368,0.8056768558951966
2008-09-22,0.8137089991589571,0.7388646288209608
2008-09-23,0.796888141295206,0.6943231441048036
2008-09-24,0.796888141295206,0.7013100436681222
2008-09-25,0.7695542472666106,0.7375545851528384
