"","X1","CWT","TMP","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.826864369821195,0.618625678119349,"TMP",0.121212121212121,0.913419913419913,0.0213571081163405,0.985950045625088
"46",2009-03-10,0.846925425207152,0.735985533453888,"TMP",0.835497835497836,1,2.41996567521572e-06,0.9999999999
"47",2009-03-11,0.833842128216311,0.70253164556962,"TMP",0.242424242424242,0.0649350649350649,0.540642095285919,0.0750652753415558
"48",2009-03-12,0.864805931094636,0.733273056057866,"TMP",0.917748917748918,0.878787878787879,0.833673749836529,0.643856067084104
"49",2009-03-13,0.882686436982119,0.739602169981917,"TMP",0.796536796536797,0.636363636363636,0.816864974266307,0.468833447139282
"50",2009-03-16,0.860444832097689,0.732730560578662,"TMP",0.147186147186147,0.376623376623377,0.138790542001342,0.590792762594717
"51",2009-03-17,0.884212821631051,0.782640144665461,"TMP",0.844155844155844,0.956709956709957,0.409122521567974,0.949763636967762
"52",2009-03-18,0.912996075010903,0.833273056057866,"TMP",0.887445887445887,0.948051948051948,0.5462476207914,0.900657423288585
"53",2009-03-19,0.942433493240297,0.825678119349005,"TMP",0.887445887445887,0.376623376623377,0.958088730017479,0.140644076614905
"54",2009-03-20,0.921282163105102,0.81374321880651,"TMP",0.177489177489178,0.303030303030303,0.206068668493754,0.468195702403915
"55",2009-03-23,0.954862625381596,0.845388788426763,"TMP",0.913419913419913,0.865800865800866,0.841158839201593,0.62580200481163
"56",2009-03-24,0.879851722634104,0.839059674502712,"TMP",0.00432900432900433,0.402597402597403,0.00105522617848479,0.910770957572651
"57",2009-03-25,0.886175316179677,0.844665461121157,"TMP",0.614718614718615,0.623376623376623,0.586723921676618,0.603506329420629
"58",2009-03-26,0.911251635412124,0.868896925858951,"TMP",0.848484848484849,0.822510822510823,0.761745936236093,0.677287498434217
"59",2009-03-27,0.883776711731356,0.838336347197107,"TMP",0.112554112554113,0.103896103896104,0.248374827085092,0.220451059125037
"60",2009-03-30,0.912778020061055,0.806690777576854,"TMP",0.887445887445887,0.0952380952380952,0.980977338192585,0.0176615301647369
"61",2009-03-31,0.912778020061055,0.777576853526221,"TMP",0.463203463203463,0.0995670995670996,0.731821720084737,0.0680253275107495
"62",2009-04-01,0.891190580026167,0.766726943942134,"TMP",0.16017316017316,0.316017316017316,0.177255470507912,0.502200205054572
"63",2009-04-02,0.881596162232883,0.800180831826402,"TMP",0.298701298701299,0.878787878787879,0.102544570055079,0.959973984324161
"64",2009-04-03,0.87854339293502,0.81374321880651,"TMP",0.424242424242424,0.74025974025974,0.280993634900373,0.829723689876161
"65",2009-04-06,0.877017008286088,0.780650994575045,"TMP",0.437229437229437,0.0779220779220779,0.734559420987269,0.0523125143860995
"66",2009-04-07,0.855865678150894,0.764918625678119,"TMP",0.16017316017316,0.220779220779221,0.22640667537339,0.368144842076796
"67",2009-04-08,0.851504579153947,0.778481012658228,"TMP",0.376623376623377,0.748917748917749,0.230137515460526,0.851760719208344
"68",2009-04-09,0.837549062363716,0.830922242314648,"TMP",0.229437229437229,0.952380952380952,0.0384957414646892,0.992407065037522
"69",2009-04-13,0.815525512429132,0.853345388788427,NA,0.12987012987013,0.80952380952381,0.0396219507479849,0.947752415897479
"70",2009-04-14,0.792629742695159,0.78119349005425,NA,0.121212121212121,0.012987012987013,0.57165367744927,0.021111540912585
"71",2009-04-15,0.804622764936764,0.777576853526221,NA,0.731601731601732,0.428571428571429,0.819635667266618,0.290962125309688
"72",2009-04-16,0.81160052333188,0.806509945750452,NA,0.649350649350649,0.865800865800866,0.393161367990934,0.896115583291826
"73",2009-04-17,0.813126907980811,0.806509945750452,NA,0.502164502164502,0.515151515151515,0.508097085599185,0.531619413301268
"74",2009-04-20,0.79502834714348,0.75497287522604,NA,0.181818181818182,0.0303030303030303,0.560278767366232,0.0391489697279886
"75",2009-04-21,0.830135194068905,0.785352622061483,NA,0.939393939393939,0.874458874458874,0.892741346790795,0.55354694711146
"76",2009-04-22,0.813126907980811,0.778300180831826,NA,0.19047619047619,0.376623376623377,0.190984423442293,0.551148660383234
"77",2009-04-23,0.817269952027911,0.750452079566004,NA,0.571428571428571,0.0995670995670996,0.820700720472215,0.0524113322374393
"78",2009-04-24,0.824465765372874,0.747739602169982,NA,0.649350649350649,0.441558441558442,0.725400192448169,0.35618520019845
"79",2009-04-27,0.844744875708679,0.72875226039783,NA,0.835497835497836,0.16017316017316,0.954191234318199,0.0488659233614518
"80",2009-04-28,0.85782817269952,0.74502712477396,NA,0.735930735930736,0.792207792207792,0.611371014049621,0.751588087983962
"81",2009-04-29,0.87025730484082,0.792043399638336,NA,0.718614718614719,0.939393939393939,0.313741326278603,0.960205982763884
"82",2009-04-30,0.851068469254252,0.762206148282098,NA,0.181818181818182,0.0952380952380952,0.388370258413835,0.147486404142255
"83",2009-05-01,0.834060183166158,0.783001808318264,NA,0.19047619047619,0.80952380952381,0.0696511985055127,0.936355866983382
"84",2009-05-04,0.819232446576537,0.81374321880651,NA,0.212121212121212,0.865800865800866,0.0650404286632586,0.96163566622564
"85",2009-05-05,0.819450501526385,0.811392405063291,NA,0.463203463203463,0.445887445887446,0.497470823050315,0.466316741803651
"86",2009-05-06,0.80244221543829,0.835443037974684,NA,0.19047619047619,0.826839826839827,0.0653603087013617,0.945449126459296
"87",2009-05-07,0.808765808983864,0.876130198915009,NA,0.623376623376623,0.904761904761905,0.30103425040364,0.94277027438113
"88",2009-05-08,0.814653292629743,0.894755877034358,NA,0.614718614718615,0.787878787878788,0.451254799862756,0.815612264813273
"89",2009-05-11,0.812036633231574,0.888969258589512,NA,0.424242424242424,0.411255411255411,0.467628353674141,0.444147971193563
"90",2009-05-12,0.803968600087222,0.890596745027125,NA,0.311688311688312,0.536796536796537,0.266677137253933,0.658860588857628
"91",2009-05-13,0.781945050152638,0.860216998191682,NA,0.125541125541126,0.103896103896104,0.273803895553679,0.206465525193809
"92",2009-05-14,0.774967291757523,0.889692585895118,NA,0.333333333333333,0.844155844155844,0.141942716547946,0.935692004700842
"93",2009-05-15,0.761883994766681,0.890596745027125,"CWT",0.225108225108225,0.532467532467532,0.174271520710336,0.702225517313447
"94",2009-05-18,0.764282599215002,0.914104882459313,"CWT",0.519480519480519,0.800865800865801,0.330580912349018,0.863418463772096
"95",2009-05-19,0.763192324465765,0.884810126582279,"CWT",0.437229437229437,0.108225108225108,0.697630501433633,0.0809505393394039
"96",2009-05-20,0.750327082424771,0.887884267631103,"CWT",0.225108225108225,0.562770562770563,0.16427430464194,0.732973203721432
"97",2009-05-21,0.743131269079808,0.874321880650995,"CWT",0.316017316017316,0.298701298701299,0.394354054420009,0.360953703988179
"98",2009-05-22,0.731356301788051,0.857142857142857,"CWT",0.233766233766234,0.229437229437229,0.328470672990894,0.319200301096765
"99",2009-05-26,0.766681203663323,0.886980108499096,"CWT",0.943722943722944,0.857142857142857,0.917527829559313,0.49580799353533
"100",2009-05-27,0.75207152202355,0.842676311030741,"CWT",0.203463203463203,0.0562770562770563,0.504412139633992,0.0740716643233459
"101",2009-05-28,0.750981247274313,0.858951175406872,"CWT",0.437229437229437,0.770562770562771,0.273264465437461,0.855709023786772
"102",2009-05-29,0.759267335368513,0.874321880650995,"CWT",0.670995670995671,0.753246753246753,0.56011847515072,0.74095165560491
"103",2009-06-01,0.768861753161797,0.912115732368897,"CWT",0.692640692640693,0.878787878787879,0.422947258453461,0.897415318371754
"104",2009-06-02,0.781726995202791,0.881555153707053,"CWT",0.753246753246753,0.103896103896104,0.928317383470196,0.0344771219825617
"105",2009-06-03,0.769515918011339,0.886618444846293,"CWT",0.238095238095238,0.606060606060606,0.162725056102614,0.76832633498751
"106",2009-06-04,0.783035324901875,0.905063291139241,"CWT",0.757575757575758,0.783549783549784,0.654112102249998,0.720255253490143
"107",2009-06-05,0.79088530309638,0.896925858951175,"CWT",0.662337662337662,0.376623376623377,0.76628425200402,0.277451518887408
