"","X1","HNT","CVO","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.986001749781277,0.351464435146443,"CVO",0.861471861471861,0.0735930735930736,0.929089293084068,0.0335587802617848
"46",2009-03-10,1.0997375328084,0.378661087866109,"CVO",0.995670995670996,0.926406926406926,0.993306914131152,0.480816321201349
"47",2009-03-11,1.06386701662292,0.351464435146443,"CVO",0.164502164502165,0.103896103896104,0.315786374201756,0.153011194395246
"48",2009-03-12,1.13998250218723,0.391213389121339,"CVO",0.982683982683983,0.965367965367965,0.922167219449671,0.768209419135916
"49",2009-03-13,1.17760279965004,0.433054393305439,"CVO",0.874458874458874,0.961038961038961,0.620880374063454,0.939166905643142
"50",2009-03-16,1.1994750656168,0.518828451882845,"CVO",0.796536796536797,0.991341991341991,0.375918329630911,0.994637142333721
"51",2009-03-17,1.2668416447944,0.554393305439331,"CVO",0.956709956709957,0.9004329004329,0.915551798515681,0.68769537789879
"52",2009-03-18,1.34383202099738,0.52510460251046,"CVO",0.96969696969697,0.155844155844156,0.987764992563086,0.0884413234593463
"53",2009-03-19,1.31846019247594,0.598326359832636,"CVO",0.25974025974026,0.982683982683983,0.137297862999094,0.994433880325656
"54",2009-03-20,1.36045494313211,0.564853556485356,"CVO",0.861471861471861,0.134199134199134,0.932509105548644,0.0650751411975008
"55",2009-03-23,1.36395450568679,0.671548117154812,"CVO",0.597402597402597,0.987012987012987,0.272597444370659,0.995198763758244
"56",2009-03-24,1.30708661417323,0.631799163179916,"CVO",0.121212121212121,0.12987012987013,0.210842960978885,0.235112600853424
"57",2009-03-25,1.31408573928259,0.663179916317992,"CVO",0.632034632034632,0.861471861471861,0.450721571543829,0.881579457819322
"58",2009-03-26,1.34208223972003,0.807531380753138,"CVO",0.813852813852814,0.991341991341991,0.390814674039195,0.99410785274224
"59",2009-03-27,1.27034120734908,0.748953974895398,"CVO",0.0865800865800866,0.0952380952380952,0.182681166113709,0.21231145327095
"60",2009-03-30,1.2257217847769,0.665271966527197,"CVO",0.155844155844156,0.0303030303030303,0.46101709213055,0.0363115672761438
"61",2009-03-31,1.2668416447944,0.679916317991632,"CVO",0.874458874458874,0.74025974025974,0.86316211771338,0.569795501008687
"62",2009-04-01,1.25284339457568,0.717573221757322,"CVO",0.376623376623377,0.874458874458874,0.214686987206489,0.931349281226337
"63",2009-04-02,1.29746281714786,0.698744769874477,"CVO",0.883116883116883,0.32034632034632,0.94085147830743,0.174110462840891
"64",2009-04-03,1.25196850393701,0.730125523012552,"CVO",0.155844155844156,0.83982683982684,0.0770861742513597,0.920499700289542
"65",2009-04-06,1.31233595800525,0.656903765690377,"CVO",0.935064935064935,0.0476190476190476,0.961397308770967,0.026306399878018
"66",2009-04-07,1.31408573928259,0.596234309623431,"CVO",0.575757575757576,0.0606060606060606,0.777330352841684,0.0279661274428188
"67",2009-04-08,1.30358705161855,0.585774058577406,"CVO",0.41991341991342,0.393939393939394,0.45234878209774,0.407060264344537
"68",2009-04-09,1.30708661417323,0.635983263598326,"CVO",0.597402597402597,0.943722943722944,0.337582052566583,0.96661219836217
"69",2009-04-13,1.34558180227472,0.679916317991632,"CVO",0.857142857142857,0.9004329004329,0.715227303964266,0.838848521047461
"70",2009-04-14,1.33070866141732,0.654811715481171,"CVO",0.376623376623377,0.242424242424242,0.483351929134405,0.238353317566395
