"","X1","BDC","ARCC","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.39622641509434,0.511045655375552,"BDC",0.398268398268398,0.783549783549784,0.129879293424681,0.921460143294201
"46",2009-03-10,0.446698113207547,0.543446244477172,"BDC",0.987012987012987,0.909090909090909,0.983422560679587,0.267113161767433
"47",2009-03-11,0.440094339622642,0.543446244477172,"BDC",0.350649350649351,0.554112554112554,0.226196217164591,0.734794229880897
"48",2009-03-12,0.456603773584906,0.488954344624448,"BDC",0.805194805194805,0.025974025974026,0.972875657669888,0.00265733842920692
"49",2009-03-13,0.465094339622642,0.496318114874816,"BDC",0.696969696969697,0.744588744588745,0.529956519780798,0.682776728949607
"50",2009-03-16,0.450471698113208,0.559646539027982,"BDC",0.207792207792208,0.982683982683983,0.029143319014209,0.998379728889283
"51",2009-03-17,0.460377358490566,0.589101620029455,"BDC",0.714285714285714,0.887445887445887,0.317698199752681,0.907001333276437
"52",2009-03-18,0.516509433962264,0.59499263622975,"BDC",0.987012987012987,0.658008658008658,0.997774085823545,0.0951754603626029
"53",2009-03-19,0.546698113207547,0.56701030927835,"BDC",0.9004329004329,0.108225108225108,0.986853113342048,0.0144423317151044
"54",2009-03-20,0.542924528301887,0.561119293078056,"BDC",0.454545454545455,0.454545454545455,0.477998378276024,0.477998378276024
"55",2009-03-23,0.620754716981132,0.65979381443299,"BDC",0.991341991341991,0.991341991341991,0.771871139594429,0.771871139594429
"56",2009-03-24,0.595754716981132,0.655375552282769,"BDC",0.173160173160173,0.484848484848485,0.0800411557101627,0.813593222198316
"57",2009-03-25,0.639150943396226,0.662739322533137,"BDC",0.948051948051948,0.67965367965368,0.978729953174562,0.172584990136845
"58",2009-03-26,0.695754716981132,0.75699558173785,"BDC",0.965367965367965,0.987012987012987,0.496304926073153,0.928277202791902
"59",2009-03-27,0.675471698113208,0.761413843888071,"BDC",0.229437229437229,0.606060606060606,0.0858918249001705,0.866475030057987
