"","X1","FELE","SIVB","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.604304061089899,0.472395023328149,"SIVB",0.12987012987013,0.666666666666667,0.0393513263130705,0.900082866345282
"46",2009-03-10,0.658451926414439,0.543545878693624,"SIVB",0.991341991341991,1,0.0860792602698193,0.9999999999
"47",2009-03-11,0.654980909406456,0.606920684292379,"SIVB",0.445887445887446,0.991341991341991,0.0903998099388718,0.998858343176705
"48",2009-03-12,0.692120791391878,0.681570762052877,"SIVB",0.943722943722944,0.995670995670996,0.305256976181936,0.992608003226904
"49",2009-03-13,0.699757028809441,0.660964230171073,"SIVB",0.683982683982684,0.155844155844156,0.90098247458322,0.0496414993427183
"50",2009-03-16,0.675459909753558,0.664852255054432,"SIVB",0.108225108225108,0.653679653679654,0.0309924373984014,0.900697529300589
"51",2009-03-17,0.716417910447761,0.712674961119751,"SIVB",0.96969696969697,0.952380952380952,0.85949357587408,0.674648200224852
"52",2009-03-18,0.758070114543561,0.784214618973561,NA,0.943722943722944,0.974025974025974,0.596732118495361,0.903653333028169
"53",2009-03-19,0.741062131204443,0.755054432348367,NA,0.229437229437229,0.112554112554113,0.529182928939305,0.134293781595127
"54",2009-03-20,0.70218674071503,0.711897356143079,NA,0.0432900432900433,0.0649350649350649,0.155213835346832,0.33099005035636
"55",2009-03-23,0.779937521693856,0.809097978227061,NA,0.995670995670996,0.995670995670996,0.811806836851676,0.811806836851676
"56",2009-03-24,0.737244012495661,0.798600311041991,NA,0.038961038961039,0.350649350649351,0.0154176453896533,0.804079578439607
"57",2009-03-25,0.763623741756335,0.826594090202177,NA,0.865800865800866,0.87012987012987,0.703077414532553,0.72120335896216
"58",2009-03-26,0.826796251301631,0.868973561430793,NA,0.987012987012987,0.922077922077922,0.976136776455038,0.387190701365502
"59",2009-03-27,0.82089552238806,0.825816485225505,NA,0.411255411255411,0.0952380952380952,0.771154479813375,0.0482658983145289
"60",2009-03-30,0.769524470669906,0.784603421461897,NA,0.025974025974026,0.0909090909090909,0.0530225267866493,0.532656617557538
"61",2009-03-31,0.768136063866713,0.777993779160187,NA,0.489177489177489,0.402597402597403,0.571055999269634,0.369017259015687
"62",2009-04-01,0.699409927108643,0.795101088646967,NA,0.012987012987013,0.796536796536797,0.00188592508173879,0.950006386408736
"63",2009-04-02,0.815688996876085,0.826982892690513,NA,1,0.878787878787879,0.9999999999,0.0851510194034466
"64",2009-04-03,0.832349878514405,0.851866251944012,NA,0.783549783549784,0.835497835497836,0.587888995254719,0.759245973748442
"65",2009-04-06,0.81464769177369,0.828538102643857,NA,0.238095238095238,0.168831168831169,0.445259304225321,0.22651280892667
"66",2009-04-07,0.761541131551545,0.812208398133748,NA,0.025974025974026,0.251082251082251,0.0131821137089706,0.767387219172707
"67",2009-04-08,0.771259979173898,0.622083981337481,"SIVB",0.696969696969697,0,0.915480985324417,1e-10
"68",2009-04-09,0.845539743144741,0.704898911353033,"SIVB",0.995670995670996,0.995670995670996,0.811806836851676,0.811806836851676
"69",2009-04-13,0.805275945852135,0.710730948678072,"SIVB",0.0606060606060606,0.67965367965368,0.0132391436082933,0.921797097489706
"70",2009-04-14,0.788267962513016,0.707620528771384,"SIVB",0.238095238095238,0.493506493506494,0.15810195058019,0.717226106532606
"71",2009-04-15,0.814300590072891,0.725116640746501,"SIVB",0.861471861471861,0.800865800865801,0.790861362586495,0.57706813350061
"72",2009-04-16,0.840680319333565,0.750388802488336,"SIVB",0.857142857142857,0.87012987012987,0.682504136837759,0.735688601141878
"73",2009-04-17,0.839291912530371,0.822706065318818,"SIVB",0.493506493506494,0.974025974025974,0.114753437250601,0.994529720099249
"74",2009-04-20,0.792433182922596,0.746889580093313,"SIVB",0.038961038961039,0.0303030303030303,0.274631824542138,0.172187948446833
"75",2009-04-21,0.824366539396043,0.800155520995334,"SIVB",0.904761904761905,0.952380952380952,0.578837587913374,0.884809153874377
"76",2009-04-22,0.829573064908018,0.790824261275272,"SIVB",0.640692640692641,0.363636363636364,0.786830914746855,0.215175479180648
"77",2009-04-23,0.805970149253731,0.780715396578538,"SIVB",0.173160173160173,0.350649350649351,0.151082340285082,0.613951642046892
"78",2009-04-24,0.824713641096841,0.836702954898911,NA,0.796536796536797,0.952380952380952,0.350880107128332,0.955979726407218
"79",2009-04-27,0.771954182575495,0.774494556765163,NA,0.025974025974026,0.038961038961039,0.144717528298632,0.306944255281803
"80",2009-04-28,0.767441860465116,0.757387247278383,NA,0.432900432900433,0.212121212121212,0.672684775944817,0.157430690535584
"81",2009-04-29,0.82089552238806,0.797433903576983,NA,0.974025974025974,0.922077922077922,0.935305763014728,0.508549933809393
"82",2009-04-30,0.822283929191253,0.807153965785381,NA,0.567099567099567,0.714285714285714,0.399099044833381,0.749465715332973
"83",2009-05-01,0.82506074279764,0.808709175738725,NA,0.588744588744589,0.601731601731602,0.538252557066366,0.569511047685277
"84",2009-05-04,0.868448455397431,0.900855365474339,NA,0.939393939393939,0.987012987012987,0.442307985113133,0.966262813329847
"85",2009-05-05,0.865671641791045,0.926127527216174,NA,0.471861471861472,0.822510822510823,0.205574333502454,0.910608335494763
"86",2009-05-06,0.882332523429365,1.03643079315708,"FELE",0.774891774891775,0.991341991341991,0.181383137157129,0.997009065692031
"87",2009-05-07,0.875390489413398,1.02293934681182,"FELE",0.380952380952381,0.350649350649351,0.46160226318538,0.386836262342767
