,VIAB,FOXA
2008-07-15,0.7070095814422592,0.7341576506955177
2008-07-16,0.7322239031770046,0.7434312210200927
2008-07-17,0.7496217851739789,0.7434312210200927
2008-07-18,0.7471003530005044,0.7393096342091705
2008-07-21,0.7498739283913263,0.7320968572900567
2008-07-22,0.7526475037821484,0.7336424523441525
2008-07-23,0.7844175491679274,0.7614631633178773
2008-07-24,0.7539082198688856,0.7516743946419371
2008-07-25,0.7662632375189108,0.7511591962905718
2008-07-28,0.7528996469994957,0.7099433281813498
2008-07-29,0.7478567826525467,0.729005667181865
2008-07-30,0.7186081694402421,0.7351880473982483
2008-07-31,0.7042360060514373,0.7279752704791345
2008-08-01,0.6981845688350984,0.7192168985059249
2008-08-04,0.7193645990922846,0.7253992787223081
2008-08-05,0.732980332829047,0.7594023699124163
