,SIRI,KEM
2008-07-15,0.6102903410979184,0.5235404896421846
2008-07-16,0.625396537659748,0.536723163841808
2008-07-17,0.6344602555968459,0.5574387947269304
2008-07-18,0.6888425632194326,0.5612052730696799
2008-07-21,0.7311399135925557,0.5630885122410547
2008-07-22,0.7190549563430919,0.5725047080979285
2008-07-23,0.80969213571407,0.5781544256120528
2008-07-24,0.7311399135925557,0.5743879472693032
2008-07-25,0.6797788452823349,0.5800376647834276
2008-07-28,0.5679929907247953,0.5612052730696799
2008-07-29,0.4773558113538174,0.5649717514124294
2008-07-30,0.4985044865403789,0.3239171374764595
2008-07-31,0.4833982899785493,0.25612052730696805
2008-08-01,0.4411009396054262,0.24482109227871943
2008-08-04,0.41995226441886463,0.2504708097928437
2008-08-05,0.4290159823559624,0.2768361581920904
