,AGII,GAS
2008-07-14,0.8036275695284159,0.8741549661986479
2008-07-15,0.7987908101571947,0.8710348413936557
2008-07-16,0.8246674727932285,0.8650546021840875
2008-07-17,0.8292623941958887,0.8684347373894955
2008-07-18,0.8200725513905682,0.8668746749869995
2008-07-21,0.7978234582829504,0.8642745709828393
2008-07-22,0.8333736396614269,0.8710348413936557
2008-07-23,0.8203143893591294,0.8681747269890796
2008-07-24,0.8336154776299879,0.8720748829953198
2008-07-25,0.8292623941958887,0.8718148725949038
2008-07-28,0.7951632406287787,0.8710348413936557
2008-07-29,0.8174123337363965,0.8681747269890796
2008-07-30,0.8241837968561063,0.8892355694227769
2008-07-31,0.8232164449818621,0.8985959438377535
2008-08-01,0.837484885126965,0.8710348413936557
2008-08-04,0.8270858524788393,0.8551742069682787
