"","X1","SJW","ACE","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.636518191091465,0.600414859513483,"ACE",0.0995670995670996,0.207792207792208,0.136826678308177,0.458487485911193
"46",2009-03-10,0.676300578034682,0.64416368093532,"ACE",0.939393939393939,0.961038961038961,0.653634797497794,0.855518524156515
"47",2009-03-11,0.659979598775927,0.635866490665661,"ACE",0.203463203463203,0.29004329004329,0.24280760279729,0.439460055743316
"48",2009-03-12,0.71370282216933,0.663775221572695,"ACE",0.965367965367965,0.913419913419913,0.920323773446127,0.523543237167272
"49",2009-03-13,0.756545392723563,0.690363944936828,"ACE",0.939393939393939,0.9004329004329,0.858452817481802,0.626667867796617
"50",2009-03-16,0.72118327099626,0.687723929851028,"ACE",0.0909090909090909,0.458874458874459,0.0510123639485012,0.770538541722623
"51",2009-03-17,0.77626657599456,0.729775598717707,"ACE",0.956709956709957,0.943722943722944,0.822025050073608,0.700557151190036
"52",2009-03-18,0.819789187351241,0.752215726947011,"ACE",0.904761904761905,0.87012987012987,0.81389839907239,0.6612974532968
"53",2009-03-19,0.811968718123087,0.70903262304356,"ACE",0.376623376623377,0.0476190476190476,0.780913486163698,0.0256418299407659
"54",2009-03-20,0.797347840870452,0.72939845370545,"ACE",0.268398268398268,0.861471861471861,0.0844924392823595,0.954829579753639
"55",2009-03-23,0.868752125127508,0.76183292475957,"ACE",0.96969696969697,0.913419913419913,0.933978127036668,0.490494627104583
"56",2009-03-24,0.818429105746345,0.72128983594192,"ACE",0.0649350649350649,0.0562770562770563,0.246480003453309,0.195308614518391
"57",2009-03-25,0.85889153349201,0.724684141052235,"ACE",0.9004329004329,0.593073593073593,0.941559251508024,0.275521719325354
"58",2009-03-26,0.883713022781367,0.754478597020554,"ACE",0.835497835497836,0.904761904761905,0.586032661912823,0.854209371806791
"59",2009-03-27,0.855491329479769,0.757118612106355,"ACE",0.151515151515152,0.58008658008658,0.0791700771581551,0.808758805978609
"60",2009-03-30,0.88643318599116,0.707146897982274,"ACE",0.878787878787879,0.0432900432900433,0.988824118315199,0.00400330103547343
"61",2009-03-31,0.864671880312819,0.76183292475957,"ACE",0.203463203463203,0.965367965367965,0.0230588154787954,0.995910237875751
"62",2009-04-01,0.869432165929956,0.769752970016972,"ACE",0.567099567099567,0.67965367965368,0.473651879625704,0.695630228472442
"63",2009-04-02,0.891873512410745,0.793324533283047,"ACE",0.805194805194805,0.87012987012987,0.605552342431489,0.816490706535523
