"","X1","ATO","ES","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.875827814569536,0.821810699588477,"ES",0.978354978354978,0.917748917748918,0.955309006559607,0.4530693129167
"47",2009-03-11,0.864238410596026,0.827160493827161,"ES",0.194805194805195,0.696969696969697,0.0717393713641609,0.881401635070522
"48",2009-03-12,0.873758278145695,0.846502057613169,"ES",0.779220779220779,0.883116883116883,0.539273910331598,0.853577910111292
"49",2009-03-13,0.891970198675497,0.818930041152263,"ES",0.917748917748918,0.0692640692640693,0.993631229325081,0.00457430658876818
"50",2009-03-16,0.89817880794702,0.834567901234568,"ES",0.692640692640693,0.87012987012987,0.43334722530367,0.87616457741642
"51",2009-03-17,0.932533112582781,0.87037037037037,"ES",0.96969696969697,0.956709956709957,0.847568406733889,0.696538479710298
"52",2009-03-18,0.94908940397351,0.876954732510288,"ES",0.87012987012987,0.722943722943723,0.863471170185611,0.475392331878641
"53",2009-03-19,0.963990066225165,0.890946502057613,"ES",0.835497835497836,0.844155844155844,0.70474767731791,0.732420607673979
"54",2009-03-20,0.956539735099338,0.892181069958848,"ES",0.311688311688312,0.567099567099567,0.216691620200288,0.698525685355706
"55",2009-03-23,0.976407284768212,0.905349794238683,"ES",0.917748917748918,0.831168831168831,0.880291811952543,0.55213771579694
"56",2009-03-24,0.955298013245033,0.890123456790123,"ES",0.0822510822510823,0.199134199134199,0.105501487707056,0.535674656762528
"57",2009-03-25,0.968129139072848,0.890946502057613,"ES",0.805194805194805,0.567099567099567,0.841185061720336,0.355046353777782
"58",2009-03-26,0.990480132450331,0.897119341563786,"ES",0.926406926406926,0.70995670995671,0.941907682683703,0.348806348257682
"59",2009-03-27,0.977649006622517,0.893004115226337,"ES",0.199134199134199,0.385281385281385,0.171447939855832,0.59023300672488
"60",2009-03-30,0.968956953642384,0.88559670781893,"ES",0.285714285714286,0.298701298701299,0.348842516356214,0.379143840633746
"61",2009-03-31,0.956953642384106,0.888477366255144,"ES",0.212121212121212,0.619047619047619,0.102205420800415,0.815104138598653
"62",2009-04-01,0.949917218543046,0.880658436213992,"ES",0.329004329004329,0.294372294372294,0.414274937458998,0.336067256567822
"63",2009-04-02,0.955711920529801,0.872427983539095,"ES",0.67965367965368,0.29004329004329,0.822411023437207,0.149054751806161
"64",2009-04-03,0.959023178807947,0.867489711934156,"ES",0.619047619047619,0.354978354978355,0.727943048056248,0.23912064770824
"65",2009-04-06,0.951158940397351,0.873251028806584,"ES",0.307359307359307,0.70995670995671,0.152701237775527,0.84078483778583
"66",2009-04-07,0.944122516556291,0.880658436213992,"ES",0.32034632034632,0.74025974025974,0.151733037377391,0.861196407767669
"67",2009-04-08,0.944950331125828,0.88559670781893,"ES",0.567099567099567,0.692640692640693,0.447625484924259,0.700599258090277
