"","X1","PWOD","UTL","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,1.00426299393343,0.894939759036145,"UTL",0.683982683982684,0.887445887445887,0.683982683982684,0.887445887445887
"47",2009-03-11,0.988276766683063,0.864096385542169,"UTL",0.164502164502165,0.0346320346320346,0.164502164502165,0.0346320346320346
"48",2009-03-12,0.942777504508936,0.907951807228916,"UTL",0.0432900432900433,0.995670995670996,0.0432900432900433,0.995670995670996
"49",2009-03-13,0.942777504508936,0.927710843373494,"UTL",0.683982683982684,0.913419913419913,0.683982683982684,0.913419913419913
"50",2009-03-16,0.944827020823086,0.936385542168675,"UTL",0.718614718614719,0.753246753246753,0.718614718614719,0.753246753246753
"51",2009-03-17,0.950975569765535,0.958072289156626,NA,0.770562770562771,0.922077922077922,0.770562770562771,0.922077922077922
"52",2009-03-18,0.983767830791933,0.976867469879518,NA,0.948051948051948,0.904761904761905,0.948051948051948,0.904761904761905
"53",2009-03-19,0.994015412362682,0.986024096385542,NA,0.800865800865801,0.753246753246753,0.800865800865801,0.753246753246753
"54",2009-03-20,0.952615182816855,0.934939759036144,NA,0.051948051948052,0.00865800865800866,0.051948051948052,0.00865800865800866
"55",2009-03-23,1.00262338088211,0.935421686746988,NA,0.978354978354978,0.558441558441558,0.978354978354978,0.558441558441558
"56",2009-03-24,1.03500573864568,0.987951807228916,NA,0.943722943722944,1,0.943722943722944,0.9999999999
"57",2009-03-25,1.03295622233153,0.965301204819277,NA,0.329004329004329,0.0822510822510823,0.329004329004329,0.0822510822510823
"58",2009-03-26,1.02229873749795,0.993253012048193,NA,0.220779220779221,0.974025974025974,0.220779220779221,0.974025974025974
"59",2009-03-27,1.02475815707493,0.985542168674699,NA,0.722943722943723,0.281385281385281,0.722943722943723,0.281385281385281
"60",2009-03-30,1.01164125266437,0.973493975903614,NA,0.19047619047619,0.207792207792208,0.19047619047619,0.207792207792208
"61",2009-03-31,1.04197409411379,0.967710843373494,NA,0.926406926406926,0.303030303030303,0.926406926406926,0.303030303030303
"62",2009-04-01,1.04279390063945,0.973975903614458,NA,0.696969696969697,0.714285714285714,0.696969696969697,0.714285714285714
"63",2009-04-02,1.07599606492868,0.966265060240964,"UTL",0.943722943722944,0.281385281385281,0.943722943722944,0.281385281385281
"64",2009-04-03,1.06984751598623,0.979759036144578,"UTL",0.285714285714286,0.848484848484849,0.285714285714286,0.848484848484849
"65",2009-04-06,1.07886538776849,0.966265060240964,"UTL",0.779220779220779,0.186147186147186,0.779220779220779,0.186147186147186
"66",2009-04-07,1.08624364649943,0.95421686746988,"UTL",0.770562770562771,0.203463203463203,0.770562770562771,0.203463203463203
"67",2009-04-08,1.04525332021643,0.977831325301205,"UTL",0.0606060606060606,0.935064935064935,0.0606060606060606,0.935064935064935
