,WSBC,GHL
2008-07-14,0.5788074439802507,0.689562002275313
2008-07-15,0.5723509304975314,0.7266780432309443
2008-07-16,0.6562856057728828,0.7649317406143346
2008-07-17,0.689707557918724,0.8071672354948806
2008-07-18,0.6802126851500191,0.7807167235494881
2008-07-21,0.6748955563995442,0.8124288964732652
2008-07-22,0.7280668439042918,0.8198236632536975
2008-07-23,0.7481959741739461,0.8098691695108079
2008-07-24,0.7649069502468667,0.8098691695108079
2008-07-25,0.8192176224838588,0.8139931740614336
2008-07-28,0.7842764906950247,0.8488339021615473
2008-07-29,0.8704899354348653,0.8858077360637089
2008-07-30,0.8826433725788074,0.9099829351535837
2008-07-31,0.8655526015951387,0.8735779294653016
2008-08-01,0.8902392707937715,0.8984641638225257
2008-08-04,0.8803646031143183,0.8826791808873721
