"","X1","GAS","EE","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.764705882352941,0.637649619151251,"EE",0.112554112554113,0.0303030303030303,0.629616394409497,0.0434935665690651
"46",2009-03-10,0.788741302972802,0.662132752992383,"EE",0.943722943722944,0.948051948051948,0.718584878605509,0.761938689561241
"47",2009-03-11,0.775458570524984,0.670293797606094,"EE",0.147186147186147,0.753246753246753,0.0326237901636814,0.943254243790284
"48",2009-03-12,0.795066413662239,0.697497279651796,"EE",0.926406926406926,0.948051948051948,0.633760354461489,0.823217895907327
"49",2009-03-13,0.810246679316888,0.696409140369967,"EE",0.891774891774892,0.493506493506494,0.964776670962585,0.145242922778973
"50",2009-03-16,0.825110689437065,0.707290533188248,"EE",0.887445887445887,0.796536796536797,0.852159266924572,0.474842131527082
"51",2009-03-17,0.839025932953827,0.726877040261153,"EE",0.883116883116883,0.904761904761905,0.64502664407651,0.770228704620897
"52",2009-03-18,0.853889943074004,0.750272034820457,"EE",0.887445887445887,0.930735930735931,0.567460914557981,0.84425514897339
"53",2009-03-19,0.865591397849462,0.749727965179543,"EE",0.822510822510823,0.523809523809524,0.91106580261891,0.216321713359653
"54",2009-03-20,0.857685009487666,0.745375408052231,"EE",0.25974025974026,0.393939393939394,0.229781658841062,0.601720064166382
"55",2009-03-23,0.857052498418722,0.784548422198041,"EE",0.497835497835498,0.96969696969697,0.0999042465458422,0.994928651078005
"56",2009-03-24,0.850094876660341,0.762241566920566,"EE",0.298701298701299,0.0995670995670996,0.701626006143189,0.0691919467755148
"57",2009-03-25,0.852624920936116,0.749727965179543,"EE",0.614718614718615,0.177489177489178,0.878979804385808,0.0584658864679703
"58",2009-03-26,0.862112586970272,0.749183895538629,"EE",0.792207792207792,0.523809523809524,0.883050138797044,0.242119373655561
"59",2009-03-27,0.850411132194813,0.748639825897715,"EE",0.203463203463203,0.523809523809524,0.0962673274224641,0.804161350203122
"60",2009-03-30,0.833017077798861,0.73993471164309,"EE",0.116883116883117,0.25974025974026,0.111415895628813,0.615805708918651
"61",2009-03-31,0.839025932953827,0.766594124047878,"EE",0.70995670995671,0.943722943722944,0.227242030946388,0.972027782123222
"62",2009-04-01,0.845034788108792,0.777475516866159,"EE",0.705627705627706,0.783549783549784,0.499874748409448,0.749124432708196
"63",2009-04-02,0.857368753953194,0.794341675734494,"EE",0.848484848484849,0.857142857142857,0.667254993692955,0.70690989073446
"64",2009-04-03,0.864958886780519,0.799782372143634,"EE",0.753246753246753,0.688311688311688,0.714157169204604,0.513834494607268
"65",2009-04-06,0.858950031625553,0.801414581066377,"EE",0.324675324675325,0.584415584415584,0.183455999830319,0.778194346690732
"66",2009-04-07,0.836495888678052,0.787812840043526,"EE",0.0952380952380952,0.177489177489178,0.137438191678793,0.515788253851252
"67",2009-04-08,0.836495888678052,0.798694232861806,"EE",0.528138528138528,0.774891774891775,0.262014635441134,0.863431156729927
"68",2009-04-09,0.844402277039848,0.810663764961915,"EE",0.761904761904762,0.787878787878788,0.599333621519497,0.690065467580695
"69",2009-04-13,0.851992409867173,0.79379760609358,"EE",0.753246753246753,0.147186147186147,0.943254243790284,0.0326237901636814
"70",2009-04-14,0.845983554712207,0.766594124047878,"EE",0.32034632034632,0.0779220779220779,0.760395836135073,0.0411994470943212
"71",2009-04-15,0.840607210626186,0.785636561479869,"EE",0.333333333333333,0.887445887445887,0.0796179533438967,0.974410017926067
"72",2009-04-16,0.850727387729285,0.79651795429815,"EE",0.800865800865801,0.774891774891775,0.69844643322827,0.604573590417227
"73",2009-04-17,0.857685009487666,0.794341675734494,"EE",0.74025974025974,0.467532467532468,0.855984963857667,0.228395386576535
"74",2009-04-20,0.863693864642631,0.761153427638738,"EE",0.705627705627706,0.0649350649350649,0.938823001095701,0.0111600445932221
"75",2009-04-21,0.878557874762808,0.761153427638738,"EE",0.883116883116883,0.554112554112554,0.951398134243797,0.188448069381826
"76",2009-04-22,0.881404174573055,0.764961915125136,"EE",0.627705627705628,0.658008658008658,0.532510834678202,0.618007964885696
"77",2009-04-23,0.886780518659076,0.744831338411317,"EE",0.67965367965368,0.108225108225108,0.925478535009033,0.0236156924516916
"78",2009-04-24,0.903225806451613,0.749183895538629,"EE",0.887445887445887,0.675324675324675,0.925209946847226,0.290301373418823
"79",2009-04-27,0.925996204933586,0.742655059847661,"EE",0.926406926406926,0.316017316017316,0.986440789987806,0.0675409667378159
"80",2009-04-28,0.930740037950664,0.742655059847661,"EE",0.658008658008658,0.554112554112554,0.692382190490114,0.415095868061313
"81",2009-04-29,0.965211891208096,0.745375408052231,"EE",0.961038961038961,0.606060606060606,0.990077664603557,0.141057165102283
"82",2009-04-30,0.985768500948767,0.750816104461371,"EE",0.909090909090909,0.692640692640693,0.943157808162751,0.273737680557637
"83",2009-05-01,0.993358633776091,0.750272034820457,"EE",0.722943722943723,0.523809523809524,0.805961088900207,0.30577917750013
"84",2009-05-04,1.00822264389627,0.748095756256801,"EE",0.852813852813853,0.463203463203463,0.946668111705269,0.151252658745599
"85",2009-05-05,0.995888678051866,0.747551686615887,"EE",0.212121212121212,0.523809523809524,0.103520926648237,0.798125511095183
"86",2009-05-06,0.980708412397217,0.740478781284004,"EE",0.155844155844156,0.303030303030303,0.142905197919289,0.61125365568442
"87",2009-05-07,0.984187223276407,0.753536452665941,"EE",0.627705627705628,0.818181818181818,0.33074048136643,0.863371858134214
"88",2009-05-08,0.968374446552815,0.773667029379761,"EE",0.151515151515152,0.9004329004329,0.0299716014253082,0.981725321596972
"89",2009-05-11,0.982289690069576,0.751360174102285,"EE",0.844155844155844,0.0995670995670996,0.969083969773982,0.0182588319560082
"90",2009-05-12,0.982289690069576,0.749183895538629,"EE",0.528138528138528,0.463203463203463,0.582989485947042,0.41249924056341
"91",2009-05-13,0.9471853257432,0.744287268770403,"EE",0.0476190476190476,0.385281385281385,0.0140224345498642,0.845126187661115
"92",2009-05-14,0.943390259329538,0.736126224156692,"EE",0.411255411255411,0.272727272727273,0.611625779404403,0.234832389173674
"93",2009-05-15,0.917773561037318,0.735582154515778,"EE",0.0865800865800866,0.523809523809524,0.0235097897684762,0.875597347347578
"94",2009-05-18,0.921884882985452,0.735582154515778,"EE",0.649350649350649,0.554112554112554,0.679229860134164,0.42459362682578
"95",2009-05-19,0.929791271347248,0.746463547334059,"EE",0.753246753246753,0.787878787878788,0.582165812966855,0.701598005823677
"96",2009-05-20,0.915559772296015,0.73177366702938,"EE",0.155844155844156,0.16017316017316,0.309193823568,0.32809295589552
"97",2009-05-21,0.905123339658444,0.717627856365615,"EE",0.225108225108225,0.16017316017316,0.465674937631125,0.22141476204014
"98",2009-05-22,0.900063251106894,0.714907508161045,"EE",0.350649350649351,0.437229437229437,0.329019929704626,0.56209345086775
"99",2009-05-26,0.915876027830487,0.741022850924918,"EE",0.887445887445887,0.943722943722944,0.5109532065212,0.885038193455242
"100",2009-05-27,0.893738140417457,0.726877040261153,"EE",0.103896103896104,0.16017316017316,0.178878533803293,0.450450527377281
"101",2009-05-28,0.90955091714105,0.723068552774755,"EE",0.887445887445887,0.406926406926407,0.970167636983536,0.106993726878556
"102",2009-05-29,0.9146110056926,0.720348204570185,"EE",0.666666666666667,0.437229437229437,0.794189304536801,0.251624337364853
"103",2009-06-01,0.950664136622391,0.735582154515778,"EE",0.961038961038961,0.848484848484849,0.958516081128138,0.338045374880679
"104",2009-06-02,0.959519291587603,0.736126224156692,"EE",0.757575757575758,0.558441558441558,0.827297373881027,0.313895702821239
"105",2009-06-03,0.951929158760278,0.73993471164309,"EE",0.298701298701299,0.662337662337662,0.12452540527449,0.86157421741569
"106",2009-06-04,0.962049335863378,0.756256800870512,"EE",0.779220779220779,0.861471861471861,0.499050550903904,0.817467764403728
"107",2009-06-05,0.966793168880455,0.769858541893362,"EE",0.658008658008658,0.818181818181818,0.371589558261623,0.845073091310417
"108",2009-06-08,0.977545857052498,0.76278563656148,"EE",0.792207792207792,0.303030303030303,0.938639363208918,0.088623534860958
"109",2009-06-09,0.975964579380139,0.750272034820457,"EE",0.471861471861472,0.177489177489178,0.779906123938426,0.0902654360081196
"110",2009-06-10,0.980392156862745,0.750272034820457,"EE",0.653679653679654,0.554112554112554,0.685823791232387,0.419842801304308
"111",2009-06-11,0.990196078431372,0.781284004352557,"EE",0.766233766233766,0.948051948051948,0.270515324867282,0.965859678652503
"112",2009-06-12,0.990196078431372,0.79379760609358,"EE",0.528138528138528,0.800865800865801,0.2387605163346,0.889792668934534
"113",2009-06-15,0.986717267552182,0.773667029379761,"EE",0.424242424242424,0.116883116883117,0.795874347275514,0.0525307410632072
"114",2009-06-16,0.996837444655281,0.769314472252448,"EE",0.774891774891775,0.402597402597403,0.908393580398628,0.152486477776039
"115",2009-06-17,1.00442757748261,0.770402611534276,"EE",0.722943722943723,0.575757575757576,0.769226064702946,0.37470530338159
"116",2009-06-18,1.01581277672359,0.786724700761698,"EE",0.792207792207792,0.848484848484849,0.553191490035631,0.775229137282112
"117",2009-06-19,0.999051233396584,0.773667029379761,"EE",0.147186147186147,0.177489177489178,0.258343658239236,0.387550341189858
"118",2009-06-22,0.997469955724225,0.748095756256801,"EE",0.471861471861472,0.0779220779220779,0.857800878970638,0.0230407890863423
"119",2009-06-23,0.982289690069576,0.747007616974973,"EE",0.155844155844156,0.493506493506494,0.0671705076398826,0.814382235772268
"120",2009-06-24,0.975332068311195,0.745919477693145,"EE",0.32034632034632,0.493506493506494,0.237332342908605,0.674738965020591
"121",2009-06-25,0.986084756483238,0.75734494015234,"EE",0.787878787878788,0.796536796536797,0.638680919701824,0.670441055056363
"122",2009-06-26,0.997786211258697,0.773122959738847,"EE",0.792207792207792,0.848484848484849,0.553191490035631,0.775229137282112
"123",2009-06-29,1.00664136622391,0.777475516866159,"EE",0.753246753246753,0.670995670995671,0.732188021472666,0.484055441166689
"124",2009-06-30,1.00569259962049,0.759521218715996,"EE",0.484848484848485,0.125541125541126,0.83052693676992,0.0480459403983655
"125",2009-07-01,1.02150537634409,0.79651795429815,"EE",0.861471861471861,0.956709956709957,0.38281852981552,0.943540642655674
