,MTSC,DLR
2008-07-15,1.0804597701149425,1.0632876712328767
2008-07-16,1.1087533156498672,1.0865753424657534
2008-07-17,1.1332154435602713,1.106849315068493
2008-07-18,1.114942528735632,1.0983561643835618
2008-07-21,1.1108163866784555,1.117808219178082
2008-07-22,1.1370468611847921,1.1479452054794521
2008-07-23,1.1385204833480695,1.155068493150685
2008-07-24,1.2030651340996168,1.0991780821917807
2008-07-25,1.247273798997937,1.1123287671232878
2008-07-28,1.2130857648099027,1.0893150684931507
2008-07-29,1.2502210433244916,1.1704109589041096
2008-07-30,1.2519893899204244,1.1775342465753424
2008-07-31,1.234600648393752,1.1756164383561643
2008-08-01,1.2340111995284408,1.1764383561643834
2008-08-04,1.222222222222222,1.1668493150684933
2008-08-05,1.2363689949896848,1.2032876712328768
2008-08-06,1.237842617152962,1.2117808219178081
