,PLL,DHR
2008-07-15,1.0292798733843316,0.9803740779768177
2008-07-16,1.0292798733843316,1.0038198103266596
2008-07-17,1.091005011870219,1.065595363540569
2008-07-18,1.0838828805064629,1.0849578503688093
2008-07-21,1.0775520970720127,1.0711275026343519
2008-07-22,1.0925877077288315,1.0841675447839831
2008-07-23,1.0865207069374836,1.0641464699683878
2008-07-24,1.0577683988393565,1.0489989462592202
2008-07-25,1.0759694012134002,1.0687565858798735
2008-07-28,1.0387760485360065,1.0580874604847208
2008-07-29,1.0604062252703774,1.066385669125395
2008-07-30,1.0804537061461357,1.0708640674394099
2008-07-31,1.0662094434186231,1.0491306638566913
2008-08-01,1.0509100501187023,1.0620389884088512
2008-08-04,1.0337641783170668,1.0583508956796628
2008-08-05,1.0604062252703774,1.0871970495258167
