"","X1","APC","STR","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.879615952732644,0.779695728496197,NA,0.939393939393939,0.930735930735931,0.714901933180651,0.566314958008264
"47",2009-03-11,0.889955686853767,0.785254534815682,NA,0.645021645021645,0.571428571428571,0.674285609044614,0.414376329111228
"48",2009-03-12,0.907188577055638,0.813341135166764,NA,0.727272727272727,0.874458874458874,0.218673094500385,0.926432167510484
"49",2009-03-13,0.89561792220581,0.816559391456992,NA,0.341991341991342,0.532467532467532,0.168428863865294,0.768842309509513
"50",2009-03-16,0.918759231905465,0.820362785254535,NA,0.779220779220779,0.536796536796537,0.911830122595475,0.165057836175252
"51",2009-03-17,0.970457902511078,0.857519016968988,NA,0.917748917748918,0.913419913419913,0.670544799422562,0.612950236257852
"52",2009-03-18,0.982767109798129,0.8724400234055,NA,0.658008658008658,0.714285714285714,0.469006487613388,0.694356500909236
"53",2009-03-19,1.0300344657804,0.93622001170275,NA,0.9004329004329,0.952380952380952,0.254597157420673,0.923629751862109
"54",2009-03-20,1.00172328902019,0.915155061439438,NA,0.207792207792208,0.216450216450216,0.355537248182376,0.409055614725868
"55",2009-03-23,1.07927129492861,0.981568168519602,NA,0.948051948051948,0.952380952380952,0.593883845969703,0.691077631548756
"56",2009-03-24,1.05637616937469,0.935927442949093,"STR",0.242424242424242,0.116883116883117,0.809291141987441,0.0639589796980204
"57",2009-03-25,1.05046774987691,0.93826799297835,"STR",0.41991341991342,0.528138528138528,0.296558944836425,0.658056078345856
"58",2009-03-26,1.05662235352043,0.940901111761264,"STR",0.588744588744589,0.528138528138528,0.623318582215643,0.415449645873245
"59",2009-03-27,1.0096011816839,0.897308367466355,"STR",0.116883116883117,0.116883116883117,0.375372396735429,0.375372396735429
"60",2009-03-30,0.957163958641064,0.856056173200702,"STR",0.0995670995670996,0.116883116883117,0.274510917053269,0.485389021530454
"61",2009-03-31,0.957410142786805,0.861029842012873,"STR",0.515151515151515,0.554112554112554,0.440247878587182,0.573873482435854
"62",2009-04-01,0.99753815854259,0.881217086015214,"STR",0.883116883116883,0.800865800865801,0.871582128401317,0.33334446507648
"63",2009-04-02,1.03520433284097,0.921591574019895,"STR",0.874458874458874,0.917748917748918,0.398714795455736,0.839109170967151
"64",2009-04-03,1.07016248153619,0.92919836161498,"STR",0.83982683982684,0.597402597402597,0.945996209216157,0.141715122800269
"65",2009-04-06,1.0438207779419,0.911059098888239,"STR",0.216450216450216,0.242424242424242,0.312889290271928,0.460986248662195
"66",2009-04-07,1.00590841949778,0.896138092451726,"STR",0.138528138528139,0.272727272727273,0.0761711735749742,0.789433196389317
"67",2009-04-08,1.0204332840965,0.907840842598011,"STR",0.67965367965368,0.666666666666667,0.604640334233842,0.553208592127693
"68",2009-04-09,1.0630231413097,0.93622001170275,"STR",0.883116883116883,0.844155844155844,0.783713973496703,0.469294402330414
"69",2009-04-13,1.0822255046775,0.927735517846694,"STR",0.722943722943723,0.372294372294372,0.934622358272081,0.0748702308578271
"70",2009-04-14,1.07557853274249,0.921299005266238,"STR",0.415584415584416,0.398268398268398,0.47454767316923,0.410931953235624
"71",2009-04-15,1.04111275233875,0.913692217671153,"STR",0.173160173160173,0.380952380952381,0.0577447060998222,0.845618934319414
"72",2009-04-16,1.05416051206302,0.925394967817437,"STR",0.658008658008658,0.658008658008658,0.571932638846663,0.571932638846663
"73",2009-04-17,1.07311669128508,0.90988882387361,"STR",0.722943722943723,0.272727272727273,0.967563063899046,0.0271656396864921
"74",2009-04-20,1.00984736582964,0.867758923346987,"STR",0.0779220779220779,0.116883116883117,0.152650130828717,0.649266366158952
"75",2009-04-21,1.03175775480059,0.894675248683441,"STR",0.748917748917749,0.844155844155844,0.348433944367022,0.849935456723376
"76",2009-04-22,1.01994091580502,0.8744880046811,"STR",0.350649350649351,0.216450216450216,0.710739191776031,0.138607111899506
"77",2009-04-23,1.02831117676022,0.886190754827384,"STR",0.614718614718615,0.670995670995671,0.457802844840967,0.666919326580395
"78",2009-04-24,1.08468734613491,0.907840842598011,"STR",0.917748917748918,0.80952380952381,0.939652705653265,0.210458966085492
"79",2009-04-27,1.03938946331856,0.88355763604447,"STR",0.116883116883117,0.19047619047619,0.125326081563538,0.693043633793064
"80",2009-04-28,1.04874446085672,0.883265067290813,"STR",0.623376623376623,0.493506493506494,0.729993360195628,0.304145911366642
"81",2009-04-29,1.09010339734121,0.882094792276185,"STR",0.878787878787879,0.476190476190476,0.987388423217213,0.0392471682744181
"82",2009-04-30,1.06006893156081,0.869514335868929,"STR",0.207792207792208,0.311688311688312,0.166052060188459,0.659194404391804
"83",2009-05-01,1.12333825701625,0.909303686366296,"STR",0.926406926406926,0.917748917748918,0.702884637891654,0.578656614234009
"84",2009-05-04,1.17872968980798,0.980397893504974,"STR",0.9004329004329,0.956709956709957,0.219451027068367,0.939854109924958
"85",2009-05-05,1.11964549483013,0.971035693387946,"STR",0.0995670995670996,0.359307359307359,0.0112261090233415,0.948860285910876
"86",2009-05-06,1.18808468734614,1.00263311878291,"STR",0.926406926406926,0.848484848484849,0.919868052907112,0.257253830931885
"87",2009-05-07,1.19940915805022,0.990637799882973,"STR",0.632034632034632,0.333333333333333,0.8876636603807,0.0920196313259321
"88",2009-05-08,1.27917282127031,1.06524283206554,"STR",0.939393939393939,0.952380952380952,0.504000093443197,0.767266411507493
"89",2009-05-11,1.20236336779911,1.0368636629608,"STR",0.0779220779220779,0.19047619047619,0.0368774455143208,0.867372546816961
"90",2009-05-12,1.130231413097,1.01755412521943,"STR",0.0779220779220779,0.251082251082251,0.0153315977349956,0.929833949665641
"91",2009-05-13,1.07090103397341,0.977179637214745,"STR",0.0995670995670996,0.12987012987013,0.217013864649231,0.556889614964096
"92",2009-05-14,1.07213195470212,0.993563487419544,"STR",0.519480519480519,0.705627705627706,0.237479699802244,0.832602660070604
"93",2009-05-15,1.05046774987691,0.964306612053833,"STR",0.264069264069264,0.177489177489178,0.645387536826914,0.165130772359281
"94",2009-05-18,1.09945839487937,1.00877706260971,"STR",0.891774891774892,0.922077922077922,0.451664207580205,0.803726820704419
"95",2009-05-19,1.11250615460364,1.00672908133411,"STR",0.645021645021645,0.471861471861472,0.787251880493461,0.242948863188533
"96",2009-05-20,1.10930576070901,1.00555880631948,"STR",0.463203463203463,0.484848484848485,0.43758410618973,0.512708182670414
"97",2009-05-21,1.06622353520433,0.96050321825629,"STR",0.12987012987013,0.121212121212121,0.421741494466794,0.330530885607484
"98",2009-05-22,1.06228458887248,0.960795787009947,"STR",0.463203463203463,0.502164502164502,0.412643850843221,0.546890612526674
"99",2009-05-26,1.096011816839,0.988004681100059,"STR",0.835497835497836,0.818181818181818,0.686962942948324,0.57238589833255
"100",2009-05-27,1.10905957656327,0.945582211819778,"STR",0.645021645021645,0.125541125541126,0.989342368846166,0.00326090270416815
